df_hash,22ZHK4.JCYLLW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.AJFP
person_label,V26
date_time_start,2025-08-05_12-01-44.304000_+03
date_time_start_unix,1754377304.304
date_time_end,2025-08-05_12-09-59.263000_+03
length_difference_noticed,no

time,battery
5.982,69
15.961,69
25.999,69
35.998,69
46.012,69
55.981,69
65.975,69
75.995,69
85.968,69
95.957,69
105.951,69
115.945,69
125.990,69
135.981,69
145.975,69
155.971,69
165.963,69
175.959,69
185.951,69
195.945,69
205.980,69
215.932,69
225.976,69
235.969,69
245.963,69
255.967,69
266.048,69
275.945,69
285.938,69
295.938,69
306.072,69
316.090,69
325.967,69
335.956,69
345.950,69
355.944,69
366.035,69
375.931,69
385.925,69
396.016,69
405.913,69
416.055,69
425.949,69
435.943,69
445.936,69
455.930,69
465.946,68
476.015,68
486.009,68
