df_hash,22ZHK4.JCYLLW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.AJFP
person_label,V26
date_time_start,2025-08-05_12-01-44.304000_+03
date_time_start_unix,1754377304.304
date_time_end,2025-08-05_12-09-59.263000_+03
length_difference_noticed,no

time,ppg_quality
57.920,100
60.950,102
61.960,102
62.970,102
64.990,102
67.010,102
69.020,103
72.050,101
74.070,103
75.080,104
76.090,105
78.110,102
79.120,101
80.130,102
83.160,106
85.180,107
87.200,104
89.220,101
91.240,101
92.250,102
94.270,102
95.280,102
96.290,102
98.310,104
100.330,103
102.340,101
105.370,98
106.380,96
107.390,94
108.400,94
109.410,97
111.430,101
112.440,101
113.450,101
115.470,97
116.480,101
118.500,109
120.520,107
121.530,104
122.540,102
123.550,103
124.560,105
125.570,109
126.580,110
127.590,110
129.610,106
131.630,105
133.640,108
135.660,106
138.690,103
139.700,104
140.710,107
142.730,110
144.750,106
146.770,104
147.780,102
149.800,100
151.820,99
152.830,96
153.840,93
155.860,93
156.870,95
158.890,100
160.910,101
162.930,104
164.950,105
166.970,100
167.980,99
168.990,98
170.000,93
171.010,90
172.020,89
173.030,90
174.040,90
176.060,93
178.080,97
180.100,100
182.120,100
183.130,100
184.140,103
185.150,106
187.170,103
188.180,99
189.190,96
190.200,97
191.210,101
193.230,105
194.240,103
196.260,104
198.280,110
200.300,110
202.320,106
203.330,103
204.340,101
205.350,102
207.370,102
208.380,102
209.390,105
211.410,106
213.430,101
214.440,99
215.450,96
216.460,94
218.480,93
219.490,92
220.500,90
222.520,95
224.540,101
225.550,102
226.560,102
227.570,101
229.590,97
231.610,93
232.620,89
233.630,81
234.640,77
235.650,74
236.660,71
237.670,69
238.680,74
239.690,74
240.700,74
242.720,74
244.740,87
245.750,90
247.770,94
248.780,94
251.810,92
253.830,90
255.850,89
257.870,87
258.880,87
259.890,89
261.910,97
262.920,96
264.940,92
266.960,100
268.980,96
271.000,90
272.010,91
274.030,96
276.050,90
277.060,88
278.070,87
280.090,94
281.100,95
282.110,93
283.120,91
285.140,93
287.160,100
289.180,97
291.200,97
293.220,95
294.230,95
296.250,96
298.270,93
299.280,94
300.290,95
302.310,94
304.330,99
307.360,95
308.370,94
309.380,93
311.400,90
313.420,92
314.430,92
315.440,90
318.470,95
320.490,96
322.510,98
323.520,96
325.540,93
327.560,92
328.570,89
329.580,91
331.600,96
333.620,95
335.640,97
336.650,99
337.660,100
339.680,98
340.690,98
342.710,98
344.730,97
346.750,95
348.770,100
351.800,93
352.810,92
353.820,94
355.840,93
357.860,87
358.870,85
359.880,84
362.910,85
364.930,89
366.950,92
368.970,94
370.990,100
372.000,101
374.020,101
375.030,99
376.040,100
378.060,99
380.080,98
382.100,95
385.130,97
386.140,99
387.150,100
389.170,97
391.190,96
393.210,96
394.220,92
395.230,90
396.240,90
398.260,91
400.280,95
402.300,98
404.320,99
405.330,99
406.340,99
407.350,100
409.370,97
411.390,96
413.410,98
414.420,101
415.430,102
417.450,96
418.460,97
419.470,100
420.480,102
422.500,101
424.520,96
426.540,94
428.560,92
429.570,88
431.590,85
432.600,85
433.610,86
435.630,93
436.640,95
437.650,96
439.670,97
440.680,97
442.700,97
444.720,97
446.740,96
448.760,97
449.770,98
450.780,99
451.790,97
453.810,94
455.830,94
457.850,96
459.870,97
460.880,91
461.890,86
462.900,83
463.910,85
464.920,85
466.940,85
468.960,85
470.980,89
473.000,96
474.010,96
476.030,97
478.050,97
479.060,96
480.070,95
482.090,95
483.100,95
484.110,94
485.120,93
486.130,91
487.140,89
489.160,79
490.170,76
491.180,78
