df_hash,22ZHK4.JCYLLW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.AJFP
person_label,V26
date_time_start,2025-08-05_12-01-44.304000_+03
date_time_start_unix,1754377304.304
date_time_end,2025-08-05_12-09-59.263000_+03
length_difference_noticed,no

time,perfusion_ir
28.058,0.540
29.070,0.550
30.104,0.550
30.977,0.560
31.946,0.550
32.538,0.550
33.509,0.550
34.581,0.540
35.508,0.550
36.434,0.550
37.507,0.550
38.336,0.540
39.067,0.540
39.993,0.540
40.871,0.530
41.856,0.530
42.969,0.540
43.747,0.550
44.510,0.550
45.599,0.540
46.435,0.530
47.452,0.530
48.622,0.530
49.115,0.530
50.743,0.530
51.840,0.530
52.717,0.530
53.689,0.530
54.522,0.530
55.499,0.520
56.325,0.520
57.397,0.520
58.470,0.530
59.250,0.540
59.932,0.540
60.905,0.530
61.882,0.520
62.906,0.520
63.832,0.530
64.707,0.530
65.352,0.530
66.172,0.520
68.128,0.520
69.095,0.520
70.119,0.520
70.999,0.520
71.876,0.520
72.855,0.520
73.924,0.520
74.853,0.520
75.777,0.520
76.602,0.520
77.533,0.510
78.409,0.510
79.481,0.500
80.502,0.510
81.578,0.520
82.309,0.520
83.145,0.510
84.062,0.490
84.942,0.510
85.963,0.510
86.747,0.510
87.574,0.490
89.719,0.490
90.361,0.490
91.520,0.490
92.303,0.510
93.275,0.510
94.107,0.510
94.936,0.490
95.867,0.490
96.983,0.500
97.812,0.500
98.689,0.500
99.567,0.490
101.471,0.490
102.156,0.480
103.663,0.480
104.783,0.480
108.538,0.480
109.238,0.480
110.241,0.480
111.072,0.490
112.047,0.490
112.879,0.490
113.948,0.490
114.680,0.490
115.769,0.490
116.532,0.490
117.169,0.490
118.142,0.490
119.067,0.490
120.088,0.510
120.920,0.520
121.754,0.530
122.675,0.530
123.407,0.530
124.285,0.530
125.307,0.530
126.331,0.520
127.160,0.520
128.135,0.530
128.964,0.520
129.841,0.520
130.816,0.510
131.596,0.500
132.674,0.500
134.521,0.500
135.594,0.500
136.719,0.510
137.448,0.520
138.522,0.520
139.640,0.510
140.322,0.500
141.052,0.500
142.172,0.490
146.901,0.490
147.489,0.490
148.415,0.470
149.247,0.470
150.223,0.450
151.097,0.440
151.924,0.440
152.862,0.440
153.827,0.440
154.945,0.440
155.777,0.440
156.605,0.440
157.337,0.440
158.268,0.440
161.334,0.440
162.407,0.440
163.087,0.440
164.065,0.440
166.502,0.440
167.574,0.440
168.029,0.440
169.630,0.440
171.572,0.440
172.303,0.440
175.667,0.440
176.639,0.440
177.471,0.450
178.251,0.450
178.985,0.450
179.914,0.440
180.786,0.440
181.709,0.450
182.541,0.450
183.284,0.450
187.026,0.450
187.761,0.450
188.832,0.460
189.561,0.460
190.633,0.450
191.465,0.450
192.486,0.460
193.604,0.460
194.390,0.470
195.417,0.470
196.240,0.470
200.089,0.470
200.920,0.470
201.992,0.470
202.869,0.480
203.947,0.480
204.966,0.480
205.963,0.480
206.867,0.490
207.994,0.490
215.892,0.480
217.054,0.480
218.567,0.480
220.371,0.480
222.614,0.490
223.745,0.500
226.620,0.490
227.440,0.490
235.736,0.480
236.514,0.480
237.336,0.470
238.308,0.470
239.140,0.460
239.972,0.460
240.259,0.450
243.138,0.440
243.971,0.440
244.698,0.430
246.468,0.430
247.479,0.430
248.260,0.420
248.989,0.410
250.058,0.410
253.375,0.420
254.122,0.420
254.984,0.420
255.957,0.410
256.788,0.410
257.812,0.420
258.561,0.420
259.423,0.420
260.258,0.420
261.224,0.430
262.050,0.430
262.976,0.430
263.710,0.430
268.046,0.430
268.878,0.440
269.712,0.440
270.682,0.450
271.363,0.450
272.193,0.450
277.066,0.450
277.906,0.440
278.725,0.440
280.242,0.430
281.114,0.440
281.989,0.440
282.877,0.440
283.601,0.450
284.535,0.450
285.404,0.450
286.239,0.460
287.059,0.460
287.985,0.460
289.402,0.460
290.234,0.450
290.965,0.450
291.836,0.440
294.520,0.440
295.349,0.450
296.081,0.450
297.787,0.450
302.610,0.450
303.442,0.450
304.514,0.450
305.048,0.450
305.688,0.450
307.439,0.440
309.246,0.440
309.977,0.440
311.047,0.440
311.776,0.440
312.558,0.440
314.024,0.450
314.853,0.450
315.675,0.450
316.556,0.450
317.336,0.450
318.018,0.450
318.804,0.450
319.587,0.450
320.407,0.440
321.090,0.440
321.772,0.430
322.796,0.430
324.262,0.430
325.137,0.440
325.962,0.440
326.940,0.440
327.817,0.440
328.695,0.440
329.451,0.440
330.498,0.440
331.332,0.440
332.021,0.440
333.031,0.440
333.589,0.440
336.061,0.430
337.028,0.430
339.666,0.430
341.223,0.430
342.050,0.430
343.027,0.420
343.820,0.420
344.785,0.420
345.663,0.420
346.589,0.420
347.415,0.410
348.146,0.410
348.949,0.410
349.950,0.410
350.789,0.410
351.360,0.410
352.192,0.400
353.021,0.400
355.458,0.390
356.385,0.380
358.384,0.380
361.016,0.390
361.796,0.390
363.551,0.390
365.943,0.390
366.866,0.390
368.718,0.390
369.807,0.390
371.648,0.390
373.350,0.380
374.276,0.390
376.375,0.390
377.201,0.390
379.349,0.390
381.881,0.420
382.759,0.450
383.782,0.450
384.562,0.450
385.635,0.450
386.366,0.450
387.360,0.450
388.032,0.450
388.852,0.450
389.639,0.450
