df_hash,22ZHK4.JCYLLW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.AJFP
person_label,V26
date_time_start,2025-08-05_12-01-44.304000_+03
date_time_start_unix,1754377304.304
date_time_end,2025-08-05_12-09-59.263000_+03
length_difference_noticed,no

time,quality
14.984,76
15.956,87
17.035,90
18.052,88
18.837,84
20.056,87
20.941,88
21.836,81
23.028,71
23.906,71
24.783,68
26.100,50
26.880,52
27.761,67
28.984,61
30.012,63
30.825,76
32.095,82
32.834,71
33.757,70
35.020,79
35.993,77
36.728,79
37.897,86
38.831,91
39.701,81
41.067,68
41.797,74
42.700,71
43.845,67
44.775,79
45.649,70
46.870,69
47.745,74
48.919,63
49.842,69
51.011,64
51.598,59
52.961,72
53.790,66
54.913,69
55.791,77
56.674,71
57.787,74
58.763,76
59.641,76
60.567,86
61.737,79
62.622,80
63.545,82
64.758,80
65.590,81
66.516,61
67.737,65
68.565,69
69.786,57
70.658,62
71.681,86
72.462,82
73.632,82
74.558,81
75.440,79
76.849,81
77.829,79
78.656,70
79.579,77
80.603,73
81.384,65
82.602,75
83.480,72
84.602,62
85.576,73
86.454,80
87.331,82
88.599,82
89.444,84
90.462,82
91.572,83
92.693,85
93.376,86
94.531,85
95.375,81
96.252,78
97.471,80
98.349,84
99.253,86
100.446,85
101.326,84
102.251,84
103.419,61
104.297,33
105.234,40
106.393,41
107.299,46
108.198,58
109.369,76
110.341,65
111.462,69
112.340,79
113.297,78
114.144,81
115.463,87
116.240,84
117.135,78
118.287,74
119.507,77
120.195,72
121.310,69
122.191,82
123.067,83
124.632,74
125.162,72
126.085,76
127.258,69
128.236,72
129.013,85
130.232,87
131.109,66
132.032,66
133.205,73
134.150,59
134.965,44
136.179,64
137.154,76
137.935,85
139.153,83
140.031,78
140.909,70
142.138,75
143.005,71
143.882,67
145.102,72
146.073,80
147.003,80
148.123,76
148.952,66
149.878,71
151.441,75
152.070,71
152.928,86
154.068,84
155.047,80
155.826,79
156.996,80
157.922,72
158.800,68
159.972,71
160.896,65
161.774,71
162.943,80
163.870,74
164.748,72
165.927,77
166.892,76
167.967,82
168.892,74
169.817,73
170.710,70
172.010,62
172.983,60
173.669,69
174.887,72
175.765,70
176.739,66
177.892,68
178.742,79
179.618,72
181.076,72
181.858,79
182.591,79
183.811,82
184.688,84
185.565,82
186.783,78
187.705,69
188.581,64
189.764,70
190.931,73
191.512,75
192.730,78
193.656,72
194.534,74
195.706,84
196.879,84
197.702,79
198.823,77
199.798,76
200.481,77
201.658,80
202.529,77
203.455,78
204.625,80
205.503,77
206.432,78
207.603,83
208.668,76
209.403,74
210.573,79
211.455,75
212.378,80
213.547,85
214.522,87
215.351,91
216.715,88
217.688,85
218.324,85
219.640,82
220.713,72
221.298,74
222.471,70
223.397,54
224.515,64
225.444,82
226.462,81
227.248,52
228.416,61
229.343,70
230.223,68
231.453,61
232.316,58
233.193,45
234.761,26
235.484,27
236.460,60
237.696,60
238.409,72
239.436,84
240.603,88
241.285,83
242.258,82
243.287,71
244.225,70
245.088,76
246.304,85
247.279,83
248.111,83
249.281,78
250.159,85
251.181,84
252.258,76
253.160,74
254.012,74
255.230,71
256.109,79
257.078,85
258.206,87
259.371,89
259.957,87
261.471,87
262.304,93
263.074,93
264.150,86
265.027,80
265.957,76
267.415,75
268.146,71
268.930,78
270.340,87
270.977,83
271.901,78
273.265,76
273.999,78
274.875,71
276.191,67
276.971,62
277.894,62
279.019,67
279.951,76
280.822,75
282.042,73
282.921,60
283.942,66
284.966,83
285.895,86
286.867,89
288.034,86
288.867,73
289.744,76
291.062,84
292.034,86
293.016,83
293.939,84
294.911,84
295.932,85
297.053,81
297.836,79
298.665,71
299.884,68
300.808,64
301.639,63
303.003,63
304.032,58
304.612,62
305.930,70
306.709,47
307.586,51
308.806,51
309.923,43
310.562,62
311.876,83
312.657,76
313.534,71
314.753,80
315.922,83
316.605,88
317.749,85
318.699,86
319.575,83
320.702,82
321.578,89
322.504,89
323.674,87
324.648,79
325.477,76
326.648,84
327.527,85
328.452,87
329.815,88
330.844,91
331.622,87
332.595,86
333.522,82
334.496,80
335.617,84
336.506,86
337.373,91
338.689,80
339.470,80
340.492,78
341.613,90
342.443,82
343.417,82
344.491,85
345.420,85
346.295,83
347.854,91
348.393,90
349.269,84
350.438,81
351.461,73
352.242,79
353.411,83
354.338,81
355.226,76
356.579,73
357.605,59
358.189,50
359.408,77
360.285,79
361.163,74
362.382,78
363.259,80
364.137,74
365.746,62
366.479,55
367.110,70
368.329,59
369.207,45
370.231,50
371.305,68
372.421,76
373.106,50
374.526,45
375.156,65
376.061,69
377.251,66
378.128,80
379.054,83
380.226,74
381.101,60
382.029,64
383.213,72
384.076,73
385.002,85
386.171,86
387.143,80
387.976,80
389.146,87
390.315,85
391.046,72
392.126,71
393.098,69
394.017,52
395.095,68
396.065,74
396.898,60
398.130,64
398.995,74
399.872,69
401.329,70
401.967,73
402.845,81
404.016,82
404.942,83
405.820,89
406.988,87
407.914,85
409.033,78
410.056,77
410.933,83
412.010,84
412.945,85
413.862,79
414.739,84
415.958,86
416.838,81
417.859,79
418.932,86
420.053,89
420.686,77
422.049,66
422.783,72
423.660,78
424.879,86
425.762,86
426.731,86
427.853,77
428.730,74
