df_hash,22ZHK4.JCYLLW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.AJFP
person_label,V26
date_time_start,2025-08-05_12-01-44.304000_+03
date_time_start_unix,1754377304.304
date_time_end,2025-08-05_12-09-59.263000_+03
length_difference_noticed,no

time,omega
28.065,0.502
29.074,0.502
30.114,0.501
30.981,0.501
31.952,0.501
32.551,0.501
33.515,0.500
34.585,0.500
35.512,0.500
36.439,0.501
37.510,0.500
38.341,0.499
39.077,0.499
39.997,0.500
40.874,0.499
41.943,0.499
42.979,0.499
43.750,0.499
44.515,0.501
45.603,0.504
46.442,0.504
47.455,0.507
48.627,0.509
49.125,0.512
50.752,0.512
51.846,0.512
52.720,0.512
53.693,0.514
54.526,0.515
55.505,0.515
56.337,0.515
57.401,0.515
58.473,0.514
59.253,0.512
59.936,0.512
60.914,0.510
61.886,0.509
62.912,0.509
63.838,0.508
64.711,0.508
65.358,0.505
66.181,0.499
68.139,0.499
69.101,0.499
70.122,0.497
71.005,0.497
71.880,0.497
72.858,0.496
73.930,0.496
74.856,0.496
75.787,0.496
76.622,0.495
77.543,0.495
78.412,0.494
79.485,0.493
80.506,0.494
81.589,0.496
82.313,0.496
83.149,0.499
84.065,0.499
84.946,0.500
85.967,0.501
86.751,0.501
87.578,0.500
89.723,0.501
90.368,0.503
91.524,0.504
92.313,0.506
93.279,0.509
94.110,0.509
94.940,0.512
95.878,0.512
96.987,0.512
97.815,0.513
98.693,0.516
99.570,0.513
101.480,0.513
102.168,0.516
103.671,0.516
104.787,0.516
108.782,0.516
109.246,0.513
110.245,0.512
111.076,0.512
112.053,0.511
112.883,0.508
113.952,0.508
114.685,0.506
115.773,0.504
116.536,0.500
117.263,0.498
118.166,0.492
119.071,0.484
120.094,0.484
120.926,0.480
121.766,0.480
122.679,0.480
123.411,0.480
124.295,0.480
125.311,0.484
126.336,0.488
127.164,0.488
128.139,0.489
128.967,0.489
129.846,0.489
130.826,0.491
131.600,0.489
132.680,0.485
134.526,0.485
135.597,0.489
136.723,0.491
137.456,0.491
138.544,0.492
139.644,0.493
140.326,0.493
141.056,0.493
142.176,0.493
146.905,0.493
147.493,0.493
148.419,0.496
149.292,0.496
150.316,0.500
151.102,0.502
151.928,0.504
152.868,0.505
153.973,0.505
154.949,0.506
155.780,0.508
156.609,0.509
157.340,0.510
158.273,0.510
161.339,0.510
162.411,0.510
163.090,0.510
164.068,0.510
166.506,0.510
167.577,0.511
168.039,0.511
169.634,0.511
171.576,0.511
172.307,0.511
175.670,0.511
176.646,0.510
177.474,0.507
178.254,0.504
178.991,0.502
179.918,0.492
180.789,0.489
181.715,0.489
182.545,0.489
183.295,0.489
187.030,0.491
187.765,0.491
188.835,0.491
189.568,0.491
190.637,0.491
191.469,0.489
192.489,0.489
193.608,0.491
194.395,0.490
195.423,0.491
196.246,0.491
200.092,0.491
200.933,0.491
201.997,0.494
202.873,0.496
203.952,0.498
204.970,0.502
205.976,0.502
206.871,0.512
208.010,0.512
215.897,0.504
217.067,0.502
218.571,0.504
220.375,0.512
222.621,0.519
223.752,0.520
226.631,0.520
227.446,0.520
235.741,0.520
236.517,0.521
237.341,0.520
238.312,0.520
239.146,0.520
239.976,0.519
240.263,0.512
243.143,0.504
244.065,0.502
244.702,0.502
246.472,0.496
247.484,0.496
248.264,0.498
248.993,0.506
250.062,0.506
253.383,0.497
254.130,0.496
254.990,0.496
255.962,0.484
256.794,0.484
257.815,0.492
258.568,0.488
259.427,0.492
260.263,0.488
261.228,0.492
262.054,0.499
262.980,0.503
263.714,0.503
268.068,0.505
268.884,0.507
269.718,0.509
270.688,0.511
271.462,0.508
272.197,0.505
277.069,0.505
277.994,0.508
278.729,0.511
280.285,0.508
281.121,0.511
281.995,0.508
282.882,0.509
283.604,0.509
284.545,0.509
285.410,0.511
286.243,0.511
287.063,0.509
287.991,0.508
289.406,0.508
290.239,0.508
290.970,0.508
291.840,0.505
294.525,0.505
295.354,0.508
296.088,0.508
297.792,0.508
302.615,0.505
303.446,0.502
304.518,0.500
305.052,0.500
305.692,0.500
307.443,0.498
309.250,0.500
309.982,0.502
311.053,0.500
311.782,0.500
312.562,0.500
314.031,0.500
314.861,0.498
315.679,0.497
316.579,0.496
317.339,0.486
318.023,0.481
318.808,0.476
319.822,0.475
320.410,0.475
321.094,0.475
321.776,0.475
322.800,0.476
324.265,0.476
325.161,0.476
325.966,0.476
326.944,0.476
327.822,0.476
328.698,0.478
329.479,0.482
330.502,0.486
331.338,0.487
332.058,0.487
333.035,0.487
333.813,0.487
336.065,0.488
337.032,0.488
339.673,0.488
341.227,0.489
342.054,0.491
343.042,0.492
343.824,0.493
344.790,0.494
345.676,0.497
346.594,0.499
347.419,0.500
348.151,0.502
348.955,0.505
349.974,0.513
350.805,0.522
351.364,0.526
352.196,0.528
353.024,0.531
355.464,0.534
356.389,0.536
358.394,0.537
361.019,0.537
361.800,0.537
363.556,0.540
365.948,0.544
366.870,0.544
368.722,0.544
369.815,0.544
371.652,0.544
373.353,0.544
374.282,0.544
376.381,0.544
377.204,0.538
379.353,0.538
381.885,0.538
382.762,0.533
383.786,0.530
384.566,0.526
385.639,0.525
386.370,0.523
387.364,0.519
388.121,0.520
388.858,0.520
389.650,0.520
392.098,0.520
