df_hash,22ZHK4.JCYLLW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.AJFP
person_label,V26
date_time_start,2025-08-05_12-01-44.304000_+03
date_time_start_unix,1754377304.304
date_time_end,2025-08-05_12-09-59.263000_+03
length_difference_noticed,no

time,respiration_rate
62.940,15
67.320,14
72.090,14
76.910,15
81.700,16
86.180,16
90.770,16
95.390,16
100.010,16
104.060,16
108.100,16
116.900,14
188.920,15
193.550,9
198.320,9
203.120,9
207.170,9
212.080,9
216.200,9
220.870,9
225.050,9
230.280,9
236.330,9
248.850,14
253.080,17
257.540,20
274.870,22
278.930,21
288.110,7
292.930,7
297.170,7
301.270,7
305.540,7
310.340,7
314.550,8
327.340,8
331.720,8
340.110,8
344.440,8
348.840,8
352.960,8
361.560,8
379.840,9
384.460,10
388.990,9
420.100,12
424.290,13
428.480,13
433.280,13
442.220,13
446.850,8
451.690,8
456.210,8
460.430,8
465.410,8
469.730,8
474.380,8
479.130,8
