df_hash,22ZHK4.Z5RDGQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F750
person_label,V82(2)
date_time_start,2025-11-03_16-41-10.212000_+03
date_time_start_unix,1762173670.212
date_time_end,2025-11-03_16-49-55.970000_+03
length_difference_noticed,no

time,perfusion_ir
22.241,0.480
22.972,0.470
23.607,0.470
24.192,0.460
24.923,0.470
25.458,0.470
26.137,0.470
26.741,0.470
27.363,0.470
28.139,0.470
28.821,0.470
30.187,0.470
30.673,0.470
31.356,0.470
32.090,0.470
32.793,0.480
33.257,0.480
33.941,0.480
34.768,0.480
35.287,0.480
35.991,0.470
36.573,0.470
37.302,0.480
37.985,0.480
38.517,0.470
39.203,0.470
39.845,0.470
40.326,0.470
41.003,0.460
41.981,0.460
42.371,0.460
43.053,0.460
43.885,0.460
44.224,0.450
45.068,0.450
45.685,0.450
46.368,0.450
47.150,0.450
47.632,0.450
48.174,0.450
49.097,0.450
49.390,0.450
50.126,0.450
50.754,0.450
51.973,0.450
52.555,0.450
53.143,0.440
53.826,0.440
54.456,0.440
55.140,0.450
55.601,0.450
56.311,0.450
57.150,0.450
57.578,0.450
58.161,0.440
58.944,0.440
59.430,0.450
60.016,0.450
60.696,0.450
61.146,0.450
61.825,0.450
62.457,0.450
62.989,0.450
63.574,0.440
64.462,0.440
64.796,0.440
66.207,0.440
68.156,0.450
68.691,0.450
71.179,0.440
71.726,0.440
72.448,0.440
73.178,0.440
73.713,0.450
74.396,0.450
75.078,0.450
75.812,0.450
76.346,0.450
78.398,0.460
79.027,0.460
79.563,0.460
80.145,0.460
80.636,0.460
81.470,0.460
82.000,0.460
82.829,0.460
83.807,0.460
84.291,0.460
85.758,0.470
86.193,0.470
86.875,0.470
87.557,0.460
88.093,0.460
88.727,0.460
89.261,0.460
90.043,0.460
90.969,0.460
91.369,0.460
92.042,0.460
92.819,0.460
93.456,0.460
94.086,0.460
94.724,0.460
95.454,0.470
96.036,0.470
96.722,0.470
97.307,0.480
97.892,0.480
98.476,0.480
99.160,0.490
106.381,0.500
108.341,0.500
109.591,0.500
110.322,0.510
110.953,0.510
111.641,0.520
115.398,0.520
116.080,0.510
117.339,0.510
119.151,0.510
120.901,0.510
124.704,0.500
125.724,0.500
126.510,0.490
126.991,0.490
127.628,0.490
128.262,0.480
128.993,0.480
129.529,0.470
130.163,0.470
130.891,0.470
131.483,0.470
132.113,0.480
132.848,0.460
133.475,0.450
134.209,0.450
134.992,0.450
135.675,0.450
136.356,0.450
137.085,0.450
137.528,0.450
138.256,0.450
138.935,0.450
142.015,0.450
153.122,0.460
153.853,0.460
154.440,0.460
155.085,0.470
155.907,0.470
156.261,0.470
157.030,0.470
157.658,0.460
158.488,0.460
160.739,0.470
161.416,0.470
165.748,0.470
167.006,0.470
169.358,0.470
169.946,0.470
170.677,0.470
172.139,0.470
172.832,0.460
173.502,0.460
174.133,0.450
175.161,0.450
175.595,0.450
176.183,0.450
176.911,0.450
177.511,0.450
178.228,0.450
178.864,0.440
179.544,0.440
180.129,0.440
180.864,0.440
181.543,0.440
182.036,0.440
182.716,0.450
183.450,0.450
184.864,0.440
185.548,0.430
186.077,0.430
186.765,0.430
187.303,0.430
188.034,0.440
188.569,0.450
189.831,0.440
190.515,0.430
191.199,0.430
191.881,0.420
192.563,0.420
193.685,0.420
197.780,0.420
198.852,0.410
200.312,0.410
201.046,0.410
202.855,0.400
203.634,0.400
204.269,0.400
205.092,0.400
205.583,0.400
206.409,0.400
206.951,0.400
207.478,0.400
208.405,0.390
208.895,0.390
209.530,0.400
210.160,0.400
210.993,0.400
211.675,0.400
212.503,0.400
213.039,0.400
214.014,0.400
214.651,0.410
215.135,0.410
227.911,0.400
236.634,0.400
245.317,0.400
249.698,0.390
253.598,0.390
254.281,0.390
254.918,0.390
258.769,0.390
285.867,0.390
340.420,0.390
346.817,0.380
350.999,0.380
352.803,0.370
353.485,0.370
391.272,0.290
422.565,0.270
439.384,0.260
440.796,0.270
466.030,0.280
472.727,0.280
479.898,0.280
490.033,0.280
500.761,0.280
512.348,0.270
