df_hash,22ZHK4.Z5RDGQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F750
person_label,V82(2)
date_time_start,2025-11-03_16-41-10.212000_+03
date_time_start_unix,1762173670.212
date_time_end,2025-11-03_16-49-55.970000_+03
length_difference_noticed,no

time,ppg_quality
57.630,92
59.650,91
60.660,92
62.680,94
64.700,96
66.720,94
68.730,90
70.750,84
71.760,83
72.770,81
73.780,82
75.800,83
77.820,90
79.840,94
81.860,100
82.870,102
84.890,102
86.910,101
88.930,100
90.950,96
91.960,95
92.970,95
93.980,95
96.000,96
98.020,96
99.030,96
100.040,94
101.050,85
102.060,76
103.070,69
105.090,68
107.110,68
109.130,68
111.150,81
113.170,98
114.180,97
115.190,99
116.200,97
118.220,100
120.240,101
122.260,99
124.280,98
126.300,99
127.310,99
129.330,97
131.350,97
133.370,98
135.390,96
137.410,95
138.420,94
140.440,94
141.450,94
142.460,95
143.470,94
144.480,96
146.500,92
147.510,86
148.520,83
151.550,83
153.570,80
155.590,80
157.610,91
158.620,93
160.640,87
162.660,91
164.680,92
166.700,90
168.720,90
170.740,95
171.750,96
172.760,97
173.770,97
174.780,96
175.790,95
177.810,92
179.830,89
181.850,88
184.880,88
186.900,89
188.920,90
190.940,88
191.950,91
192.960,89
195.990,93
198.010,103
200.030,101
201.040,103
202.050,103
203.060,106
205.080,106
207.100,95
209.120,92
211.140,91
213.160,88
215.180,88
216.190,89
218.210,85
219.220,79
220.230,73
222.250,61
224.270,63
226.290,53
228.310,57
229.320,61
231.340,70
232.350,68
233.360,63
235.380,52
237.400,61
239.420,61
240.430,63
242.450,67
244.470,79
245.480,85
246.490,85
247.500,81
249.520,81
250.530,79
253.560,82
255.580,84
257.600,86
258.610,86
259.620,87
260.630,92
261.640,93
262.650,93
263.660,87
264.670,85
266.690,83
268.710,82
270.730,86
271.740,87
273.760,85
275.780,73
276.790,66
277.800,62
278.810,61
279.820,57
281.840,49
283.860,47
286.890,60
288.910,59
290.930,47
292.950,39
293.960,40
294.970,46
298.000,53
300.020,69
302.040,85
304.060,89
306.080,85
307.090,82
308.100,82
309.110,80
311.130,79
313.150,79
314.160,80
316.180,84
317.190,83
319.210,76
320.220,74
322.240,75
324.260,66
326.280,60
328.300,54
331.330,61
333.350,62
335.370,56
336.380,53
337.390,63
338.400,63
339.410,63
341.430,65
342.440,66
344.460,76
346.480,85
348.500,82
349.510,80
351.530,74
353.550,64
355.570,62
357.590,77
359.610,83
361.630,86
362.640,93
363.650,97
364.660,100
365.670,98
366.680,93
367.690,81
368.700,75
370.720,83
372.740,77
374.760,69
375.770,68
377.790,69
378.800,72
379.810,71
381.830,64
382.840,66
383.850,72
385.870,75
388.890,75
390.910,77
392.930,80
393.940,78
394.950,77
396.970,73
397.980,68
400.000,67
402.020,61
404.040,56
406.060,58
408.080,65
409.090,67
410.100,64
411.110,63
412.120,64
413.130,62
415.150,48
417.170,37
418.180,37
419.190,38
420.200,40
422.220,46
424.240,64
425.250,72
426.260,78
428.280,85
429.290,81
430.300,77
431.310,72
433.330,74
435.350,75
437.370,76
438.380,71
440.400,72
441.410,73
442.420,72
444.440,83
446.460,90
448.480,96
450.500,96
451.510,92
452.520,88
453.530,87
454.540,82
455.550,77
457.570,75
459.590,78
461.610,91
463.630,91
464.640,89
465.650,87
466.660,87
467.670,87
468.680,87
470.700,88
472.720,90
474.740,94
477.770,87
478.780,82
479.790,74
481.810,65
483.830,63
485.850,66
486.860,66
487.870,70
488.880,72
490.900,82
492.920,78
494.940,70
496.960,59
498.980,60
499.990,55
502.010,55
504.030,61
505.040,61
506.050,61
507.060,53
508.070,48
510.090,54
513.120,54
514.130,55
515.140,65
516.150,74
517.160,74
519.180,51
521.200,43
522.210,41
