df_hash,22ZHK4.Z5RDGQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F750
person_label,V82(2)
date_time_start,2025-11-03_16-41-10.212000_+03
date_time_start_unix,1762173670.212
date_time_end,2025-11-03_16-49-55.970000_+03
length_difference_noticed,no

time,battery
14.051,85
24.139,85
34.058,85
44.026,85
54.067,85
64.061,85
74.054,85
84.045,85
94.135,85
104.031,85
114.036,85
124.116,85
134.012,85
144.035,85
154.055,85
164.091,85
174.036,85
184.078,85
194.024,85
204.018,85
214.063,85
224.005,85
234.145,85
244.143,85
254.083,85
264.028,85
274.021,85
284.015,85
294.021,85
304.002,85
314.321,85
323.989,85
334.037,85
344.123,84
354.019,84
364.023,84
374.007,84
384.001,84
394.013,84
403.988,84
414.082,84
423.981,84
434.117,84
444.023,84
454.009,84
464.001,84
473.995,84
483.988,84
493.982,84
503.976,84
514.022,84
