df_hash,22ZHK4.Z5RDGQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F750
person_label,V82(2)
date_time_start,2025-11-03_16-41-10.212000_+03
date_time_start_unix,1762173670.212
date_time_end,2025-11-03_16-49-55.970000_+03
length_difference_noticed,no

time,omega
22.245,0.451
22.976,0.450
23.611,0.448
24.195,0.446
24.926,0.445
25.461,0.444
26.141,0.443
26.746,0.444
27.367,0.443
28.142,0.444
28.825,0.445
30.191,0.443
30.677,0.442
31.360,0.442
32.095,0.442
32.797,0.441
33.261,0.441
34.034,0.441
34.771,0.441
35.350,0.441
36.133,0.441
36.583,0.441
37.306,0.441
37.988,0.441
38.521,0.441
39.207,0.442
39.882,0.442
40.343,0.439
41.009,0.439
41.985,0.436
42.374,0.435
43.056,0.436
43.895,0.436
44.227,0.436
45.072,0.436
45.689,0.436
46.372,0.435
47.158,0.434
47.635,0.434
48.182,0.433
49.104,0.433
49.395,0.432
50.132,0.432
50.761,0.432
51.976,0.432
52.562,0.430
53.150,0.427
53.829,0.427
54.507,0.427
55.170,0.427
55.606,0.428
56.315,0.428
57.157,0.428
57.585,0.426
58.166,0.427
58.952,0.426
59.434,0.426
60.019,0.426
60.702,0.426
61.233,0.427
61.838,0.427
62.551,0.427
62.993,0.427
63.578,0.427
64.466,0.427
64.800,0.427
66.211,0.427
68.176,0.427
68.698,0.428
71.183,0.428
71.811,0.428
72.494,0.427
73.275,0.427
73.717,0.427
74.401,0.427
75.086,0.427
75.816,0.425
76.392,0.421
78.406,0.421
79.030,0.421
79.566,0.420
80.149,0.420
80.640,0.420
81.474,0.422
82.005,0.422
82.836,0.422
83.812,0.422
84.294,0.421
85.768,0.419
86.197,0.418
86.879,0.418
87.561,0.417
88.097,0.417
88.731,0.417
89.264,0.417
90.047,0.415
90.972,0.415
91.604,0.419
92.046,0.417
92.823,0.414
93.463,0.411
94.093,0.411
94.820,0.411
95.457,0.411
96.041,0.411
96.729,0.414
97.310,0.416
97.897,0.417
98.480,0.417
99.169,0.416
106.408,0.416
108.345,0.416
109.601,0.416
110.326,0.416
110.968,0.414
111.736,0.416
115.539,0.416
116.084,0.414
117.343,0.414
119.156,0.416
120.905,0.418
124.708,0.418
125.729,0.410
126.514,0.400
127.005,0.400
127.634,0.400
128.267,0.396
128.998,0.393
129.553,0.387
130.169,0.387
130.898,0.392
131.486,0.392
132.117,0.390
132.854,0.386
133.479,0.386
134.213,0.383
134.999,0.383
135.688,0.384
136.361,0.384
137.089,0.384
137.537,0.384
138.260,0.386
138.939,0.390
142.158,0.390
153.128,0.386
153.856,0.384
154.445,0.384
155.095,0.384
155.910,0.384
156.264,0.384
157.044,0.384
157.662,0.386
158.492,0.388
160.745,0.388
161.460,0.383
165.751,0.383
167.015,0.379
169.363,0.379
169.993,0.376
170.684,0.376
172.144,0.376
172.846,0.374
173.505,0.374
174.137,0.376
175.171,0.377
175.599,0.377
176.187,0.379
176.915,0.384
177.522,0.391
178.238,0.391
178.868,0.384
179.549,0.383
180.133,0.383
180.869,0.385
181.547,0.390
182.052,0.394
182.720,0.396
183.454,0.395
184.870,0.395
185.589,0.393
186.080,0.390
186.770,0.390
187.307,0.390
188.037,0.386
188.614,0.384
189.836,0.384
190.520,0.383
191.203,0.382
191.886,0.382
192.567,0.382
193.688,0.380
197.783,0.377
198.856,0.375
200.315,0.375
201.050,0.375
202.899,0.371
203.637,0.371
204.274,0.371
205.096,0.375
205.587,0.375
206.412,0.376
206.955,0.376
207.482,0.376
208.409,0.377
208.899,0.377
209.536,0.377
210.164,0.378
211.004,0.381
211.679,0.386
212.509,0.390
213.133,0.390
214.017,0.390
214.666,0.390
215.139,0.390
227.915,0.385
236.639,0.385
245.323,0.390
249.701,0.385
253.604,0.380
254.291,0.378
255.060,0.377
258.773,0.377
285.875,0.376
340.428,0.376
346.825,0.376
351.012,0.379
352.807,0.379
353.489,0.379
391.312,0.450
422.569,0.470
439.387,0.498
440.800,0.487
466.062,0.454
472.732,0.452
479.901,0.450
490.039,0.450
500.765,0.446
512.388,0.445
