df_hash,22ZHK4.Z7HMM1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7235
person_label,v141
date_time_start,2026-04-14_16-53-01.848000_+03
date_time_start_unix,1776167581.848
date_time_end,2026-04-14_17-01-17.693000_+03
length_difference_noticed,no

time,acc_mag
5.962,0.987
5.992,1.007
6.022,0.904
6.052,0.888
6.082,0.927
6.112,0.973
6.142,0.984
6.172,0.970
6.202,0.981
6.232,1.008
6.262,1.006
6.292,0.958
6.322,0.925
6.352,0.936
6.382,0.896
6.412,0.892
6.442,0.926
6.472,0.933
6.502,0.950
6.532,1.019
6.562,0.984
6.592,0.967
6.622,0.967
6.652,0.919
6.682,0.892
6.712,0.896
6.742,0.930
6.772,0.954
6.802,0.973
6.832,0.986
6.862,0.998
6.892,0.985
6.922,0.976
6.952,0.934
6.982,0.930
7.012,0.916
7.042,0.922
7.072,0.945
7.102,0.932
7.132,0.939
7.162,0.979
7.192,1.007
7.222,1.026
7.252,1.032
7.282,0.957
7.312,0.900
7.342,0.875
7.372,0.920
7.402,0.942
7.432,0.946
7.462,0.971
7.492,0.968
7.522,0.966
7.552,0.940
7.582,0.927
7.612,0.918
7.642,0.927
7.672,0.944
7.702,0.953
7.732,0.966
7.762,0.980
7.792,0.983
7.822,0.968
7.852,0.963
7.882,0.934
7.912,0.947
7.942,0.958
7.972,0.946
8.002,0.952
8.032,0.945
8.062,0.951
8.092,0.945
8.122,0.969
8.152,0.958
8.182,0.953
8.212,0.959
8.242,0.967
8.272,0.955
8.302,0.949
8.332,0.952
8.362,0.939
8.392,0.943
8.422,0.952
8.452,0.956
8.482,0.950
8.512,0.949
8.542,0.930
8.572,0.928
8.602,0.939
8.632,0.947
8.662,0.944
8.692,0.940
8.722,0.940
8.752,0.943
8.782,0.956
8.812,0.946
8.842,0.937
8.872,0.937
8.902,0.938
8.932,0.958
8.962,0.962
8.992,0.949
9.022,0.949
9.052,0.958
9.082,0.939
9.112,0.966
9.142,0.975
9.172,0.961
9.202,0.946
9.232,0.956
9.262,0.966
9.292,0.957
9.322,0.934
9.352,0.938
9.382,0.966
9.412,0.964
9.442,0.960
9.472,0.963
9.502,0.951
9.532,0.957
9.562,0.963
9.592,0.951
9.622,0.956
9.652,0.954
9.682,0.951
9.712,0.962
9.742,0.965
9.772,0.951
9.802,0.975
9.832,0.972
9.862,0.964
9.892,1.002
9.922,0.980
9.952,0.930
9.982,0.921
10.012,0.917
10.042,0.961
10.072,0.956
10.102,0.946
10.132,0.938
10.162,0.929
10.192,0.938
10.222,0.956
10.252,0.936
10.282,0.936
10.312,0.966
10.342,0.977
10.372,0.968
10.402,0.959
10.432,0.955
10.462,0.960
10.492,0.980
10.522,0.970
10.552,0.995
10.582,0.985
10.612,0.947
10.642,0.951
10.672,0.894
10.702,0.900
10.732,0.924
10.762,0.875
10.792,0.935
10.822,0.940
10.852,0.955
10.882,0.976
10.912,0.957
10.942,0.981
10.972,0.967
11.002,0.967
11.032,0.962
11.062,0.937
11.092,0.944
11.122,0.990
11.152,0.968
11.182,1.007
11.212,0.977
11.242,0.955
11.272,0.984
11.302,0.944
11.332,0.920
11.362,0.960
11.392,0.951
11.422,0.917
11.452,0.917
11.482,0.952
11.512,0.947
11.542,0.944
11.572,0.958
11.602,0.972
11.632,0.970
11.662,0.940
11.692,0.926
11.722,0.945
11.752,0.964
11.782,0.968
11.812,0.979
11.842,0.968
11.872,0.944
11.902,0.973
11.932,0.959
11.962,0.930
11.992,0.921
12.022,0.938
12.052,0.942
12.082,0.956
12.112,0.970
12.142,0.958
12.172,0.950
12.202,0.940
12.232,0.950
12.262,0.956
12.292,0.963
12.322,0.956
12.352,0.952
12.382,0.956
12.412,0.952
12.442,0.954
12.472,0.946
12.502,0.955
12.532,0.967
12.562,0.956
12.592,0.950
12.622,0.945
12.652,0.945
12.682,0.938
12.712,0.945
12.742,0.956
12.772,0.958
12.802,0.957
12.832,0.953
12.862,0.946
12.892,0.942
12.922,0.950
12.952,0.953
12.982,0.947
13.012,0.949
13.042,0.965
13.072,0.972
13.102,0.959
13.132,0.954
13.162,0.950
13.192,0.944
13.222,0.952
13.252,0.957
13.282,0.956
13.312,0.965
13.342,0.957
13.372,0.948
13.402,0.945
13.432,0.948
13.462,0.956
13.492,0.958
13.522,0.935
13.552,0.939
13.582,0.958
13.612,0.965
13.642,0.954
13.672,0.955
13.702,0.950
13.732,0.952
13.762,0.953
13.792,0.957
13.822,0.953
13.852,0.940
13.882,0.934
13.912,0.956
13.942,0.971
13.972,0.954
14.002,0.973
14.032,0.960
14.062,0.946
14.092,0.943
14.122,0.938
14.152,0.978
14.182,0.968
14.212,0.949
14.242,0.935
14.272,0.944
14.302,0.948
14.332,0.954
14.362,0.927
14.392,0.951
14.422,0.961
14.452,0.994
14.482,1.027
14.512,1.148
14.542,1.156
14.572,1.104
14.602,0.925
14.632,0.874
14.662,0.777
14.692,0.737
14.722,0.823
14.752,0.884
14.782,0.915
14.812,0.916
14.842,0.957
14.872,0.940
14.902,0.972
14.932,0.971
14.962,0.963
14.992,1.002
15.022,1.001
15.052,0.969
15.082,0.911
15.112,0.899
15.142,0.911
15.172,0.939
15.202,0.934
15.232,0.874
15.262,0.913
15.292,0.866
15.322,0.876
