df_hash,22ZHK4.Z7HMM1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7235
person_label,v141
date_time_start,2026-04-14_16-53-01.848000_+03
date_time_start_unix,1776167581.848
date_time_end,2026-04-14_17-01-17.693000_+03
length_difference_noticed,no

time,battery
10.543,91
20.537,91
30.628,91
40.573,91
50.567,91
60.561,91
70.557,91
80.549,91
90.641,91
100.537,91
110.584,91
120.525,91
130.568,91
140.596,91
150.556,91
160.575,91
170.565,91
180.635,91
190.532,91
200.526,91
210.616,91
220.562,90
230.702,90
240.550,90
250.544,90
260.551,90
270.532,90
280.526,90
290.520,90
300.611,90
310.653,90
320.655,90
330.544,90
340.538,90
350.556,90
360.531,90
370.519,90
380.545,90
390.508,90
400.572,90
410.496,90
420.538,90
430.532,90
450.700,90
460.496,90
470.539,90
480.582,90
490.557,90
