df_hash,22ZHK4.P47WVA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G7T5
person_label,v134
date_time_start,2026-04-07_18-55-51.502000_+03
date_time_start_unix,1775570151.502
date_time_end,2026-04-07_19-04-08.964000_+03
length_difference_noticed,no

time,temperature
5.196,34.625
6.220,34.688
7.197,34.688
8.223,34.688
9.215,34.656
10.217,34.656
11.192,34.656
12.216,34.625
13.191,34.625
14.215,34.594
15.189,34.594
16.213,34.562
17.188,34.531
18.212,34.562
19.189,34.594
20.262,34.594
21.186,34.594
22.210,34.594
23.184,34.625
24.208,34.656
25.183,34.656
26.207,34.656
27.182,34.719
28.206,34.750
29.182,34.750
30.205,34.812
31.280,34.812
32.305,34.844
33.178,34.844
34.247,34.875
35.229,34.906
36.201,34.906
37.276,34.938
38.200,34.969
39.175,34.969
40.199,34.938
41.179,34.969
42.197,35.000
43.172,35.000
44.201,35.031
45.219,35.031
46.196,35.031
47.218,35.062
48.198,35.031
49.217,35.000
50.192,35.031
51.219,35.062
52.434,35.062
53.215,35.094
54.190,35.125
55.213,35.125
56.194,35.125
57.363,35.125
58.187,35.094
59.247,35.156
60.185,35.156
61.209,35.125
62.185,35.156
63.452,35.125
64.186,35.125
65.207,35.156
66.231,35.188
67.206,35.219
68.181,35.219
69.451,35.250
70.180,35.250
71.204,35.281
72.179,35.281
73.202,35.250
74.228,35.281
75.201,35.281
76.176,35.250
77.346,35.188
78.224,35.188
79.199,35.188
80.273,35.219
81.197,35.219
82.172,35.219
83.197,35.250
84.171,35.281
85.195,35.312
86.170,35.344
87.194,35.375
88.169,35.406
89.390,35.438
90.167,35.438
91.191,35.469
92.188,35.469
93.189,35.500
94.214,35.469
95.189,35.469
96.264,35.438
97.187,35.469
98.214,35.531
99.189,35.531
100.210,35.594
101.185,35.594
102.208,35.625
103.184,35.625
104.207,35.625
105.190,35.656
106.206,35.719
107.181,35.719
108.206,35.688
109.185,35.719
110.209,35.656
111.179,35.656
112.202,35.594
113.178,35.594
114.216,35.625
115.322,35.625
116.200,35.594
117.175,35.594
118.199,35.594
119.173,35.562
120.200,35.594
121.173,35.594
122.540,35.625
123.171,35.656
124.247,35.625
125.470,35.594
126.194,35.625
127.169,35.625
128.193,35.625
129.168,35.625
130.191,35.656
131.319,35.656
132.190,35.656
133.165,35.656
134.212,35.656
135.164,35.719
136.188,35.719
137.406,35.750
138.194,35.719
139.210,35.719
140.186,35.719
141.195,35.750
142.184,35.750
143.229,35.750
144.183,35.750
145.206,35.750
146.187,35.750
147.205,35.719
148.183,35.719
149.204,35.750
150.179,35.719
151.206,35.719
152.178,35.719
153.236,35.719
154.176,35.688
155.200,35.688
156.200,35.688
157.199,35.656
158.178,35.688
159.198,35.656
160.173,35.688
161.198,35.688
162.171,35.688
163.196,35.688
164.170,35.719
165.194,35.750
166.169,35.781
167.485,35.812
168.168,35.781
169.192,35.781
170.166,35.781
171.190,35.781
172.165,35.812
173.192,35.844
174.164,35.812
175.187,35.750
176.163,35.750
177.186,35.750
178.307,35.781
179.185,35.781
180.160,35.812
181.476,35.812
182.169,35.812
183.183,35.844
184.401,35.812
185.182,35.875
186.159,35.875
187.180,35.844
188.301,35.875
189.189,35.844
190.154,35.875
191.206,35.875
192.261,35.844
193.371,35.781
194.200,35.812
195.200,35.812
196.199,35.844
197.174,35.844
198.198,35.812
199.173,35.844
200.197,35.844
201.172,35.844
202.195,35.875
203.178,35.875
204.194,35.938
205.198,35.938
206.192,35.906
207.168,35.906
208.290,35.875
209.267,35.875
210.195,35.844
211.177,35.844
212.189,35.844
213.164,35.875
214.188,35.844
215.163,35.844
216.187,35.844
217.162,35.844
218.185,35.875
219.197,35.906
220.184,35.875
221.181,35.875
222.184,35.906
223.214,35.906
224.183,35.906
225.257,35.906
226.186,35.938
227.159,35.969
228.183,35.969
229.155,35.938
230.179,35.969
231.153,35.969
232.181,36.000
233.152,36.000
234.199,36.031
235.151,36.062
236.223,36.062
237.159,36.031
238.173,36.000
239.151,36.000
240.172,36.000
241.196,35.969
242.219,35.938
243.201,35.938
244.172,35.875
245.193,35.781
246.168,35.750
247.198,35.781
248.191,35.812
249.434,35.844
250.166,35.844
251.189,35.938
252.165,35.938
253.188,35.969
254.165,35.969
255.187,36.062
256.162,36.094
257.186,36.094
258.165,36.062
259.185,36.094
260.406,36.062
261.183,36.000
262.254,35.969
263.206,35.969
264.449,36.000
265.202,36.000
266.160,36.000
267.180,36.031
268.155,36.062
269.181,36.031
270.153,36.062
271.177,36.062
272.152,36.094
273.176,36.062
274.200,36.062
275.175,36.094
276.164,36.062
277.173,36.031
278.148,36.031
279.175,36.031
280.147,35.969
281.178,35.969
282.146,35.969
283.170,35.938
284.145,35.969
285.168,35.938
286.387,35.938
287.168,35.969
288.190,35.938
289.166,35.938
290.287,35.938
291.165,35.938
292.188,35.938
293.164,35.938
294.187,35.969
295.216,35.969
296.189,36.000
297.161,35.969
298.248,36.125
299.160,36.125
300.183,36.156
301.255,36.188
302.182,36.188
303.158,36.219
304.181,36.188
305.186,36.188
306.180,36.188
307.155,36.188
308.179,36.062
309.156,36.062
310.177,36.094
311.201,36.094
312.176,36.062
313.151,36.094
314.175,36.062
315.153,36.062
316.368,36.094
317.149,36.094
318.173,36.062
