df_hash,22ZHK4.P47WVA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G7T5
person_label,v134
date_time_start,2026-04-07_18-55-51.502000_+03
date_time_start_unix,1775570151.502
date_time_end,2026-04-07_19-04-08.964000_+03
length_difference_noticed,no

time,omega
53.369,0.507
56.192,0.497
56.937,0.492
66.821,0.497
68.528,0.492
69.450,0.487
75.164,0.492
75.743,0.487
76.325,0.492
77.986,0.497
90.905,0.502
94.948,0.492
106.746,0.486
108.159,0.486
108.649,0.485
109.674,0.486
110.207,0.497
124.011,0.512
131.318,0.501
133.122,0.501
143.029,0.512
146.186,0.519
146.717,0.519
148.607,0.523
152.915,0.527
155.259,0.527
156.912,0.527
157.641,0.523
159.402,0.523
160.611,0.516
161.788,0.529
163.591,0.532
164.712,0.529
166.494,0.532
167.098,0.529
168.333,0.529
169.587,0.523
170.127,0.513
170.855,0.513
171.388,0.513
171.979,0.513
172.558,0.503
173.150,0.498
173.875,0.495
174.323,0.495
176.118,0.487
176.705,0.480
177.242,0.478
177.880,0.478
178.509,0.480
179.011,0.478
180.021,0.478
185.139,0.478
189.137,0.478
191.087,0.480
191.428,0.476
192.258,0.478
195.426,0.478
196.059,0.478
196.547,0.476
197.229,0.476
197.911,0.480
198.750,0.484
207.905,0.487
208.584,0.487
209.075,0.490
209.709,0.498
210.194,0.516
210.830,0.528
211.266,0.528
212.888,0.533
214.843,0.560
215.949,0.548
216.692,0.533
217.067,0.533
218.246,0.539
218.396,0.550
222.971,0.558
223.651,0.571
242.809,0.571
265.138,0.571
266.159,0.583
280.348,0.585
280.935,0.588
290.198,0.588
295.215,0.585
300.581,0.585
310.625,0.585
317.541,0.585
317.909,0.585
