df_hash,22ZHK4.P47WVA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G7T5
person_label,v134
date_time_start,2026-04-07_18-55-51.502000_+03
date_time_start_unix,1775570151.502
date_time_end,2026-04-07_19-04-08.964000_+03
length_difference_noticed,no

time,quality
27.429,51
28.599,67
29.525,75
30.403,76
31.650,79
32.499,74
33.376,77
34.933,81
35.472,82
36.374,81
37.569,78
38.543,79
39.372,79
40.544,76
41.420,75
42.394,70
43.518,61
44.688,68
45.514,77
46.684,71
47.417,74
48.294,72
49.464,64
50.439,64
51.268,75
52.535,72
53.564,67
54.241,73
55.460,73
56.337,71
57.382,68
58.482,69
59.311,65
60.237,68
61.448,66
62.285,62
63.211,68
64.381,74
65.261,72
66.185,76
67.355,79
68.233,79
69.159,77
70.330,79
71.256,80
72.134,78
73.303,77
74.521,80
75.106,77
76.373,79
77.203,76
78.087,72
79.299,75
80.177,58
81.054,47
82.273,43
83.150,52
84.051,56
85.248,50
86.124,71
87.050,73
88.221,73
89.098,69
90.026,78
91.389,80
92.074,73
92.998,82
94.168,84
95.094,84
95.972,75
97.142,70
98.068,64
98.945,61
100.115,55
101.042,58
101.919,54
103.138,51
104.015,44
105.182,33
106.115,37
107.137,60
107.867,52
109.180,56
109.963,57
110.840,41
112.059,36
112.938,34
114.055,28
115.181,35
116.005,57
116.837,76
118.104,71
118.884,68
119.811,74
120.980,54
121.885,61
122.786,63
124.241,61
124.888,67
125.852,79
126.928,69
127.855,38
128.948,28
129.906,29
130.828,49
131.706,55
132.924,57
134.091,62
134.680,77
135.901,78
136.776,73
137.703,71
138.872,73
139.749,66
140.773,40
141.852,44
142.967,59
143.649,71
144.914,57
145.697,70
146.722,74
147.793,72
148.671,65
149.601,55
150.814,57
151.693,66
152.571,64
153.745,68
154.668,65
155.546,57
156.714,50
157.738,69
158.518,74
159.737,74
160.616,80
161.494,80
162.710,75
163.837,78
164.465,79
165.684,75
166.562,72
167.536,76
168.658,68
169.828,70
170.462,74
171.921,79
172.753,78
173.446,74
174.632,77
175.532,77
176.410,82
177.580,78
178.604,78
179.386,78
180.553,78
181.820,63
182.359,66
183.578,66
184.748,58
185.331,63
186.553,71
187.427,70
188.447,64
189.523,63
190.402,68
191.329,76
192.576,77
193.567,73
194.593,81
195.471,75
196.361,76
197.274,81
198.445,79
199.322,55
200.248,37
201.420,30
202.299,33
203.225,34
204.587,45
205.363,59
206.392,72
207.369,76
208.338,76
209.185,67
210.339,75
211.514,68
212.143,67
213.338,70
214.239,70
215.117,69
216.381,74
217.216,68
218.094,67
219.314,70
220.284,66
221.067,70
222.286,76
223.209,79
224.100,78
225.403,46
226.180,51
227.012,53
228.333,50
229.108,34
229.986,0
231.205,1
232.177,24
233.009,0
234.228,0
235.056,0
235.983,0
237.153,0
238.030,0
239.051,51
240.129,50
241.004,53
241.930,53
243.100,56
244.026,46
244.904,50
246.074,28
247.193,31
247.877,0
249.049,0
249.974,39
250.998,44
252.069,58
252.947,38
253.870,31
255.019,30
256.115,0
256.799,0
258.161,32
259.041,35
259.773,62
260.991,61
261.868,65
262.746,60
263.965,54
264.842,51
265.720,57
266.939,63
268.108,60
268.888,41
269.913,36
270.790,49
271.813,53
272.886,52
273.764,57
274.643,47
276.157,44
276.739,49
277.617,42
278.833,29
279.857,44
280.650,41
281.809,44
282.685,45
283.612,58
284.782,55
285.660,58
286.828,40
287.757,36
288.973,28
289.562,23
290.878,31
291.655,45
292.534,31
293.704,42
294.629,49
295.511,47
296.728,40
297.797,31
298.483,28
299.699,27
300.722,32
301.455,31
302.675,47
303.550,59
304.766,48
305.646,26
306.524,24
307.451,44
308.620,54
309.841,57
310.425,61
311.609,58
312.472,55
313.399,75
314.568,68
315.494,68
316.375,64
317.835,42
318.663,40
319.347,62
320.515,55
321.441,54
322.320,68
323.489,64
324.418,47
325.296,29
326.513,25
327.389,0
328.325,0
329.485,33
330.457,31
331.240,28
332.461,24
333.338,39
334.225,44
335.435,46
336.602,50
337.236,57
338.408,62
339.476,56
340.165,66
341.429,64
342.401,73
343.188,60
344.355,50
345.240,52
346.159,46
347.328,44
348.205,49
349.186,40
350.302,53
351.228,49
352.105,40
353.276,33
354.202,40
355.079,27
356.249,29
357.224,26
358.060,0
359.274,0
360.195,0
361.027,37
362.437,32
363.123,44
364.002,43
365.219,58
366.142,52
366.974,55
368.436,67
369.070,56
369.996,71
371.177,42
372.044,35
372.971,29
374.141,29
375.067,31
375.953,20
377.114,0
377.992,34
378.922,25
380.114,0
381.016,0
381.897,28
383.156,0
383.988,36
384.866,49
386.036,32
387.161,32
387.892,31
389.009,0
389.935,33
390.815,31
392.034,59
393.152,56
393.790,59
395.005,60
395.883,49
396.809,52
398.174,42
399.015,43
431.709,50
432.635,53
433.489,74
434.688,75
435.561,78
436.486,85
438.097,64
438.536,50
439.463,43
440.631,37
441.508,0
442.485,25
443.605,46
444.530,48
445.453,37
446.578,31
447.505,47
448.404,49
449.551,49
450.480,49
451.357,43
452.525,31
453.452,35
454.330,31
455.499,18
456.496,18
457.355,0
458.573,27
459.445,46
460.278,55
461.498,59
462.375,61
463.253,58
464.472,56
465.348,42
466.224,51
467.443,53
468.321,57
469.254,47
470.709,55
471.303,51
472.512,49
473.393,55
474.274,57
475.196,32
476.412,28
477.534,29
478.263,26
479.482,26
480.268,31
481.143,31
482.406,28
483.238,6
484.116,0
485.285,0
486.212,0
487.092,0
488.259,29
489.186,40
490.113,40
491.282,43
492.169,45
