df_hash,22ZHK4.P47WVA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G7T5
person_label,v134
date_time_start,2026-04-07_18-55-51.502000_+03
date_time_start_unix,1775570151.502
date_time_end,2026-04-07_19-04-08.964000_+03
length_difference_noticed,no

time,battery
11.094,44
21.088,44
31.082,44
41.080,44
51.216,44
61.112,44
71.106,44
81.099,44
91.094,44
101.087,44
111.130,44
121.081,44
131.069,44
141.064,44
151.203,44
161.099,44
171.093,44
181.189,44
191.089,44
201.075,44
211.068,44
221.110,44
231.056,43
241.060,43
251.092,43
261.086,43
271.079,43
281.073,43
291.068,43
301.061,43
311.055,43
321.049,43
331.042,43
341.087,43
351.079,43
361.095,43
371.090,43
381.060,43
391.054,43
411.036,43
421.030,43
431.026,43
441.066,43
451.082,43
461.054,43
471.048,43
481.041,42
491.035,42
