df_hash,22ZHK4.P47WVA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G7T5
person_label,v134
date_time_start,2026-04-07_18-55-51.502000_+03
date_time_start_unix,1775570151.502
date_time_end,2026-04-07_19-04-08.964000_+03
length_difference_noticed,no

time,rr_int
9.339,4205
10.461,600
10.997,1145
11.435,505
12.508,500
12.947,1040
13.483,450
14.068,530
14.653,550
14.750,575
14.754,220
16.018,415
16.554,735
17.285,580
18.114,770
18.653,750
19.772,625
20.308,1080
20.747,610
21.039,460
21.868,235
22.404,820
22.941,595
23.528,505
23.917,530
24.501,480
25.037,555
25.622,515
26.158,605
27.280,545
27.816,1130
28.254,540
28.792,515
29.375,540
29.912,545
30.497,545
31.033,560
31.570,540
32.155,550
32.699,575
33.282,570
33.839,545
34.397,560
34.938,570
35.518,570
36.057,595
36.591,545
37.175,575
37.858,550
38.297,595
38.979,545
39.421,570
39.955,525
40.493,520
41.075,595
41.758,575
42.294,615
42.880,600
43.415,625
44.150,550
44.695,600
44.976,570
45.224,320
45.805,295
46.487,595
47.025,590
47.608,570
48.144,575
48.681,560
49.267,535
49.802,565
50.445,560
50.923,580
51.508,580
52.045,570
52.727,605
53.312,610
53.849,595
54.433,565
54.970,565
55.506,565
56.090,560
56.683,545
56.979,570
57.246,265
57.895,320
58.487,655
59.017,555
59.552,570
60.088,560
60.673,555
61.213,560
61.795,550
62.331,540
62.867,565
63.455,550
63.989,590
64.574,555
65.110,575
65.694,585
66.235,580
66.767,590
67.498,560
67.888,570
68.473,555
69.219,555
69.633,570
70.277,550
70.813,580
71.307,550
71.788,540
72.377,555
72.910,525
73.447,560
74.031,535
74.567,560
75.154,570
75.688,555
76.224,560
76.810,570
77.349,585
77.931,550
78.467,545
79.005,555
79.346,515
79.588,330
80.566,285
81.103,1020
82.075,460
82.659,1060
82.665,530
83.050,10
83.732,470
84.317,575
84.854,590
85.438,575
85.978,555
86.512,565
87.096,545
87.490,545
88.071,520
88.607,540
89.192,560
89.729,560
90.315,565
90.849,575
91.532,560
92.117,605
92.654,545
93.193,570
93.775,555
94.316,575
94.896,550
95.143,590
95.432,255
96.114,325
96.118,640
96.213,90
97.236,515
97.918,610
98.507,670
99.186,575
99.722,655
100.307,585
100.843,570
101.429,545
102.649,555
103.379,1225
104.061,725
104.767,725
105.427,735
106.011,700
106.724,590
107.230,635
107.961,625
108.497,615
109.082,605
109.618,575
110.155,575
110.886,520
112.105,655
112.788,1330
113.521,620
114.063,695
114.763,635
115.326,680
116.009,615
116.689,625
117.273,650
117.955,590
118.491,710
119.079,600
120.197,590
120.880,1135
121.430,580
122.101,620
122.684,650
123.366,625
123.953,640
124.487,600
125.465,610
125.859,605
126.291,720
127.413,410
127.948,1165
128.745,505
128.966,545
129.508,535
130.048,515
130.630,555
131.220,585
131.849,595
132.386,585
132.970,550
133.536,560
134.133,575
134.627,595
135.213,590
135.749,590
136.285,550
136.870,540
137.410,555
137.992,560
138.674,600
139.213,575
139.941,655
140.623,680
141.306,665
141.857,660
142.427,605
142.973,610
143.795,600
144.231,575
144.919,645
145.450,605
146.035,580
146.620,575
147.156,570
147.838,605
148.521,670
149.106,680
149.642,640
150.325,575
150.517,630
150.520,155
150.524,10
150.910,20
151.594,405
152.275,645
152.860,690
153.396,600
154.080,615
154.673,575
155.204,570
155.785,565
156.321,575
156.857,595
157.589,620
158.125,595
158.661,590
159.249,595
159.928,610
160.515,590
161.345,625
161.732,615
162.318,650
163.014,600
163.536,580
164.122,595
164.657,600
165.243,565
165.778,575
166.461,580
167.046,580
167.729,645
168.265,640
168.854,590
169.532,600
170.093,610
170.800,645
171.374,635
171.927,595
172.457,580
173.140,585
173.729,600
174.265,620
174.797,585
175.678,580
176.065,580
176.601,585
177.190,580
177.722,560
178.354,560
178.844,560
179.675,565
179.985,570
180.648,595
181.480,680
181.918,495
182.305,575
182.890,540
183.280,555
183.865,535
184.405,540
184.986,535
185.523,570
186.060,525
186.644,575
187.183,580
187.870,610
188.452,590
188.984,620
189.716,590
190.251,590
190.798,570
191.372,575
191.909,570
192.539,545
193.030,585
193.572,580
194.152,610
194.834,580
195.370,605
195.955,610
196.491,590
197.177,575
197.759,585
198.490,600
198.882,715
199.855,390
200.540,1060
200.833,320
201.125,255
201.513,570
202.049,540
202.634,545
203.171,520
203.707,540
204.292,560
204.828,590
205.413,550
205.949,565
206.552,555
207.070,560
207.754,600
208.343,615
209.020,630
209.556,605
210.093,590
210.677,560
211.214,535
211.799,560
212.336,550
212.873,585
213.613,600
214.139,635
214.724,615
215.260,595
215.796,565
216.386,550
216.952,560
217.505,560
218.192,605
218.355,585
218.722,240
219.404,410
219.992,600
220.526,590
221.114,630
221.793,580
222.329,580
222.914,590
223.596,620
224.425,640
224.864,860
226.083,450
226.376,1215
226.668,530
228.764,1295
229.010,1085
230.666,1190
231.397,570
232.079,645
233.054,800
233.347,910
233.591,295
234.175,240
234.713,580
235.248,540
235.833,545
236.226,560
236.809,530
237.491,510
238.468,655
238.758,1010
238.761,235
239.056,275
239.148,215
239.976,290
240.571,545
240.954,500
241.537,520
242.074,535
242.755,520
242.810,760
243.343,10
243.634,460
244.169,330
244.705,560
244.998,520
245.681,260
246.802,720
247.338,1185
247.923,495
248.459,550
