df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,battery
29.449,15
39.493,15
49.337,15
59.331,15
69.348,15
79.367,15
89.433,15
99.406,15
109.595,15
119.343,15
129.433,15
139.352,15
149.377,15
159.320,15
169.457,15
179.355,15
189.347,15
199.344,15
209.335,15
219.329,15
229.323,15
239.320,15
249.335,14
259.304,14
269.347,14
279.343,14
289.334,14
299.384,14
309.419,14
319.421,14
329.333,14
339.427,14
349.297,14
359.291,14
369.333,14
379.328,14
389.320,14
399.315,14
409.407,14
419.341,14
429.306,14
439.290,14
449.283,14
459.328,14
469.320,14
479.314,14
489.307,14
