df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,quality
36.275,60
37.250,77
38.177,77
39.248,80
40.224,76
41.101,67
42.028,39
43.251,30
44.121,0
45.096,0
46.197,0
47.101,0
48.120,33
49.158,49
50.071,51
50.951,55
52.313,50
53.045,63
53.972,66
55.142,67
56.019,71
56.952,82
58.118,81
58.994,80
59.968,77
61.139,74
61.966,80
62.943,76
64.062,59
64.949,59
65.867,43
67.037,38
67.963,40
68.984,44
70.012,44
71.081,60
71.814,63
73.277,66
73.910,76
74.833,72
76.070,55
76.884,46
77.863,40
78.980,43
79.907,48
80.741,43
82.049,64
82.834,56
83.709,49
84.976,36
85.854,36
86.974,35
87.901,33
89.123,29
89.713,47
90.875,65
91.803,66
92.679,69
94.287,71
94.821,75
95.993,75
96.917,79
97.802,73
98.867,78
99.989,81
100.820,81
101.600,78
102.819,76
103.793,71
104.915,57
105.796,51
107.111,38
107.990,33
108.767,28
109.692,0
110.619,38
111.789,47
112.694,53
113.785,62
115.152,64
115.592,52
116.518,59
118.080,53
118.660,0
119.491,29
120.661,0
121.588,14
122.562,13
124.028,12
124.561,3
125.489,11
126.709,0
127.587,27
128.415,0
129.728,35
130.555,30
131.389,0
132.615,0
133.550,53
134.362,55
135.673,70
136.749,74
137.335,77
138.553,73
139.476,75
140.405,74
141.536,55
142.406,31
143.283,23
144.549,1
145.378,0
146.304,0
147.476,0
148.354,0
149.280,24
150.542,46
151.375,51
152.251,52
153.422,60
154.348,56
155.227,72
156.416,60
157.324,59
158.199,59
159.369,64
160.296,61
161.173,59
162.346,64
163.272,73
164.147,69
165.366,69
166.438,74
167.166,75
168.339,75
169.267,71
170.140,74
171.390,58
172.239,32
173.360,28
174.287,27
175.164,29
176.091,26
177.275,37
178.235,50
179.064,63
180.234,71
181.160,69
182.184,67
183.208,48
184.135,36
185.013,35
186.334,0
187.108,0
188.132,9
189.205,13
190.092,0
190.959,5
192.422,0
193.056,28
193.983,0
195.152,27
196.029,33
196.907,56
198.126,44
199.049,34
199.931,32
201.099,26
202.025,29
202.906,42
204.119,67
204.993,45
206.023,0
207.047,17
207.924,0
208.900,0
210.021,0
210.996,0
211.828,0
213.387,0
213.925,0
214.847,36
215.971,32
216.894,0
217.772,0
218.990,23
219.871,0
220.749,34
221.965,0
222.843,30
223.963,0
224.939,0
226.108,0
226.693,3
228.009,0
228.790,0
229.667,6
230.886,4
232.007,0
232.687,23
234.251,22
234.738,17
235.712,33
236.979,42
237.859,43
238.643,33
240.099,28
240.781,18
241.611,43
242.827,0
243.804,0
244.587,0
245.758,0
246.658,0
247.558,0
248.730,44
249.607,52
250.578,39
251.702,35
252.628,41
253.506,47
254.704,52
255.602,49
256.517,49
257.793,61
258.721,56
259.599,42
260.697,32
261.552,43
262.475,42
263.840,36
264.523,44
265.425,31
266.620,39
267.499,34
268.420,33
269.593,37
270.475,36
271.397,58
272.567,55
273.494,57
274.371,0
275.684,0
276.469,0
277.345,0
278.515,0
279.441,0
280.318,39
281.540,0
282.609,0
283.337,0
284.488,22
285.434,22
286.267,29
287.485,0
288.362,0
289.240,0
290.458,0
291.336,0
292.411,0
293.435,0
294.355,9
295.284,3
296.406,0
297.284,0
298.210,0
299.428,4
300.405,0
301.232,4
302.419,0
303.334,27
304.159,23
305.350,26
306.399,43
307.131,60
308.301,51
309.228,42
310.153,60
311.428,50
312.395,38
313.411,40
314.440,43
315.272,49
316.053,39
317.273,0
318.157,38
319.321,42
320.245,42
321.168,33
322.000,47
323.413,74
324.099,73
325.312,65
326.193,75
327.372,34
328.093,34
329.167,33
330.092,31
330.970,36
332.429,36
333.018,53
334.050,53
335.114,70
336.039,74
336.917,74
338.087,68
339.015,70
339.989,66
341.064,60
342.279,52
343.060,29
344.035,24
344.961,29
345.993,28
347.008,30
347.982,39
348.812,46
350.031,31
350.913,51
351.786,57
353.005,46
353.883,47
354.761,52
355.979,48
356.856,56
357.734,67
358.952,63
359.830,47
360.853,48
361.926,48
362.804,48
363.730,19
364.903,0
366.167,0
366.855,0
367.873,28
368.757,0
369.677,2
370.896,29
371.825,31
372.699,36
373.921,41
374.750,54
375.673,43
376.795,48
377.867,47
378.599,39
379.915,42
380.740,43
381.869,56
382.795,37
383.961,44
384.790,47
385.861,56
386.739,43
387.714,41
388.837,0
389.617,44
390.494,0
391.807,0
392.590,35
393.520,61
394.689,0
395.573,0
396.492,15
397.708,17
398.683,0
399.558,0
400.671,59
401.754,51
402.509,48
403.609,29
404.631,30
405.412,0
406.725,40
407.507,31
408.385,32
409.698,32
410.575,31
411.359,27
412.583,0
413.504,0
414.427,16
415.746,0
416.477,0
417.355,0
418.668,0
419.404,10
420.410,13
421.593,11
422.668,16
423.303,56
424.472,53
425.400,48
426.241,43
427.590,38
428.373,42
429.296,36
430.761,46
431.298,53
432.224,19
433.394,28
434.271,32
435.198,25
436.368,0
437.295,0
438.171,19
439.342,30
440.362,0
441.146,20
442.316,0
443.241,30
444.119,30
445.339,30
446.261,35
447.190,59
448.410,62
449.189,55
450.067,55
451.285,77
