df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,omega
71.678,0.541
78.399,0.546
80.062,0.541
86.442,0.537
95.503,0.535
95.802,0.537
96.585,0.535
98.383,0.533
98.437,0.532
123.684,0.533
131.732,0.535
134.656,0.535
135.242,0.534
292.164,0.680
303.672,0.679
310.056,0.651
318.442,0.668
320.055,0.674
322.247,0.679
324.441,0.674
356.081,0.720
383.035,0.720
429.602,0.725
456.067,0.766
467.384,0.800
