df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,rr_int
258.817,550
259.696,590
259.742,870
259.938,10
261.208,170
261.259,1335
261.351,10
261.497,225
261.501,10
262.330,275
262.863,560
263.448,565
263.984,610
264.813,550
265.106,1055
265.641,295
266.762,315
267.055,1175
267.059,215
267.104,10
267.107,10
267.110,15
267.204,20
267.323,250
267.884,595
268.567,10
269.103,570
269.542,585
269.687,530
270.663,10
271.199,1075
271.784,510
272.421,560
272.856,515
272.860,575
273.445,10
274.583,625
275.690,1040
277.490,1185
278.170,1845
279.291,595
279.535,1135
279.539,295
279.684,10
279.828,245
280.950,505
281.390,645
281.632,440
282.777,300
283.056,1075
283.484,345
283.488,385
283.584,15
283.587,10
284.703,15
285.270,1210
285.824,540
285.971,580
285.984,215
287.628,905
287.631,700
287.774,155
287.777,10
288.749,370
288.757,590
289.578,15
289.822,855
290.942,245
290.991,1140
291.089,10
291.587,115
292.064,425
292.079,525
292.168,10
292.213,200
294.696,1275
294.700,1260
294.843,10
294.992,215
295.138,10
296.111,1155
296.503,10
296.793,405
296.939,445
299.474,880
299.864,1625
300.317,405
301.963,265
302.502,1810
303.033,575
303.645,585
303.913,475
304.739,10
304.983,1130
305.275,240
305.421,330
305.426,180
305.717,15
305.812,10
306.933,340
307.079,1090
307.082,210
307.225,80
307.372,180
308.346,460
308.350,555
308.890,10
310.004,495
310.058,1125
310.468,10
310.479,415
310.883,220
311.662,1120
311.810,10
311.954,275
312.636,565
313.084,10
313.612,500
314.148,515
314.614,525
315.123,530
315.854,495
315.859,675
317.219,10
317.804,1495
318.340,515
318.927,590
319.610,500
319.998,530
321.119,625
321.558,1095
322.094,480
322.630,565
323.215,530
323.758,530
324.385,565
324.767,515
325.116,500
325.356,10
325.861,555
326.676,515
327.507,795
327.944,835
328.480,460
330.040,515
331.747,1660
331.756,1600
331.844,10
331.942,100
332.088,350
333.650,1040
333.892,530
333.895,190
333.940,10
333.943,10
333.989,10
334.330,15
334.489,305
334.527,200
334.544,15
334.555,10
334.558,15
334.721,10
334.724,10
334.728,10
334.731,210
335.695,565
336.426,520
336.817,600
337.402,485
337.938,540
338.474,540
339.059,545
339.741,620
339.747,705
339.888,15
