df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,acc_mag
36.373,1.042
36.403,1.044
36.433,1.044
36.463,1.046
36.493,1.041
36.523,1.042
36.553,1.044
36.583,1.041
36.613,1.041
36.643,1.042
36.673,1.038
36.703,1.042
36.733,1.040
36.763,1.042
36.793,1.053
36.823,1.045
36.853,1.047
36.883,1.045
36.913,1.048
36.943,1.045
36.973,1.042
37.003,1.042
37.033,1.052
37.063,1.050
37.093,1.048
37.123,1.042
37.153,1.048
37.183,1.045
37.213,1.041
37.243,1.048
37.273,1.047
37.303,1.040
37.333,1.037
37.363,1.048
37.393,1.046
37.423,1.045
37.453,1.049
37.483,1.043
37.513,1.042
37.543,1.044
37.573,1.041
37.603,1.046
37.633,1.050
37.663,1.050
37.693,1.045
37.723,1.051
37.753,1.048
37.783,1.045
37.813,1.045
37.843,1.050
37.873,1.042
37.903,1.042
37.933,1.052
37.963,1.050
37.993,1.051
38.023,1.048
38.053,1.040
38.083,1.044
38.113,1.046
38.143,1.047
38.173,1.054
38.203,1.051
38.233,1.041
38.263,1.042
38.293,1.044
38.323,1.048
38.353,1.047
38.383,1.046
38.413,1.045
38.443,1.041
38.473,1.047
38.503,1.046
38.533,1.046
38.563,1.051
38.593,1.045
38.623,1.040
38.653,1.044
38.683,1.039
38.713,1.045
38.743,1.045
38.773,1.048
38.803,1.044
38.833,1.046
38.863,1.047
38.893,1.042
38.923,1.045
38.953,1.049
38.983,1.040
39.013,1.045
39.043,1.049
39.073,1.049
39.103,1.052
39.133,1.046
39.163,1.043
39.193,1.041
39.223,1.041
39.253,1.047
39.283,1.050
39.313,1.048
39.343,1.048
39.373,1.043
39.403,1.044
39.433,1.045
39.463,1.045
39.493,1.054
39.523,1.045
39.553,1.043
39.583,1.050
39.613,1.046
39.643,1.049
39.673,1.048
39.703,1.041
39.733,1.041
39.763,1.042
39.793,1.050
39.823,1.048
39.853,1.044
39.883,1.039
39.913,1.050
39.943,1.047
39.973,1.042
40.003,1.043
40.033,1.048
40.063,1.046
40.093,1.049
40.123,1.048
40.153,1.042
40.183,1.042
40.213,1.049
40.243,1.048
40.273,1.048
40.303,1.048
40.333,1.043
40.363,1.045
40.393,1.048
40.423,1.045
40.453,1.045
40.483,1.048
40.513,1.041
40.543,1.039
40.573,1.045
40.603,1.044
40.633,1.041
40.663,1.045
40.693,1.057
40.723,1.045
40.753,1.042
40.783,1.049
40.813,1.043
40.843,1.046
40.873,1.044
40.903,1.040
40.933,1.045
40.963,1.049
40.993,1.050
41.023,1.046
41.053,1.043
41.083,1.050
41.113,1.046
41.143,1.050
