df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,temperature
405.703,35.875
406.442,35.844
407.433,35.812
408.431,35.844
409.600,35.844
410.430,35.875
411.405,35.875
412.428,35.906
413.403,35.906
414.432,35.938
415.402,35.938
416.425,35.969
417.403,36.031
418.522,36.031
419.498,36.062
420.423,36.062
421.398,36.094
422.676,36.094
423.421,36.094
424.421,36.125
425.406,36.125
426.420,36.125
427.395,36.094
428.419,36.094
429.539,36.062
430.453,36.062
431.396,36.031
432.416,36.031
433.735,36.062
434.415,36.031
435.405,36.031
436.414,36.000
437.437,35.969
438.412,35.938
439.390,35.969
440.411,35.938
441.386,35.969
442.410,35.938
443.385,35.969
444.457,35.969
445.411,36.000
446.407,36.000
447.410,36.031
448.415,36.062
449.510,36.000
450.409,36.062
451.479,36.031
452.404,36.062
453.476,36.062
454.402,36.000
455.427,36.000
456.413,36.000
457.431,36.031
458.402,36.031
459.424,36.125
460.423,36.062
461.422,36.188
462.397,36.156
463.426,36.156
464.469,36.188
465.423,36.188
466.395,36.188
467.453,36.219
468.442,36.219
469.417,36.188
470.688,36.188
471.465,36.094
472.440,36.125
473.423,36.125
474.391,36.156
475.708,36.156
476.389,36.125
477.412,36.062
478.387,36.094
479.411,36.094
480.386,36.125
481.459,36.125
482.385,36.094
483.409,36.062
484.384,36.062
485.407,36.062
486.382,36.094
487.442,36.094
488.381,36.094
489.405,36.094
