df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,heart_rate
36.032,104
37.247,104
38.173,104
39.053,104
40.221,106
41.098,108
42.024,105
43.243,105
44.072,106
44.998,106
46.193,105
47.095,105
48.025,105
49.142,105
50.068,107
50.946,107
52.167,108
53.042,109
53.968,109
55.139,109
56.016,109
56.942,109
58.112,109
58.989,109
59.965,109
61.134,109
61.963,108
62.938,108
64.059,108
64.937,108
65.863,108
67.033,108
67.959,108
68.934,110
70.007,111
71.031,111
71.811,111
73.274,110
73.907,109
74.785,108
76.053,107
76.881,107
77.849,107
78.977,107
79.903,108
80.733,107
81.999,108
82.828,108
83.706,108
84.973,107
85.851,107
86.829,108
87.898,107
89.120,107
89.702,106
90.872,106
91.798,105
92.676,105
94.284,105
94.773,105
95.805,105
96.819,106
97.796,106
98.630,106
99.800,106
100.741,106
101.597,106
102.816,106
103.698,107
104.835,107
105.789,108
107.106,107
107.986,107
108.763,107
109.645,107
110.616,110
111.761,111
112.689,112
113.740,112
115.149,112
115.588,111
116.515,111
117.708,111
118.654,111
119.488,111
120.658,111
121.585,111
122.465,111
124.025,111
124.558,111
125.485,111
126.703,111
127.582,111
128.410,111
129.583,111
130.506,111
131.384,111
132.602,111
133.545,106
134.357,106
135.579,104
136.457,104
137.332,103
138.550,103
139.427,102
140.307,102
141.530,101
142.401,101
143.278,101
144.546,101
145.375,101
146.301,101
147.471,101
148.348,101
149.275,101
150.449,103
151.371,104
152.248,105
153.418,106
154.345,107
155.222,107
156.392,107
157.318,107
158.196,107
159.366,106
160.292,106
161.170,106
162.340,105
163.266,105
164.143,105
165.362,105
166.242,105
167.117,105
168.336,106
169.262,105
170.091,106
171.387,105
172.236,105
173.138,105
174.284,105
175.161,105
176.087,105
177.257,103
178.185,103
179.061,103
180.231,103
181.157,103
182.181,103
183.205,103
184.131,103
185.009,103
186.328,103
187.105,103
187.986,103
189.201,103
190.080,103
190.956,103
192.419,103
193.052,97
193.979,100
195.149,93
196.026,96
196.904,96
198.122,98
199.000,96
199.926,96
201.096,96
202.022,96
202.901,96
204.070,98
204.990,99
205.879,98
207.044,98
207.921,98
208.896,98
210.017,98
210.992,98
211.822,98
213.384,98
213.917,98
214.844,100
215.965,101
216.891,100
217.769,100
218.987,100
219.865,100
220.743,101
221.961,100
222.839,100
223.727,100
224.935,100
225.818,100
226.690,100
227.911,100
228.786,100
229.664,100
230.882,100
231.765,100
232.637,93
234.031,97
234.734,95
235.709,96
236.976,95
237.711,95
238.634,96
239.807,95
240.737,95
241.607,101
242.792,97
243.659,98
244.581,97
245.752,97
246.653,97
247.555,97
248.725,101
249.602,102
250.529,104
251.699,105
252.625,105
253.503,106
254.701,107
255.599,108
256.502,109
257.662,110
258.576,110
259.453,109
260.690,109
261.546,109
262.427,107
263.644,108
264.520,107
265.421,107
266.616,107
267.494,107
268.373,106
269.590,107
270.468,106
271.394,107
272.564,107
273.490,108
274.368,107
275.540,107
276.464,107
277.341,107
278.511,107
279.437,107
280.315,105
281.534,106
282.413,105
283.289,105
284.485,105
285.388,105
286.263,101
287.481,103
288.359,102
289.236,102
290.455,102
291.333,102
292.405,102
293.429,102
294.352,102
295.281,102
296.403,102
297.280,102
298.206,102
299.425,102
300.360,102
301.181,102
302.405,102
303.325,100
304.154,96
305.347,102
306.251,102
307.128,104
308.298,106
309.224,108
310.103,110
311.422,111
312.201,109
313.407,109
314.295,109
315.175,111
316.049,109
317.268,109
318.146,111
319.074,111
320.241,112
321.144,111
321.996,110
323.219,110
324.093,110
325.193,110
326.189,111
327.362,110
327.998,110
329.163,110
330.089,110
330.966,111
332.139,110
333.014,111
334.039,112
335.110,113
336.036,113
336.914,114
338.084,114
339.010,114
339.986,113
341.058,113
342.009,112
342.885,112
344.031,112
344.958,112
345.985,112
347.005,112
347.934,114
348.809,114
350.028,113
350.906,114
351.783,114
353.001,114
353.879,115
354.756,116
355.975,116
356.853,118
357.730,117
358.949,119
359.827,119
360.791,118
361.923,120
362.800,120
363.727,119
364.897,119
365.816,119
366.847,119
367.870,119
368.749,119
369.674,119
370.849,121
371.819,117
372.653,117
373.916,116
374.744,117
375.648,117
376.791,117
377.737,117
378.595,117
379.912,117
380.692,117
381.864,118
382.788,117
383.958,118
384.546,117
385.801,118
386.641,119
387.520,119
388.833,118
389.613,120
390.491,119
391.758,119
392.587,119
393.513,116
394.683,117
395.561,116
396.487,116
397.662,116
398.540,116
399.515,116
400.661,118
401.510,118
402.503,118
403.604,117
404.532,119
405.408,118
406.603,120
407.504,118
408.382,118
409.605,118
410.478,118
411.355,118
412.575,118
413.500,118
414.350,118
415.503,118
416.429,118
417.352,118
418.525,118
419.400,118
420.404,118
421.499,118
422.539,118
423.299,119
424.469,120
425.397,120
426.224,120
427.495,120
428.369,120
429.290,120
430.464,120
431.294,119
432.221,119
433.390,119
434.268,119
435.194,119
436.364,119
437.290,119
438.168,119
439.338,122
440.288,120
441.142,120
442.312,120
443.238,118
444.116,118
445.334,117
446.212,117
447.097,117
448.406,117
449.186,117
450.063,117
