df_hash,22ZHK4.P6Z1T7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FNNL
person_label,V15
date_time_start,2025-05-22_11-47-26.273000_+03
date_time_start_unix,1747903646.273
date_time_end,2025-05-22_11-55-08.879000_+03
length_difference_noticed,no

time,ppg_quality
57.904,81
59.924,77
60.934,77
61.944,76
62.954,73
64.974,72
66.994,76
68.004,78
69.004,74
72.034,86
74.054,89
76.074,82
78.094,79
79.104,85
80.114,76
83.144,42
84.154,42
85.164,55
87.184,63
89.204,63
91.224,78
92.234,82
94.254,88
96.274,68
98.294,50
100.314,38
102.324,39
105.354,50
107.374,54
108.384,65
109.394,73
111.414,75
112.424,77
114.444,74
116.464,87
118.484,91
120.504,91
121.514,90
122.524,90
123.534,88
124.544,84
125.554,72
127.574,60
129.594,62
131.614,67
133.624,75
135.644,94
137.664,100
138.674,97
139.684,90
140.694,88
142.714,84
143.724,80
144.734,77
146.754,77
149.784,85
151.804,86
153.824,91
155.844,93
157.864,97
158.874,97
159.884,98
160.894,96
162.914,93
164.934,87
165.944,87
166.954,88
167.964,84
168.974,83
169.984,83
170.994,89
172.004,94
174.024,100
176.044,101
178.064,99
180.084,104
182.104,100
183.114,99
185.134,98
187.154,102
189.174,101
191.194,87
193.214,74
194.224,84
196.244,93
198.264,82
200.284,75
202.304,82
203.314,77
205.334,56
206.344,53
207.354,52
209.374,68
211.394,67
213.414,78
215.434,82
218.464,85
219.474,84
220.484,84
222.504,89
224.524,89
226.544,84
227.554,85
228.564,83
229.574,84
230.584,86
231.594,90
233.614,86
234.624,91
235.634,97
236.644,99
237.654,97
240.684,97
242.704,101
244.724,96
246.744,86
247.754,83
249.774,60
250.784,47
251.794,21
253.814,30
255.834,29
257.854,23
259.874,27
261.894,63
262.904,60
264.924,54
266.944,59
268.964,66
269.974,71
270.984,74
274.014,67
276.034,67
278.054,59
280.074,65
281.084,67
282.094,68
283.104,69
284.114,72
285.124,76
287.144,89
288.154,90
289.164,92
291.184,85
293.204,86
295.224,82
296.234,82
298.254,85
299.264,85
300.274,86
301.284,86
302.294,86
303.304,86
304.314,87
306.334,108
307.344,110
309.364,106
310.374,95
311.384,82
313.404,59
315.424,30
316.434,8
318.454,9
320.474,20
322.494,43
324.514,61
326.534,67
328.554,40
329.564,37
331.584,37
333.604,31
334.614,16
336.634,27
337.644,45
338.654,54
340.674,62
342.694,51
344.714,61
345.724,47
346.734,25
347.744,8
348.754,10
349.764,7
351.784,2
355.824,16
356.834,34
357.844,27
359.864,43
360.874,42
362.894,53
364.914,60
366.934,53
368.954,59
370.974,49
371.984,51
374.004,64
376.024,80
378.044,63
380.064,76
381.074,73
382.084,74
383.094,65
385.114,40
387.134,57
388.144,63
389.154,64
391.174,66
393.194,67
396.224,43
398.244,37
400.264,28
401.274,21
402.284,38
404.304,54
405.314,50
406.324,48
407.334,44
409.354,54
410.364,53
411.374,58
413.394,28
415.414,35
416.424,64
417.434,71
418.444,73
420.464,75
422.484,77
423.494,79
424.504,84
425.514,89
426.524,73
427.534,65
428.544,58
429.554,56
431.574,50
433.594,40
435.614,43
437.634,49
438.644,49
440.664,62
442.684,86
444.704,98
445.714,79
446.724,71
448.744,75
450.764,70
451.774,63
453.794,39
455.814,43
457.834,37
