df_hash,22ZHK4.P6Z1T7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FNNL
person_label,V15
date_time_start,2025-05-22_11-47-26.273000_+03
date_time_start_unix,1747903646.273
date_time_end,2025-05-22_11-55-08.879000_+03
length_difference_noticed,no

time,rr_int
13.657,7860
14.340,850
15.171,725
15.850,730
16.972,820
18.093,1170
19.068,1065
20.046,995
20.872,895
21.847,935
22.676,875
23.505,900
24.187,785
25.020,740
25.991,890
26.820,900
27.697,835
28.772,925
29.893,1060
30.427,940
31.304,785
32.231,835
33.206,935
34.190,1005
34.921,930
35.887,815
36.716,865
37.691,945
38.665,1005
39.495,970
40.520,845
41.493,885
42.273,955
43.102,950
43.931,830
44.616,755
45.588,810
46.566,915
47.392,945
48.221,920
48.952,800
49.634,710
50.525,695
51.292,760
52.267,845
53.388,1100
54.364,1025
55.046,950
55.877,835
56.752,810
56.802,755
57.471,10
58.361,800
59.201,875
60.070,870
60.994,870
61.969,940
62.846,965
63.674,880
64.503,840
64.507,840
65.334,10
66.161,850
66.844,810
67.535,725
68.355,705
69.232,775
70.208,880
71.182,930
71.186,1040
71.305,10
71.309,55
71.312,65
73.084,10
74.790,1830
75.619,1625
75.863,885
76.447,205
77.276,605
77.958,875
78.788,740
79.518,795
80.445,740
80.737,880
80.748,325
81.176,10
81.859,415
82.253,745
82.297,375
82.301,15
82.346,15
82.349,10
82.353,15
82.428,10
82.566,10
83.370,275
84.491,830
85.629,1110
86.736,1035
87.806,1115
88.537,1150
89.366,700
90.195,850
91.171,900
91.852,875
92.535,795
92.541,480
92.684,165
92.687,10
92.691,15
93.510,10
93.949,905
94.339,455
95.216,365
96.045,925
96.144,885
96.878,10
97.558,745
98.239,730
98.971,690
99.799,740
100.773,825
101.603,925
102.287,810
102.971,710
103.942,765
104.771,910
105.746,915
106.575,950
107.312,855
108.135,760
108.963,775
109.792,805
110.626,850
111.450,850
112.132,840
112.863,685
113.589,705
114.380,700
115.204,805
116.036,880
117.012,880
117.739,895
118.421,795
119.104,695
119.792,660
120.517,690
121.361,760
122.175,785
123.004,830
123.832,895
124.125,1070
124.128,10
124.320,15
124.323,180
124.515,235
126.904,1605
127.586,815
128.269,730
129.000,685
129.683,670
130.511,690
131.487,885
132.484,960
133.296,970
133.972,865
134.803,720
135.484,715
136.264,715
137.044,760
137.872,800
138.750,875
139.400,790
140.115,745
140.846,675
141.480,690
142.211,705
142.895,745
143.722,745
144.454,735
144.957,675
145.770,690
146.501,730
147.330,795
148.159,795
148.305,795
148.841,200
149.550,515
150.259,730
150.987,660
151.482,630
152.157,640
152.896,655
153.863,785
154.838,960
155.816,1015
156.059,930
156.642,230
157.331,595
158.153,780
158.982,795
159.812,795
160.541,820
161.419,830
162.199,815
162.735,745
163.418,665
164.152,670
164.978,680
165.806,770
166.781,895
167.756,975
168.731,1010
169.415,925
170.097,780
170.784,680
172.049,695
172.881,1280
173.850,840
173.854,830
174.036,185
174.045,10
174.049,10
174.053,10
174.533,15
175.264,570
175.947,740
176.097,680
176.239,190
176.242,20
176.629,15
177.312,415
178.141,700
179.018,870
179.847,865
180.686,850
181.504,860
182.333,850
183.018,795
183.893,760
184.550,730
184.673,695
184.676,175
185.111,15
185.404,455
185.948,245
186.379,360
186.915,605
187.744,620
188.865,810
188.871,1160
189.012,20
189.017,15
189.065,15
189.098,20
189.142,15
189.158,10
189.164,15
189.170,20
189.177,20
189.189,15
189.194,10
189.199,15
189.257,25
189.270,65
189.308,15
189.406,20
189.414,225
191.351,1095
192.327,860
192.331,905
192.498,260
192.619,10
194.426,535
194.715,1310
194.719,285
194.767,10
194.770,10
194.862,215
196.373,1305
196.377,185
196.522,15
196.526,10
196.911,15
197.738,525
199.008,880
199.542,930
200.371,810
200.571,845
200.664,225
200.689,10
201.638,465
202.320,620
203.051,700
203.739,660
204.417,705
205.106,735
205.830,720
206.513,710
207.199,685
207.488,650
207.491,235
207.495,10
207.732,10
208.463,345
209.003,600
209.585,605
210.267,610
210.803,640
211.485,605
212.217,625
213.323,740
214.431,1165
215.395,1050
216.215,970
217.051,935
217.335,795
217.775,255
218.311,420
218.847,620
219.587,585
220.407,625
221.774,850
222.747,1285
223.869,1150
224.843,1040
225.672,970
226.355,825
227.040,700
227.771,685
228.450,715
229.293,735
230.108,815
231.084,905
231.912,915
232.643,820
233.489,830
234.300,790
234.983,770
235.688,745
236.494,760
237.080,720
237.762,675
238.445,640
239.029,650
239.858,670
240.833,800
241.809,970
242.783,965
244.149,1035
245.562,1420
245.806,1590
246.781,820
246.786,180
247.913,30
248.587,1110
248.877,510
249.560,445
250.144,695
250.388,620
250.392,215
252.338,1220
253.167,770
253.999,810
254.826,875
255.799,800
256.384,1020
256.388,545
257.359,10
257.406,695
257.749,240
257.900,395
258.432,240
259.317,480
259.846,720
260.529,725
261.511,690
262.234,695
262.479,965
263.892,345
264.136,1390
264.139,210
264.282,15
264.285,135
264.575,300
265.988,730
266.817,710
267.500,760
268.200,715
268.865,695
269.596,730
269.840,730
269.844,210
269.891,15
270.284,10
271.110,515
271.790,725
271.798,695
272.474,10
273.057,700
273.886,670
274.592,715
274.715,725
274.718,135
274.766,20
274.769,15
274.910,15
275.153,165
275.982,295
276.667,725
277.494,745
278.181,800
