df_hash,22ZHK4.P6Z1T7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FNNL
person_label,V15
date_time_start,2025-05-22_11-47-26.273000_+03
date_time_start_unix,1747903646.273
date_time_end,2025-05-22_11-55-08.879000_+03
length_difference_noticed,no

time,battery
7.905,32
17.947,32
27.947,32
37.937,32
47.929,32
57.922,32
67.921,32
77.921,32
87.907,32
97.898,32
107.891,32
117.934,32
127.938,32
137.970,32
147.915,32
157.909,32
168.006,32
178.015,32
187.891,32
197.910,31
208.025,31
217.948,31
227.928,31
237.932,31
247.902,31
257.896,31
267.890,31
277.884,31
287.878,31
297.969,31
307.865,31
317.908,31
327.902,31
337.895,31
347.889,31
357.884,31
367.877,31
377.871,31
387.867,31
397.860,31
407.901,31
417.949,31
427.888,31
437.882,31
447.876,30
