df_hash,22ZHK4.P6Z1T7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FNNL
person_label,V15
date_time_start,2025-05-22_11-47-26.273000_+03
date_time_start_unix,1747903646.273
date_time_end,2025-05-22_11-55-08.879000_+03
length_difference_noticed,no

time,omega
42.448,0.644
44.032,0.642
44.819,0.644
45.659,0.646
46.685,0.644
47.451,0.646
48.276,0.644
49.006,0.642
49.701,0.642
50.537,0.641
52.322,0.632
56.801,0.632
56.998,0.632
62.950,0.642
63.729,0.640
64.560,0.631
66.218,0.618
68.456,0.618
76.012,0.618
84.647,0.618
96.184,0.626
103.997,0.626
109.018,0.613
109.956,0.611
110.683,0.613
112.191,0.611
114.435,0.608
118.484,0.600
120.623,0.600
122.230,0.608
134.029,0.608
136.366,0.608
137.927,0.601
140.171,0.601
142.653,0.601
145.925,0.608
146.654,0.608
147.385,0.608
148.458,0.601
150.411,0.601
160.597,0.601
183.993,0.601
199.664,0.611
200.663,0.611
205.262,0.611
205.885,0.607
206.764,0.607
227.292,0.598
227.925,0.596
228.505,0.593
229.390,0.593
230.260,0.596
233.584,0.598
234.356,0.598
235.039,0.598
236.550,0.596
239.934,0.590
255.903,0.584
257.418,0.590
271.891,0.584
273.158,0.590
279.009,0.590
284.228,0.590
286.860,0.590
287.734,0.590
290.615,0.604
299.339,0.606
300.901,0.606
301.585,0.615
302.320,0.623
324.001,0.628
335.418,0.623
338.536,0.623
403.229,0.656
