df_hash,22ZHK4.P6Z1T7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FNNL
person_label,V15
date_time_start,2025-05-22_11-47-26.273000_+03
date_time_start_unix,1747903646.273
date_time_end,2025-05-22_11-55-08.879000_+03
length_difference_noticed,no

time,quality
9.082,100
9.957,100
11.151,33
12.055,0
12.929,0
14.099,23
15.026,54
16.047,48
17.467,43
18.001,36
18.876,40
20.095,42
20.972,62
21.899,57
23.072,65
24.054,74
24.848,64
26.140,64
26.920,68
27.941,69
29.017,67
30.041,70
30.817,69
31.990,61
32.868,60
33.840,65
34.965,65
35.841,66
36.768,70
37.945,73
38.815,72
39.742,65
40.911,76
41.789,76
42.715,76
43.885,79
44.908,72
45.980,56
46.859,63
47.787,62
48.689,61
50.073,61
51.051,36
51.636,39
52.866,45
53.735,32
54.613,41
55.832,52
56.709,54
57.828,31
58.804,43
59.927,71
60.559,75
61.777,70
62.654,74
63.532,76
64.752,80
65.632,74
66.507,75
67.916,77
68.601,47
69.536,51
70.698,45
71.576,39
72.794,40
73.672,35
74.549,31
75.476,37
76.840,33
77.523,45
78.449,34
79.665,47
80.522,38
81.423,60
82.593,55
83.470,59
84.399,61
85.612,30
86.485,33
87.370,42
88.686,57
89.473,58
90.346,37
91.516,36
92.441,33
93.318,44
94.536,35
95.414,41
96.292,33
97.461,23
98.388,0
99.557,22
100.440,29
101.363,45
102.242,36
103.462,56
104.338,59
105.258,51
106.450,51
107.380,46
108.187,66
109.412,56
110.285,65
111.211,73
112.381,74
113.259,65
114.375,45
115.355,47
116.240,53
117.157,33
118.330,61
119.206,70
120.132,36
121.350,33
122.470,47
123.106,48
124.351,46
125.201,50
126.370,44
127.249,47
128.178,46
129.344,44
130.274,38
131.148,51
132.323,39
133.290,31
134.125,41
135.000,51
136.230,34
137.096,35
138.019,65
139.289,58
140.070,70
140.993,63
142.166,43
143.286,48
144.018,72
145.141,78
146.309,75
146.943,74
148.113,69
148.994,60
149.976,72
151.474,71
151.964,45
152.891,46
154.110,58
154.988,28
155.904,33
157.324,43
157.972,52
158.838,49
160.252,47
160.946,71
161.813,77
162.982,79
163.909,60
164.793,37
165.969,51
167.026,38
167.907,35
168.978,43
169.880,64
170.779,46
171.952,39
172.875,32
173.707,31
174.926,31
175.803,27
176.681,29
177.901,36
178.778,38
179.655,36
181.017,43
181.751,43
182.888,79
183.848,73
184.725,62
185.943,50
186.830,34
187.698,31
188.626,39
189.797,26
190.968,35
191.598,28
192.768,45
193.646,26
194.573,27
195.839,23
196.673,19
197.643,21
198.718,21
199.837,24
200.565,56
201.691,61
202.762,53
203.734,37
204.664,29
205.687,53
206.467,66
207.637,72
208.566,69
209.443,42
210.613,45
211.829,61
212.428,65
213.639,41
214.514,41
215.389,0
216.620,11
217.485,29
218.363,26
219.581,11
220.461,31
221.338,38
222.557,0
223.432,0
224.310,8
225.529,20
226.406,21
227.332,12
228.749,40
229.575,29
230.553,61
231.768,35
232.354,43
233.473,67
234.450,70
235.425,63
236.254,66
237.424,76
238.303,66
239.227,56
240.405,57
241.275,33
242.202,29
243.371,41
244.297,17
245.175,0
246.393,11
247.271,18
248.149,29
249.319,22
250.245,12
251.220,14
252.294,0
253.219,0
254.096,20
255.306,32
256.193,34
257.073,46
258.241,28
259.312,32
260.336,25
261.506,30
262.140,50
263.310,45
264.238,44
265.406,48
266.238,50
267.210,47
268.187,54
268.965,61
270.278,75
271.061,82
272.085,77
273.206,73
274.330,74
274.961,74
276.528,74
277.252,73
277.935,67
279.106,53
280.272,55
280.911,55
282.079,62
283.006,64
283.883,69
285.297,72
286.122,72
287.003,70
288.027,73
288.953,72
289.831,74
291.111,79
291.975,82
292.804,80
294.023,78
294.988,80
295.779,78
296.997,81
297.875,78
298.758,76
299.971,76
300.849,73
301.730,79
302.944,75
304.017,73
304.699,24
306.013,26
306.795,0
307.726,0
308.892,0
309.769,0
310.703,0
311.915,0
312.745,31
313.669,0
314.839,37
316.012,30
316.698,35
317.813,23
318.691,0
319.625,30
320.789,0
321.666,0
322.590,4
323.761,45
324.687,27
325.613,0
326.975,0
327.807,28
328.540,37
329.756,29
330.731,37
331.515,26
332.707,31
333.608,34
334.511,38
335.656,47
336.679,43
337.459,24
338.679,23
339.556,31
340.484,30
341.652,25
342.530,41
343.407,35
344.626,29
345.516,27
346.429,24
347.599,27
348.477,19
349.365,27
350.574,37
351.451,48
352.329,50
353.556,44
354.425,52
355.643,27
356.862,25
357.399,0
358.665,3
359.744,1
360.374,0
361.300,0
362.468,0
363.346,44
364.272,41
365.444,46
366.320,2
367.246,19
368.416,7
369.342,4
370.463,0
371.390,0
372.634,0
373.196,0
374.365,0
375.292,0
376.264,8
377.339,13
378.264,0
379.144,0
380.608,0
381.429,0
382.115,28
383.383,33
384.211,31
385.135,34
386.260,22
387.231,28
388.403,26
389.233,35
390.162,21
391.038,0
392.401,0
393.276,7
394.010,2
395.228,2
396.398,1
397.138,12
398.268,8
399.323,13
400.003,32
401.417,27
402.053,43
402.931,41
404.149,42
405.027,37
405.954,26
407.124,31
408.099,27
408.927,0
410.341,0
410.990,0
411.996,17
413.072,34
413.978,34
414.879,31
416.045,0
416.972,0
417.943,0
419.018,0
419.993,1
420.823,2
422.136,32
422.919,46
