df_hash,22ZHK4.FR6L0Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.4JNX
person_label,V102
date_time_start,2025-11-04_19-59-24.084000_+03
date_time_start_unix,1762271964.084
date_time_end,2025-11-04_19-59-57.552000_+03
length_difference_noticed,no

time,acc_mag
4.504,1.036
4.534,1.031
4.564,1.045
4.594,1.038
4.624,1.035
4.654,1.042
4.684,1.042
4.714,1.033
4.744,1.032
4.774,1.025
4.804,1.030
4.834,1.034
4.864,1.031
4.894,0.991
4.924,1.021
4.954,1.017
4.984,1.007
5.014,1.021
5.044,1.043
5.074,1.087
5.104,1.103
5.134,1.100
5.164,1.079
5.194,1.065
5.224,1.053
5.254,1.028
5.284,1.009
5.314,1.031
5.344,1.058
5.374,1.074
5.404,1.064
5.434,1.056
5.464,1.035
5.494,1.010
5.524,1.021
5.554,1.043
5.584,1.054
5.614,1.052
5.644,1.045
5.674,1.036
5.704,1.024
5.734,1.037
5.764,1.035
5.794,1.044
5.824,1.039
5.854,1.036
5.884,1.031
5.914,1.033
5.944,1.038
5.974,1.042
6.004,1.040
6.034,1.043
6.064,1.038
6.094,1.040
6.124,1.026
6.154,1.036
6.184,1.047
6.214,1.041
6.244,1.041
6.274,1.040
6.304,1.044
6.334,1.039
6.364,1.041
6.394,1.041
6.424,1.038
6.454,1.034
6.484,1.036
6.514,1.042
6.544,1.049
6.574,1.046
6.604,1.039
6.634,1.038
6.664,1.035
6.694,1.033
6.724,1.039
6.754,1.029
6.784,1.052
6.814,1.045
6.844,1.035
6.874,1.044
6.904,1.038
6.934,1.045
6.964,1.048
6.994,1.042
7.024,1.045
7.054,1.043
7.084,1.040
7.114,1.037
7.144,1.032
7.174,1.034
7.204,1.036
7.234,1.035
7.264,1.032
7.294,1.041
7.324,1.044
7.354,1.043
7.384,1.028
7.414,1.053
7.444,1.050
7.474,1.039
7.504,1.036
7.534,1.038
7.564,1.040
7.594,1.042
7.624,1.041
7.654,1.044
7.684,1.048
7.714,1.040
7.744,1.033
7.774,1.038
7.804,1.038
7.834,1.046
7.864,1.049
7.894,1.042
7.924,1.045
7.954,1.039
7.984,1.042
8.014,1.026
8.044,1.053
8.074,1.044
8.104,1.032
8.134,1.038
8.164,1.042
8.194,1.038
8.224,1.046
8.254,1.039
8.284,1.052
8.314,1.051
8.344,1.037
8.374,1.026
8.404,1.035
8.434,1.034
8.464,1.037
8.494,1.036
8.524,1.043
8.554,1.045
8.584,1.042
8.614,1.043
8.644,1.028
8.674,1.058
8.704,1.050
8.734,1.039
8.764,1.035
8.794,1.036
8.824,1.037
8.854,1.048
8.884,1.034
8.914,1.037
8.944,1.041
8.974,1.036
9.004,1.035
9.034,1.034
9.064,1.036
9.094,1.035
9.124,1.048
9.154,1.045
9.184,1.042
9.214,1.029
9.244,1.025
9.274,1.042
9.304,1.039
9.334,1.028
9.364,1.030
9.394,1.038
9.424,1.038
9.454,1.052
9.484,1.038
9.514,1.046
9.544,1.046
9.574,1.039
9.604,1.036
9.634,1.036
9.664,1.036
9.694,1.041
9.724,1.043
9.754,1.038
9.784,1.039
9.814,1.032
9.844,1.018
9.874,1.043
9.904,1.043
9.934,1.035
9.964,1.043
9.994,1.044
10.024,1.034
10.054,1.034
10.084,1.037
10.114,1.040
10.144,1.043
10.174,1.042
10.204,1.034
10.234,1.020
10.264,1.015
10.294,1.018
10.324,1.025
10.354,1.039
10.384,1.064
10.414,1.075
10.444,1.046
10.474,1.047
10.504,1.048
10.534,1.039
10.564,1.040
10.594,1.006
10.624,1.018
10.654,1.039
10.684,1.033
10.714,1.043
10.744,1.044
10.774,1.036
10.804,1.033
10.834,1.036
10.864,1.028
10.894,1.035
10.924,1.033
10.954,1.031
10.984,1.031
11.014,1.032
11.044,1.034
11.074,1.051
11.104,1.040
11.134,1.035
11.164,1.040
11.194,1.043
11.224,1.027
11.254,1.032
11.284,1.031
11.314,1.035
11.344,1.037
11.374,1.037
11.404,1.040
11.434,1.041
11.464,1.038
11.494,1.035
11.524,1.035
11.554,1.035
11.584,1.038
11.614,1.026
11.644,1.044
11.674,1.042
11.704,1.036
11.734,1.035
11.764,1.035
11.794,1.034
11.824,1.042
11.854,1.036
11.884,1.042
11.914,1.040
11.944,1.036
11.974,1.039
12.004,1.038
12.034,1.045
12.064,1.038
12.094,1.037
12.124,1.029
12.154,1.032
12.184,1.034
12.214,1.032
12.244,1.036
12.274,1.029
12.304,1.029
12.334,1.029
12.364,1.033
12.394,1.034
12.424,1.031
12.454,1.037
12.484,1.032
12.514,1.032
12.544,1.029
12.574,1.027
12.604,1.030
12.634,1.030
12.664,1.025
12.694,1.007
12.724,1.002
12.754,0.981
12.784,0.980
12.814,1.009
12.844,1.051
12.874,1.053
12.904,1.058
12.934,1.084
12.964,1.081
12.994,1.039
13.024,1.022
13.054,1.022
13.084,1.017
13.114,1.011
13.144,1.023
13.174,1.025
13.204,1.014
13.234,1.006
13.264,1.006
13.294,1.011
13.324,1.010
13.354,1.018
13.384,1.022
13.414,1.021
13.444,1.031
13.474,1.015
13.504,1.021
13.534,1.030
13.564,1.019
13.594,1.015
13.624,1.022
13.654,1.002
13.684,1.008
13.714,1.015
13.744,1.005
13.774,1.007
13.804,1.022
13.834,1.030
13.864,1.032
