df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,heart_rate
17.248,109
18.174,110
19.051,111
20.221,112
21.147,112
22.097,110
23.244,108
24.172,110
25.194,110
26.302,109
27.096,109
27.973,109
29.191,109
30.146,109
31.044,109
32.326,109
33.043,109
33.973,109
35.139,109
36.022,109
36.942,109
38.112,109
38.994,109
39.968,108
41.137,108
42.012,108
42.890,108
44.257,110
44.986,108
45.864,110
47.034,109
47.960,109
48.865,108
50.060,108
50.957,106
51.812,105
53.030,105
53.908,105
54.785,106
56.004,107
56.883,107
57.759,107
58.978,107
59.855,108
60.781,108
61.951,109
62.832,109
63.755,108
64.925,108
65.802,108
66.728,108
67.930,108
68.831,108
69.725,108
70.872,108
71.798,109
72.679,109
73.846,109
74.772,109
75.650,109
76.820,110
77.796,110
78.624,110
79.796,110
80.720,110
81.597,110
82.816,110
83.701,110
84.571,110
85.790,110
86.961,110
87.545,111
88.763,111
89.666,111
90.567,111
91.737,111
92.615,111
93.546,112
95.004,112
95.588,112
96.515,112
97.686,112
98.611,112
99.488,112
100.658,112
101.585,112
102.462,113
103.687,113
104.558,113
105.680,112
106.655,113
107.581,113
108.611,113
109.628,113
110.506,113
111.432,113
112.603,113
113.773,112
114.406,112
115.576,111
116.457,110
117.380,110
118.550,110
119.427,111
120.353,111
121.540,110
122.401,110
123.327,110
124.497,110
125.423,110
126.334,110
127.471,110
128.427,110
129.275,110
130.446,110
131.371,110
132.248,110
133.470,110
134.395,110
135.222,110
136.441,110
137.319,110
138.196,110
139.414,110
140.292,110
141.170,109
142.388,109
143.335,109
144.153,109
145.367,109
146.239,109
147.166,109
148.336,109
149.213,109
150.147,109
151.337,109
152.187,109
153.136,109
154.307,109
155.209,109
156.104,109
157.257,109
158.193,109
159.061,109
160.231,109
161.157,109
162.034,109
163.204,109
164.133,109
165.008,109
166.178,109
167.104,109
168.131,109
169.249,110
170.118,111
170.964,111
172.174,111
173.142,111
173.929,111
175.148,111
176.079,110
176.903,110
178.165,109
179.001,109
179.883,109
181.096,109
182.173,109
182.927,109
184.069,109
184.947,110
185.873,110
187.046,110
187.921,110
188.847,110
190.017,109
190.992,109
191.821,109
193.140,109
193.917,109
194.794,109
195.967,110
196.916,110
197.963,111
198.987,111
199.866,112
200.742,111
201.937,111
202.838,110
203.715,109
204.942,109
205.814,108
206.689,108
207.935,108
208.785,109
209.703,109
210.882,110
211.763,109
212.637,109
214.100,109
214.733,109
215.659,109
216.830,109
217.733,110
218.633,109
219.803,109
220.680,107
221.607,106
222.777,106
223.703,106
224.580,106
225.751,106
226.689,107
227.554,107
228.753,108
229.650,108
230.532,108
231.698,108
232.676,108
233.550,108
234.720,108
235.614,108
236.506,108
237.938,110
238.626,111
239.449,111
240.668,111
241.545,110
242.423,110
243.642,107
244.528,106
245.397,105
246.615,104
247.508,104
248.419,104
249.589,104
250.467,105
251.393,106
252.573,105
253.491,105
254.366,105
255.610,105
256.661,105
257.584,105
258.511,105
259.445,105
260.314,100
261.510,98
262.410,100
263.292,95
264.460,97
265.384,96
266.262,96
267.431,101
268.358,98
269.236,98
270.406,98
271.331,98
272.209,98
273.428,98
274.305,98
275.183,98
276.401,98
277.279,98
278.156,98
279.377,93
280.256,89
281.130,87
282.644,84
283.226,86
284.104,85
285.323,85
286.206,85
287.116,85
288.296,85
289.174,85
290.100,85
291.270,85
292.158,85
293.074,85
294.244,85
295.171,85
296.097,85
297.218,85
298.109,85
299.022,85
300.192,85
301.392,85
301.995,85
303.214,85
304.097,91
304.973,93
306.139,90
307.066,90
307.945,90
309.162,90
310.040,90
310.919,90
312.136,90
313.013,91
313.914,92
315.110,93
316.136,94
316.865,93
318.087,93
318.965,93
319.887,93
321.057,93
321.977,93
322.862,96
324.031,97
324.989,98
325.835,99
327.064,100
327.882,101
328.809,102
329.979,101
330.905,100
331.807,99
332.959,98
333.879,98
334.756,98
335.932,99
336.853,99
337.730,98
338.943,98
339.826,98
340.728,98
341.923,98
342.833,98
343.678,92
344.896,95
345.774,94
346.652,94
347.870,93
348.748,89
349.625,85
350.844,83
351.725,82
352.648,83
353.867,82
354.696,82
355.632,82
356.792,82
357.670,82
358.595,82
359.863,82
360.646,87
361.716,88
362.739,91
363.666,93
364.544,95
365.718,93
366.643,93
367.517,93
368.687,93
369.613,93
370.491,93
371.710,93
372.587,93
373.465,93
374.700,93
375.592,93
376.438,93
377.664,93
378.538,93
379.412,93
380.631,93
381.508,93
382.458,93
383.627,93
384.482,93
385.409,96
386.642,93
387.456,99
388.385,100
389.552,100
390.430,99
391.356,99
392.526,99
393.481,99
394.330,99
395.511,99
396.427,99
397.331,99
398.474,99
399.401,98
400.278,98
401.479,98
402.376,102
403.295,99
404.470,102
405.356,99
406.225,101
407.494,100
408.322,100
409.199,100
410.418,100
411.345,100
412.201,100
413.414,100
414.630,100
415.196,100
416.365,100
417.300,100
418.169,100
419.339,100
420.266,100
421.148,100
422.313,100
423.240,100
424.117,93
425.287,91
426.508,93
427.091,87
428.556,90
429.188,89
430.064,89
431.332,88
