df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,spo2
81.256,99
81.796,99
82.332,99
82.870,99
83.453,99
85.110,99
86.528,99
87.646,99
91.402,99
91.981,99
93.301,99
94.714,99
95.153,99
97.249,99
97.978,99
98.416,99
98.907,99
99.297,99
100.433,99
102.518,99
103.636,99
104.172,98
104.709,98
105.439,98
105.728,98
106.316,98
106.852,98
107.289,98
107.844,98
108.366,98
108.950,98
109.443,97
110.022,97
111.042,97
111.581,97
112.312,97
112.654,98
113.823,98
119.041,98
121.285,98
121.590,98
123.431,98
125.670,98
126.014,98
126.645,98
127.229,98
127.718,98
128.205,98
128.790,98
130.883,97
131.424,98
131.960,98
133.662,98
136.977,98
137.956,98
139.613,98
140.978,98
141.270,98
142.440,98
143.023,98
144.143,98
146.146,98
146.731,98
148.436,98
150.046,98
153.363,98
157.162,98
165.209,98
165.745,98
168.375,98
169.547,98
170.328,98
171.740,98
172.331,98
172.714,98
173.299,98
176.030,98
176.662,98
177.687,98
178.517,99
184.707,99
185.731,99
186.851,99
190.240,99
190.751,99
191.349,100
191.872,100
192.457,100
193.040,100
193.385,100
194.512,100
195.043,100
195.870,100
197.768,100
199.430,100
200.503,100
200.942,100
201.574,100
209.130,100
223.853,100
224.390,100
225.022,100
226.339,100
232.868,100
237.461,100
237.990,100
238.577,99
239.599,99
240.427,100
244.428,100
244.961,99
246.085,100
247.206,100
291.079,100
329.178,100
329.739,99
347.389,99
349.143,99
