df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,rr_int
235.168,250
235.802,260
236.330,525
236.914,555
237.451,530
237.987,550
238.572,540
239.011,530
239.595,530
240.231,555
240.424,590
240.490,170
240.524,15
240.766,15
241.497,415
241.500,655
241.646,10
241.650,225
241.660,10
242.618,380
243.154,590
243.691,570
244.422,570
244.958,575
245.495,575
246.079,580
246.764,575
247.200,570
247.754,545
248.273,555
248.569,545
248.858,220
249.443,330
249.979,565
250.564,560
250.662,580
250.954,210
251.491,280
252.027,570
252.617,455
253.737,665
253.977,1130
254.123,10
254.318,290
255.420,195
256.219,1185
257.685,705
257.877,1430
258.169,565
259.827,1475
260.119,205
261.777,345
261.782,1645
261.948,10
261.973,75
261.977,85
262.215,15
263.302,290
263.901,1115
264.409,520
264.412,540
264.561,200
265.677,920
265.681,175
266.067,10
267.482,335
267.871,1495
267.881,180
269.820,250
269.824,1710
269.827,15
269.971,260
270.115,10
272.892,1870
273.038,1320
275.963,1500
276.646,1345
276.947,795
278.016,240
278.303,1125
278.309,195
278.511,10
278.598,200
278.601,15
278.605,10
279.990,10
280.009,1445
280.012,10
280.058,10
280.061,10
280.064,15
280.068,10
280.253,225
282.349,1705
283.714,485
284.007,1345
285.227,345
286.400,1205
286.516,1200
286.642,10
287.468,705
288.736,320
289.126,1205
289.564,515
290.929,385
291.075,1365
291.222,320
293.176,790
293.464,1220
294.539,200
295.950,875
296.390,1715
297.462,400
297.754,1135
298.047,315
298.583,255
298.668,560
299.705,580
299.853,550
299.902,120
299.905,15
300.045,15
300.049,10
300.151,15
300.387,165
301.070,260
301.118,755
301.122,10
301.169,10
301.190,20
301.203,10
301.407,245
302.630,275
303.994,930
304.303,1415
304.579,365
304.583,235
304.728,10
305.555,15
306.676,865
306.679,1225
306.776,10
306.822,20
306.825,40
306.828,10
306.832,70
306.919,10
306.923,10
307.215,265
307.358,250
308.187,10
308.870,865
309.454,595
309.501,275
309.590,310
309.750,170
309.757,30
309.760,10
309.991,10
310.674,420
310.970,655
310.973,220
310.976,10
311.014,10
311.291,55
312.770,320
312.773,1465
313.208,10
314.042,430
314.183,810
314.187,15
314.190,105
314.381,15
315.012,350
315.991,555
316.271,895
317.060,275
317.353,880
317.498,330
317.645,165
317.938,30
318.620,385
318.623,580
319.156,10
319.308,540
319.741,220
320.813,370
321.545,1195
323.349,655
325.204,1780
325.544,1715
325.559,540
326.127,10
326.664,555
326.667,610
326.810,10
326.813,100
326.956,125
327.005,15
327.008,15
327.346,345
327.350,15
327.931,20
328.468,545
329.175,660
329.735,590
329.792,655
330.027,10
330.031,255
330.417,10
330.564,335
330.612,155
330.616,10
330.664,10
330.667,10
330.965,15
331.544,415
332.778,595
333.054,1185
333.344,255
333.348,15
334.025,335
334.031,625
334.611,10
335.146,615
335.832,610
336.414,640
337.243,630
338.364,760
338.559,1330
340.022,305
340.168,1145
341.679,230
343.190,1555
343.776,1465
344.994,640
344.997,1175
345.972,10
346.554,1030
347.383,555
348.065,800
349.049,765
349.197,870
349.482,245
349.577,10
350.942,300
350.946,1370
351.527,10
353.233,615
354.460,1700
355.183,1320
355.752,585
356.987,595
357.524,1310
358.206,595
358.791,660
359.473,600
360.020,615
361.277,570
361.424,1205
361.724,220
362.934,305
363.373,1260
363.519,520
365.333,1230
365.533,575
365.567,220
365.571,15
365.713,140
365.865,185
367.274,1130
367.526,280
367.810,260
368.102,515
369.081,725
369.224,300
369.795,180
370.150,600
371.046,360
371.564,905
372.006,495
373.514,445
374.348,1465
374.683,890
374.687,180
374.690,10
374.695,10
374.879,10
375.469,360
376.002,550
377.219,555
378.925,1145
379.218,1785
379.559,340
380.729,230
381.168,1260
381.172,325
381.314,195
382.679,720
382.972,665
384.245,400
384.364,1150
384.679,225
385.751,280
386.432,1100
386.584,690
386.628,90
386.636,20
386.725,10
386.972,440
388.238,665
388.945,605
389.260,720
389.650,265
390.333,395
391.164,670
392.672,785
394.087,1655
394.379,1355
395.208,265
395.457,1170
397.178,1245
398.379,420
398.571,1195
398.669,270
398.672,10
398.816,250
399.940,870
400.181,265
401.010,210
401.643,875
402.164,535
402.813,585
403.410,620
403.447,575
403.983,10
404.672,610
405.202,665
405.349,525
405.353,165
405.640,10
405.738,285
405.744,150
406.859,10
407.737,1130
407.746,780
407.789,15
407.792,40
407.981,260
408.127,205
409.540,630
409.785,775
410.467,275
410.760,690
411.126,255
411.442,320
412.027,390
412.278,470
412.858,300
413.538,315
413.830,945
413.834,260
413.928,10
414.220,10
414.224,280
414.269,150
414.272,55
414.277,10
414.682,10
414.828,380
414.952,190
416.029,40
416.473,1180
417.509,430
418.705,990
418.720,1155
418.757,10
418.955,270
420.217,285
420.513,1015
420.997,535
422.178,655
423.142,840
423.291,1000
423.434,140
423.439,40
423.535,15
424.415,10
424.548,1130
426.069,340
426.213,1140
426.227,210
426.752,425
426.896,20
426.901,280
427.188,205
428.309,645
429.139,480
429.387,875
429.967,225
430.016,615
430.019,10
430.260,10
431.094,330
431.237,780
432.317,195
433.772,1115
434.111,1005
434.160,715
434.404,10
434.550,255
434.842,235
435.671,310
435.915,745
436.581,285
438.158,570
438.503,1625
439.279,280
439.285,855
439.669,10
439.815,435
439.820,190
439.864,10
439.877,15
440.258,15
441.083,315
441.375,845
441.765,270
441.769,435
441.960,90
441.964,15
442.060,30
442.112,15
442.115,120
442.118,15
442.304,35
442.594,10
443.081,480
443.325,535
443.423,295
443.429,10
443.715,10
444.300,285
444.548,640
444.836,260
445.519,320
446.104,625
447.191,530
447.323,1130
447.664,175
447.908,355
448.950,260
449.427,915
450.004,565
451.146,570
451.518,1160
451.661,500
452.539,645
452.545,275
452.685,10
452.880,15
453.179,285
453.473,245
454.307,355
454.733,610
455.269,595
455.759,560
456.390,535
457.024,620
457.560,650
458.292,560
458.756,670
458.877,505
459.129,220
459.390,25
459.855,305
460.486,580
460.987,570
461.655,595
462.241,605
462.826,605
463.118,595
463.313,220
464.044,370
464.642,600
464.683,660
464.952,245
465.848,305
465.994,640
466.118,250
466.122,10
