df_hash,22ZHK4.SNEL2E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZR5A
person_label,v107
date_time_start,2026-03-02_13-49-02.582000_+03
date_time_start_unix,1772444942.582
date_time_end,2026-03-02_13-57-50.804000_+03
length_difference_noticed,no

time,ppg_quality
58.109,79
60.129,83
61.139,82
62.149,83
63.159,76
64.169,66
65.179,58
67.199,53
69.209,52
70.219,51
72.239,57
74.259,81
75.269,90
76.279,93
78.299,105
80.319,112
83.349,113
85.369,113
87.389,109
89.409,103
91.429,89
92.439,88
94.459,90
96.479,94
98.499,98
100.519,109
102.529,114
105.559,117
107.579,118
108.589,117
109.599,116
111.619,116
113.639,115
115.659,108
116.669,105
118.689,91
120.709,77
122.729,75
123.739,76
125.759,77
126.769,77
127.779,82
129.799,105
131.819,111
133.829,111
135.849,112
137.869,114
138.879,113
140.899,107
142.919,109
144.939,113
146.959,114
147.969,108
149.989,92
152.009,90
154.029,75
156.049,84
158.069,83
160.089,97
161.099,97
162.109,98
163.119,110
165.139,98
167.159,98
169.179,108
170.189,109
171.199,108
172.209,104
174.229,105
176.249,109
178.269,104
180.289,101
181.299,100
182.309,100
183.319,99
185.339,96
186.349,94
187.359,93
189.379,96
191.399,99
193.419,105
194.429,109
196.449,112
198.469,109
199.479,106
200.489,107
201.499,109
202.509,111
203.519,111
204.529,108
207.559,109
209.579,114
211.599,106
213.619,126
215.639,114
216.649,101
217.659,87
218.669,74
220.689,70
222.709,62
223.719,53
224.729,53
226.749,78
227.759,90
229.779,105
231.799,103
233.819,103
234.829,104
236.849,101
237.859,99
240.889,101
242.909,100
244.929,94
246.949,95
247.959,98
248.969,100
249.979,97
251.999,91
254.019,86
256.039,81
258.059,70
260.079,64
261.089,67
263.109,70
264.119,72
265.129,68
267.149,60
269.169,55
271.189,53
274.219,43
276.239,49
278.259,44
280.279,36
282.299,15
284.319,21
285.329,27
287.349,31
289.369,35
291.389,38
292.399,45
294.419,36
296.439,23
298.459,17
300.479,28
302.499,32
303.509,28
305.529,20
308.559,34
309.569,40
311.589,30
312.599,35
313.609,35
314.619,47
315.629,43
316.639,39
318.659,8
320.679,9
322.699,12
323.709,28
324.719,28
325.729,37
327.749,59
329.769,73
331.789,56
332.799,48
333.809,31
334.819,29
335.829,27
338.859,13
340.879,36
342.899,47
344.919,50
346.939,44
347.949,46
349.969,34
351.989,30
352.999,33
354.009,37
355.019,36
357.039,49
358.049,48
361.079,35
362.089,48
363.099,52
365.119,61
366.129,58
368.149,67
369.159,61
370.169,61
372.189,50
374.209,29
375.219,12
376.229,13
378.249,1
381.279,3
383.299,17
384.309,31
385.319,37
387.339,33
389.359,44
391.379,41
392.389,38
393.399,6
396.429,16
398.449,27
400.469,37
401.479,36
403.499,48
404.509,57
405.519,61
407.539,62
409.559,64
410.569,55
411.579,45
412.589,46
413.599,46
415.619,32
416.629,15
426.729,4
428.749,38
429.759,30
431.779,7
435.819,8
436.829,16
437.839,34
438.849,28
439.859,44
442.889,81
443.899,88
444.909,80
446.929,60
448.949,51
450.969,39
452.989,38
453.999,45
456.019,53
458.039,37
460.059,43
461.069,42
462.079,39
465.109,30
467.129,37
469.149,38
471.169,21
472.179,13
473.189,22
474.199,21
475.209,26
476.219,25
478.239,22
480.259,15
482.279,40
484.299,44
485.309,45
486.319,55
487.329,61
489.349,74
491.369,84
493.389,93
495.409,94
498.439,95
500.459,81
502.479,77
504.499,74
506.519,69
508.539,63
509.549,58
511.569,37
512.579,26
514.599,1
522.679,75
524.699,86
