df_hash,22ZHK4.P6Z1T7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FNNL
person_label,V15
date_time_start,2025-05-22_11-47-26.273000_+03
date_time_start_unix,1747903646.273
date_time_end,2025-05-22_11-55-08.879000_+03
length_difference_noticed,no

time,perfusion_ir
42.423,0.310
44.028,0.310
44.813,0.300
45.647,0.300
46.671,0.300
47.443,0.310
48.272,0.310
49.003,0.310
49.686,0.300
50.532,0.300
52.318,0.300
56.763,0.290
56.813,0.290
62.946,0.290
63.726,0.300
64.556,0.290
66.212,0.280
68.406,0.280
76.009,0.280
84.640,0.280
96.174,0.280
103.991,0.280
109.013,0.280
109.944,0.290
110.677,0.290
112.184,0.270
114.431,0.260
118.476,0.260
120.617,0.260
122.223,0.270
134.021,0.260
136.270,0.260
137.924,0.250
140.167,0.250
142.219,0.240
145.919,0.240
146.650,0.240
147.382,0.240
148.454,0.230
150.407,0.220
160.593,0.220
183.900,0.220
199.644,0.220
200.577,0.220
205.259,0.220
205.882,0.220
206.759,0.230
227.287,0.230
227.920,0.220
228.502,0.230
229.383,0.230
230.257,0.230
233.580,0.230
234.352,0.230
235.035,0.240
236.546,0.240
239.914,0.240
255.900,0.240
257.415,0.240
271.864,0.240
273.154,0.240
279.005,0.240
284.221,0.240
286.856,0.230
287.558,0.220
290.611,0.210
299.336,0.210
300.897,0.210
301.579,0.210
302.312,0.210
323.821,0.210
335.415,0.200
338.531,0.200
403.226,0.180
