df_hash,22ZHK4.EBWR1B
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XCWR
person_label,V90
date_time_start,2025-11-04_15-48-37.532000_+03
date_time_start_unix,1762256917.532
date_time_end,2025-11-04_15-57-25.066000_+03
length_difference_noticed,no

time,battery
11.448,58
21.423,58
31.407,58
41.400,58
51.492,58
61.486,58
71.386,58
81.424,58
91.418,58
101.412,58
111.406,58
121.400,58
131.393,58
141.486,58
151.385,58
161.424,58
171.368,58
181.361,58
191.404,58
201.495,58
211.455,57
221.385,57
231.401,58
241.373,58
251.368,57
261.362,57
271.353,57
281.350,57
291.390,57
301.390,57
311.377,57
321.370,57
331.364,57
341.358,57
351.352,57
361.346,57
371.489,57
381.479,57
391.378,57
401.403,57
411.416,57
421.459,57
431.399,57
441.344,57
451.338,57
461.331,57
471.325,57
481.380,57
491.361,57
501.357,57
511.349,57
521.389,56
