df_hash,22ZHK4.EBWR1B
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XCWR
person_label,V90
date_time_start,2025-11-04_15-48-37.532000_+03
date_time_start_unix,1762256917.532
date_time_end,2025-11-04_15-57-25.066000_+03
length_difference_noticed,no

time,temperature
5.521,29.016
6.496,29.031
7.520,29.094
8.495,29.125
9.518,29.156
10.493,29.203
11.517,29.203
12.492,29.203
13.710,29.219
14.491,29.219
15.515,29.203
16.687,29.234
17.513,29.234
18.540,29.234
19.561,29.281
20.508,29.297
21.511,29.312
22.486,29.328
23.558,29.359
24.631,29.375
25.511,29.469
26.483,29.484
27.507,29.547
28.482,29.578
29.561,29.594
30.529,29.625
31.506,29.609
32.580,29.625
33.503,29.625
34.527,29.641
35.745,29.625
36.526,29.656
37.501,29.656
38.525,29.719
39.500,29.750
40.523,29.750
41.602,29.797
42.522,29.828
43.497,29.891
44.521,29.906
45.499,29.922
46.619,29.938
47.543,29.938
48.567,29.938
49.556,29.938
50.609,29.953
51.495,29.953
52.529,29.953
53.491,29.938
54.515,29.969
55.489,30.000
56.513,30.016
57.488,30.047
58.512,30.094
59.487,30.125
60.511,30.141
61.489,30.156
62.509,30.188
63.788,30.203
64.508,30.234
65.484,30.250
66.510,30.266
67.482,30.266
68.506,30.234
69.727,30.234
70.504,30.266
71.481,30.312
72.503,30.344
73.492,30.375
74.502,30.406
75.477,30.375
76.501,30.406
77.496,30.422
78.697,30.453
79.523,30.484
80.596,30.484
81.552,30.516
82.497,30.516
83.529,30.516
84.496,30.500
85.519,30.453
86.501,30.453
87.518,30.500
88.493,30.516
89.715,30.500
90.492,30.531
91.515,30.562
92.491,30.562
93.522,30.594
94.489,30.609
95.524,30.672
96.493,30.688
97.512,30.656
98.505,30.656
99.510,30.672
100.631,30.656
101.509,30.641
102.484,30.641
103.519,30.641
104.483,30.641
105.507,30.641
106.875,30.625
107.506,30.656
108.529,30.688
109.504,30.688
110.479,30.719
111.503,30.734
112.478,30.766
113.502,30.797
114.515,30.797
115.500,30.828
116.476,30.828
117.519,30.828
118.474,30.828
119.498,30.828
120.473,30.812
121.497,30.828
122.474,30.844
123.495,30.844
124.471,30.844
125.494,30.844
126.472,30.875
127.749,30.906
128.909,30.812
129.492,30.875
130.519,30.859
131.518,30.844
132.514,30.828
133.511,30.844
134.513,30.812
135.488,30.844
136.515,30.875
137.487,30.875
138.510,31.062
139.485,31.078
140.509,31.125
141.490,31.156
142.519,31.156
143.483,31.156
144.507,31.203
145.491,31.188
146.516,31.203
147.480,31.203
148.504,31.094
149.869,31.094
150.503,31.109
151.478,31.125
152.502,31.156
153.476,31.188
154.509,31.203
155.515,31.219
156.499,31.219
157.474,31.234
158.498,31.219
159.473,31.219
160.498,31.203
161.472,31.203
162.495,31.219
163.470,31.219
164.522,31.188
165.469,31.188
166.493,31.188
167.468,31.203
168.492,31.250
169.466,31.234
170.514,31.266
171.469,31.266
172.489,31.266
173.513,31.250
174.528,31.312
175.463,31.297
176.486,31.312
177.510,31.344
178.489,31.344
179.510,31.359
180.484,31.344
181.508,31.234
182.493,31.266
183.506,31.312
184.481,31.297
185.505,31.312
186.480,31.328
187.504,31.328
188.479,31.328
189.502,31.344
190.477,31.375
191.501,31.453
192.476,31.453
193.551,31.438
194.475,31.453
195.499,31.438
196.766,31.438
197.502,31.469
198.473,31.453
199.510,31.469
200.471,31.453
201.500,31.484
202.470,31.469
203.494,31.484
204.501,31.484
205.493,31.484
206.471,31.484
207.516,31.438
208.469,31.438
209.496,31.438
210.565,31.422
211.489,31.453
212.464,31.484
213.734,31.500
214.463,31.516
215.486,31.547
216.659,31.531
217.485,31.562
218.467,31.562
219.489,31.562
220.459,31.625
221.482,31.594
222.457,31.578
223.530,31.562
224.505,31.547
225.480,31.562
226.504,31.594
227.774,31.562
228.502,31.562
229.483,31.562
230.501,31.531
231.497,31.562
232.507,31.578
233.480,31.625
234.499,31.656
235.492,31.641
236.505,31.672
237.472,31.703
238.496,31.734
239.617,31.734
240.501,31.734
241.470,31.750
242.494,31.766
243.469,31.719
244.493,31.703
245.665,31.703
246.491,31.719
247.466,31.719
248.490,31.703
249.500,31.734
250.492,31.766
251.464,31.766
252.520,31.750
253.462,31.766
254.486,31.766
255.510,31.797
256.485,31.797
257.465,31.844
258.532,31.828
259.459,31.812
260.504,31.766
261.612,31.766
262.481,31.797
263.457,31.812
264.480,31.797
265.462,31.797
266.479,31.797
267.846,31.766
268.477,31.797
269.506,31.797
270.476,31.812
271.600,31.812
272.483,31.812
273.498,31.828
274.474,31.812
275.497,31.812
276.472,31.734
277.519,31.734
278.837,31.734
279.495,31.703
280.470,31.734
281.739,31.719
282.861,31.719
283.492,31.703
284.531,31.781
285.490,31.734
286.465,31.812
287.490,31.828
288.467,31.844
289.539,31.844
290.467,31.844
291.487,31.812
292.608,31.781
293.486,31.781
294.461,31.766
295.485,31.812
296.460,31.797
297.532,31.781
298.750,31.781
299.826,31.812
300.457,31.844
301.481,31.875
302.456,31.906
303.480,31.922
304.527,31.938
305.478,31.922
306.502,31.938
307.526,31.938
308.455,31.953
309.476,31.906
310.451,31.906
311.475,31.875
312.450,31.859
313.473,31.844
314.792,31.859
315.472,31.859
316.450,31.875
317.501,31.875
318.446,31.859
