df_hash,22ZHK4.EBWR1B
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XCWR
person_label,V90
date_time_start,2025-11-04_15-48-37.532000_+03
date_time_start_unix,1762256917.532
date_time_end,2025-11-04_15-57-25.066000_+03
length_difference_noticed,no

time,rr_int
10.006,4400
10.992,895
11.306,920
11.956,285
12.785,620
13.716,895
14.637,915
15.612,960
16.440,925
17.416,875
17.426,900
18.390,10
18.393,985
18.488,15
18.491,20
18.493,25
18.537,15
18.543,140
18.546,10
19.365,625
20.097,190
21.023,745
21.998,980
22.145,980
22.827,10
22.832,755
23.655,10
23.661,825
24.634,10
25.508,995
26.434,850
26.438,925
27.312,10
27.315,915
28.241,10
29.214,940
29.217,950
29.221,10
29.311,10
29.317,35
29.360,20
29.364,20
29.412,15
29.539,30
29.542,85
30.042,10
30.046,610
31.166,10
31.603,975
31.943,535
32.875,360
32.970,965
33.698,10
34.530,775
35.502,915
36.330,870
37.159,860
37.211,860
37.988,10
37.991,855
38.817,10
38.821,865
39.792,10
40.621,895
41.609,865
42.473,915
43.302,905
43.305,870
44.283,10
45.106,890
45.956,875
45.959,850
46.763,10
46.766,885
47.738,10
47.744,895
48.570,10
49.568,850
49.785,930
50.571,10
51.366,925
52.174,890
52.181,900
53.149,10
54.027,955
54.953,885
55.928,930
55.931,950
56.806,10
57.641,915
58.658,865
58.661,860
59.584,10
59.587,960
59.733,10
60.413,230
60.416,625
61.242,10
62.217,885
63.061,935
64.021,935
64.852,870
65.824,930
66.653,925
66.799,915
67.628,10
68.457,880
68.751,900
69.432,220
70.310,680
71.138,890
71.382,890
72.113,15
72.942,845
73.770,870
74.599,880
74.602,835
75.447,10
75.720,890
75.724,260
75.728,10
76.403,580
76.549,10
77.087,145
77.134,655
78.061,10
78.065,880
78.890,10
79.182,840
79.768,255
80.599,590
81.430,825
81.961,850
81.980,575
82.253,10
82.259,235
82.265,10
83.081,910
83.086,20
83.182,10
83.276,15
83.280,15
83.374,90
83.377,20
83.381,15
83.670,10
83.676,285
83.717,10
84.788,280
85.617,935
86.445,835
87.420,860
88.249,895
88.639,800
90.053,480
90.881,1360
90.893,890
91.716,10
92.686,890
93.270,850
93.274,585
93.322,10
93.325,10
93.393,30
93.514,165
93.518,10
93.614,15
93.617,10
93.620,10
93.807,10
94.492,365
95.318,620
96.147,860
97.024,855
97.853,885
97.859,860
98.828,10
99.803,890
100.636,935
101.607,920
102.582,940
103.459,960
103.463,915
104.386,10
105.360,935
105.363,940
106.189,10
107.164,945
108.139,925
108.968,955
109.017,890
109.943,10
110.771,935
110.777,890
111.746,10
111.749,890
112.575,10
113.553,910
114.379,900
115.209,855
116.085,840
116.914,890
117.889,865
117.951,900
118.718,10
118.722,895
119.692,10
120.668,945
121.643,905
122.471,980
122.764,945
122.767,195
123.011,15
123.015,15
123.447,15
124.421,690
125.250,950
126.226,920
127.054,905
128.029,920
128.033,870
128.176,10
128.926,245
129.101,590
129.687,10
130.661,900
131.542,930
131.545,840
132.372,10
132.375,915
133.342,10
133.346,965
134.269,10
134.272,865
135.150,10
135.153,930
136.221,10
136.234,1010
136.238,10
136.241,20
136.267,30
136.374,140
136.512,10
137.929,685
138.900,860
139.729,930
139.732,925
140.705,10
140.709,875
141.532,10
141.536,910
142.800,10
142.827,945
143.337,265
144.351,590
144.994,905
145.824,770
146.261,800
146.266,395
146.408,180
147.383,385
148.216,630
148.363,870
149.040,10
149.872,735
149.875,840
150.698,10
151.527,850
152.408,885
152.796,740
153.092,510
154.062,285
154.213,895
154.329,165
154.354,105
154.372,20
154.378,15
154.386,10
154.500,10
154.504,10
155.039,15
155.573,415
156.255,765
156.258,775
157.132,10
157.961,815
157.964,880
158.205,10
158.790,175
158.796,650
159.618,10
159.622,855
160.594,10
161.568,905
161.631,925
162.397,10
162.544,870
163.229,230
164.201,680
165.030,935
165.859,890
166.834,840
167.663,900
168.540,910
169.472,855
170.344,895
171.319,925
171.611,930
172.245,220
173.247,710
173.250,960
174.101,10
175.073,940
175.901,905
176.730,845
177.559,865
177.705,855
178.388,185
179.362,685
179.365,905
180.191,10
181.020,850
181.995,905
182.823,925
183.750,865
184.677,880
185.510,915
186.334,840
187.309,885
188.138,900
188.966,840
189.948,910
190.087,895
190.112,10
190.236,205
190.770,20
191.599,625
192.573,910
193.402,890
193.406,875
194.231,10
195.208,875
195.355,890
196.040,10
196.921,850
197.889,895
197.896,910
198.716,10
198.862,865
199.545,215
200.520,655
201.349,925
201.404,895
202.178,10
203.152,865
203.160,935
203.981,10
204.273,895
204.277,175
204.280,25
204.283,40
204.326,15
204.956,15
205.935,640
206.760,940
207.663,880
208.466,865
209.295,875
209.539,835
210.125,190
210.953,625
211.099,875
211.927,10
211.930,865
212.220,10
212.615,245
212.756,555
213.487,10
214.414,825
214.559,875
215.293,220
215.299,635
215.535,10
216.120,240
216.949,580
217.777,865
218.606,860
218.898,865
219.484,190
220.409,615
220.707,915
220.762,315
221.238,10
221.241,640
221.388,10
221.970,10
222.804,635
223.773,865
223.919,885
223.923,205
223.968,20
223.972,10
223.975,15
224.046,10
224.192,145
224.310,145
224.456,205
224.607,175
224.700,15
224.703,25
224.748,10
224.762,10
224.804,10
225.431,740
225.434,10
225.577,20
225.584,45
225.626,20
