df_hash,22ZHK4.EBWR1B
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XCWR
person_label,V90
date_time_start,2025-11-04_15-48-37.532000_+03
date_time_start_unix,1762256917.532
date_time_end,2025-11-04_15-57-25.066000_+03
length_difference_noticed,no

time,omega
110.834,0.669
111.802,0.651
113.611,0.632
117.162,0.613
117.947,0.618
118.003,0.623
128.085,0.621
133.398,0.623
161.626,0.637
161.682,0.651
165.183,0.637
173.369,0.636
197.936,0.628
201.403,0.628
220.760,0.626
227.186,0.627
252.474,0.627
253.128,0.636
289.454,0.681
