df_hash,22ZHK4.EBWR1B
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XCWR
person_label,V90
date_time_start,2025-11-04_15-48-37.532000_+03
date_time_start_unix,1762256917.532
date_time_end,2025-11-04_15-57-25.066000_+03
length_difference_noticed,no

time,ppg_quality
57.766,89
59.786,93
60.796,92
62.816,83
64.836,83
66.856,82
68.876,76
70.896,83
71.906,89
73.926,86
74.936,82
75.946,75
77.966,70
79.986,73
82.006,72
83.016,62
85.036,38
87.056,34
89.076,47
91.096,61
94.126,78
96.146,97
97.156,104
98.166,103
100.186,82
102.206,83
104.226,93
105.236,96
107.256,95
109.276,96
111.296,95
113.316,91
115.336,91
117.356,93
118.366,92
120.386,87
121.396,87
122.406,89
124.426,93
126.446,91
128.466,91
129.476,92
131.496,94
133.516,94
135.536,92
136.546,88
137.556,83
138.566,79
140.586,79
142.606,82
144.626,85
146.646,92
148.666,103
149.676,105
150.686,96
151.696,90
152.706,90
153.716,89
155.736,67
157.756,50
159.776,50
160.786,60
162.806,70
163.816,72
164.826,80
165.836,94
166.846,108
168.866,107
170.886,112
173.916,106
175.936,101
176.946,101
177.956,100
179.976,101
180.986,101
181.996,99
184.016,97
185.026,99
187.046,106
189.066,107
191.086,101
193.106,108
195.126,114
196.136,112
198.156,107
200.176,112
202.196,114
204.216,106
205.226,103
207.246,103
209.266,104
210.276,103
211.286,100
213.306,99
215.326,106
217.346,106
220.376,104
222.396,104
224.416,98
226.436,80
228.456,58
229.466,48
231.486,29
233.506,23
235.526,32
237.546,54
239.566,72
240.576,84
242.596,78
244.616,50
246.636,35
248.656,11
255.726,9
257.746,24
258.756,32
259.766,39
261.786,44
263.806,19
264.816,11
266.836,8
268.856,20
270.876,16
273.906,52
274.916,65
275.926,67
277.946,47
279.966,42
281.986,48
284.006,43
285.016,37
287.036,40
289.056,41
291.076,52
293.096,44
294.106,32
295.116,37
297.136,37
298.146,30
299.156,28
300.166,12
302.186,2
308.246,11
309.256,23
311.276,40
313.296,42
315.316,45
316.326,24
317.336,17
320.366,16
322.386,26
324.406,40
325.416,25
326.426,54
328.446,81
330.466,81
331.476,62
333.496,67
335.516,93
336.526,81
338.546,60
339.556,58
341.576,54
342.586,42
344.606,21
346.626,10
348.646,3
350.666,15
352.686,28
353.696,30
355.716,34
357.736,53
359.756,57
360.766,54
362.786,59
363.796,67
364.806,73
366.826,82
368.846,69
370.866,60
372.886,45
373.896,39
375.916,29
376.926,28
377.936,26
379.956,42
381.976,62
383.996,80
385.006,73
386.016,76
387.026,70
389.046,68
391.066,76
393.086,58
394.096,35
395.106,24
396.116,26
398.136,31
400.156,11
404.196,19
406.216,35
407.226,41
409.246,40
411.266,46
413.286,31
414.296,31
415.306,30
417.326,19
418.336,13
419.346,28
420.356,45
422.376,76
424.396,86
426.416,91
427.426,99
428.436,80
429.446,79
430.456,67
432.476,46
435.506,26
437.526,21
439.546,26
441.566,44
443.586,44
446.616,42
447.626,37
448.636,56
450.656,52
451.666,48
452.676,51
454.696,38
457.726,38
459.746,33
460.756,22
461.766,17
463.786,38
464.796,43
465.806,50
467.826,62
468.836,67
470.856,94
472.876,124
473.886,114
474.896,111
476.916,105
477.926,110
479.946,104
481.966,104
482.976,101
483.986,105
486.006,97
488.026,75
489.036,74
490.046,68
493.076,40
495.096,42
497.116,42
498.126,44
499.136,36
500.146,35
502.166,33
504.186,16
506.206,15
508.226,21
510.246,26
512.266,30
514.286,21
515.296,18
517.316,33
518.326,24
519.336,31
520.346,29
522.366,42
523.376,61
