df_hash,22ZHK4.EBWR1B
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XCWR
person_label,V90
date_time_start,2025-11-04_15-48-37.532000_+03
date_time_start_unix,1762256917.532
date_time_end,2025-11-04_15-57-25.066000_+03
length_difference_noticed,no

time,heart_rate
15.779,68
16.977,67
17.854,68
18.732,67
19.950,65
20.828,67
21.754,65
22.973,64
23.825,65
24.777,68
25.898,68
26.853,68
27.702,68
28.872,67
29.847,66
30.675,66
32.287,66
32.772,66
33.649,65
34.869,66
35.749,66
36.672,67
37.842,68
38.719,69
39.645,69
40.815,69
41.742,69
42.622,69
43.792,69
44.717,69
45.593,68
46.814,68
47.689,68
48.716,68
49.818,68
50.958,68
51.540,68
52.788,67
53.687,67
54.563,67
55.733,67
56.611,67
57.538,66
58.707,66
59.633,67
60.520,67
61.706,67
62.607,67
63.779,67
64.703,67
65.580,67
66.458,67
67.676,67
68.554,67
69.480,67
70.650,67
71.551,67
72.454,67
73.624,68
74.550,68
75.429,69
76.598,69
77.573,69
78.402,69
79.573,70
80.498,70
81.375,71
82.594,71
83.493,70
84.446,70
85.568,70
86.449,70
87.371,70
88.567,70
89.419,70
90.370,70
91.519,70
92.441,62
93.372,65
94.538,65
95.415,65
96.295,67
97.463,67
98.391,67
99.266,68
100.485,68
101.363,68
102.240,67
103.508,66
104.337,65
105.263,65
106.433,65
107.310,65
108.236,65
109.445,64
110.285,64
111.239,64
112.380,65
113.306,66
114.184,67
115.403,67
116.280,68
117.164,68
118.376,69
119.254,69
120.132,69
121.350,68
122.230,67
123.105,65
124.324,64
125.201,64
126.128,64
127.297,64
128.470,65
129.125,66
130.271,67
131.198,68
132.077,68
133.245,68
134.171,68
135.049,67
136.366,67
137.145,65
138.022,64
139.241,64
140.119,64
141.020,65
142.215,66
143.092,67
144.019,67
145.190,67
146.066,68
146.994,69
148.162,70
149.384,72
149.966,70
151.136,72
152.062,73
152.942,72
154.112,71
155.333,71
155.914,71
157.136,71
158.010,71
158.887,72
160.106,73
160.984,72
161.861,71
163.081,70
163.957,69
164.885,68
166.054,67
166.931,67
167.857,67
169.027,67
169.954,68
170.832,68
172.002,68
172.928,68
173.805,67
174.975,66
176.197,65
176.779,65
178.002,66
178.875,67
179.759,68
180.971,69
181.848,69
182.726,69
183.945,68
184.822,68
185.803,68
186.919,68
187.803,68
188.726,68
189.899,68
190.867,68
191.696,68
192.888,68
193.792,68
194.709,68
195.840,68
196.769,68
197.643,68
198.866,68
199.743,68
200.617,68
201.836,68
202.713,68
203.656,68
204.810,68
205.715,68
206.613,67
207.783,67
208.710,67
209.587,68
210.757,69
211.683,70
212.565,70
213.780,70
214.658,71
215.538,71
216.753,71
217.631,71
218.557,71
219.753,71
220.607,71
221.533,70
222.718,71
223.578,71
224.508,71
225.701,71
226.606,71
227.478,70
228.653,70
229.575,71
230.452,73
231.640,73
232.587,72
233.428,72
234.648,71
235.533,70
236.497,70
237.619,70
238.499,70
239.375,71
240.739,70
241.475,70
242.396,70
243.567,70
244.443,70
245.369,70
246.590,70
247.417,70
248.343,70
249.540,70
250.439,70
251.355,70
252.733,70
253.413,79
254.291,81
255.513,82
256.387,80
257.268,80
258.483,80
259.415,80
260.238,80
261.457,80
262.334,80
263.261,80
264.431,73
265.315,77
266.234,75
267.415,75
268.282,75
269.208,75
270.378,75
271.304,75
272.474,75
273.352,71
274.278,71
275.158,72
276.351,73
277.252,74
278.473,75
279.370,75
280.274,75
281.183,75
282.335,75
283.199,75
284.126,75
285.296,75
286.173,75
287.099,75
288.269,75
289.172,75
290.073,75
291.267,69
292.169,69
293.048,70
294.217,63
295.143,71
296.021,69
297.303,72
298.165,70
299.092,72
300.213,71
301.090,71
301.968,71
303.187,71
304.064,71
304.942,71
306.183,71
307.038,74
307.964,75
309.137,75
310.012,74
310.938,75
312.108,74
312.985,74
313.912,74
315.082,74
316.008,65
316.885,68
318.078,69
318.982,60
319.859,62
321.082,63
321.955,57
322.835,58
324.444,59
324.929,59
325.807,58
327.025,58
327.903,58
328.829,58
330.001,58
330.876,58
331.803,56
332.973,56
333.850,55
334.803,55
335.951,56
336.873,55
337.750,61
338.920,64
339.847,61
340.724,60
341.943,60
342.952,60
343.701,60
344.916,60
345.817,64
346.674,70
347.896,73
348.768,75
349.649,77
350.870,79
351.741,78
352.668,79
353.838,79
354.716,78
355.641,78
356.811,78
357.689,78
358.615,78
360.035,78
360.711,78
361.589,78
362.759,79
363.764,80
364.563,80
365.785,80
366.659,80
367.541,79
368.707,78
369.635,78
370.510,78
371.732,78
372.641,78
373.489,78
374.706,78
375.580,78
376.607,78
377.676,75
378.557,76
379.431,76
380.651,76
381.527,65
382.478,69
383.626,70
384.501,70
385.428,69
386.598,69
387.572,69
388.401,69
389.574,69
390.497,69
391.473,69
392.545,69
393.471,69
394.349,69
395.532,69
396.544,72
397.322,70
398.541,70
399.419,70
400.296,70
401.517,70
402.392,70
403.270,70
404.489,61
405.366,64
406.244,72
407.613,77
408.342,79
409.267,79
410.449,77
411.317,78
412.435,77
413.410,77
414.298,77
415.214,77
416.384,72
417.310,75
418.215,78
419.357,79
420.308,78
421.161,79
422.484,78
423.257,78
424.136,78
425.353,78
426.231,78
427.108,78
428.427,78
429.205,72
430.082,74
