df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,ppg_quality
57.828,75
58.838,74
59.848,77
60.858,77
62.878,79
64.898,80
66.918,80
68.938,82
69.948,81
71.968,84
73.988,88
74.998,91
76.008,93
78.028,88
80.048,87
81.058,88
83.078,86
85.098,85
87.118,82
89.138,84
91.158,84
92.168,84
93.178,84
94.188,82
96.208,76
98.228,77
100.248,75
102.268,77
105.298,77
106.308,80
107.318,80
108.328,79
109.338,79
176.538,88
177.548,89
179.568,84
181.588,85
183.608,85
185.628,80
187.638,79
190.668,80
192.688,77
194.708,77
195.718,79
197.738,79
198.748,80
201.778,80
203.798,82
205.818,81
207.838,83
208.848,83
210.868,83
212.888,83
214.908,87
216.928,82
217.938,81
218.948,83
220.958,84
221.968,82
222.978,80
223.988,78
224.998,76
226.008,77
228.028,79
230.048,76
231.058,80
232.068,81
235.098,83
237.118,81
239.138,86
241.158,82
242.168,80
243.178,79
244.188,78
246.208,81
248.228,76
250.248,73
252.258,71
254.278,81
255.288,76
256.298,67
257.308,67
259.328,68
261.348,72
263.368,50
265.388,59
268.418,53
270.438,49
272.458,49
273.468,54
274.478,57
275.488,59
276.498,66
277.508,78
278.518,82
279.528,98
281.548,104
283.568,110
285.588,104
287.608,96
288.618,93
289.628,80
290.638,77
291.648,79
292.658,76
294.678,81
296.698,83
298.718,72
300.738,53
303.768,44
304.778,43
306.798,48
307.808,55
308.818,63
310.838,79
311.848,74
313.868,72
314.878,68
316.898,60
317.908,61
318.918,59
319.928,54
320.938,56
322.958,46
324.978,37
325.988,35
328.008,22
330.028,13
332.048,20
333.058,35
335.078,54
336.088,57
337.098,59
339.118,77
341.138,86
343.158,92
344.168,94
346.188,95
348.208,97
350.228,92
352.248,84
354.268,84
356.288,79
357.298,80
358.308,78
359.318,67
360.328,58
361.338,51
362.348,49
363.358,37
364.368,38
365.378,42
366.388,38
367.398,38
369.418,23
370.428,29
371.438,30
372.448,26
374.468,29
376.488,29
378.508,57
379.518,52
381.538,58
383.558,66
385.578,51
387.598,58
389.618,70
390.628,71
392.648,65
393.658,70
394.668,71
396.688,59
398.708,33
400.728,42
402.748,41
404.768,47
407.798,34
409.818,51
411.838,42
413.858,37
414.868,27
415.878,22
416.888,15
418.908,11
420.928,6
422.948,10
424.968,17
425.978,17
426.988,21
429.008,37
430.018,39
431.028,37
432.038,27
434.058,35
436.078,22
438.098,6
440.118,6
441.128,10
443.148,15
445.168,30
447.188,64
448.198,75
450.218,83
451.228,85
452.238,85
454.258,87
455.268,90
456.278,91
457.288,89
458.298,88
460.318,89
462.338,87
463.348,87
464.358,85
465.368,83
467.388,81
468.398,83
469.408,83
471.428,79
473.448,84
474.458,87
476.478,86
478.498,84
480.518,82
482.538,86
484.558,80
487.588,82
489.608,80
491.628,80
493.648,79
494.658,82
495.668,82
496.678,78
497.688,78
498.698,82
500.718,81
502.738,82
504.758,76
506.778,80
507.788,80
509.808,66
510.818,68
511.828,65
513.848,57
515.868,53
517.888,51
520.918,55
522.938,36
523.948,35
524.958,29
525.968,24
527.988,14
528.998,8
534.048,20
535.058,30
536.068,37
537.078,34
538.088,32
540.108,48
542.128,77
544.148,71
547.178,71
550.208,57
551.218,54
553.238,39
555.258,28
558.288,13
559.298,17
560.308,12
561.318,3
562.328,19
564.348,12
573.438,17
574.448,28
575.458,33
576.468,43
578.488,59
579.498,62
580.508,57
582.528,30
584.548,22
586.568,105
