df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
6.688,203686,183,171244
6.693,203654,182,171251
6.698,203636,180,171238
6.703,203681,179,171227
6.708,203661,177,171237
6.713,203649,186,171242
6.718,203687,185,171235
6.723,203678,183,171240
6.728,203672,182,171232
6.733,203665,182,171255
6.738,203666,185,171238
6.743,203675,183,171234
6.748,203682,183,171231
6.753,203685,182,171256
6.758,203684,181,171229
6.763,203685,181,171230
6.768,203671,179,171228
6.773,203660,178,171229
6.778,203658,177,171210
6.783,203637,176,171225
6.788,203636,179,171218
6.793,203649,178,171215
6.798,203658,178,171209
6.803,203666,177,171223
6.808,203654,186,171208
6.813,203655,185,171202
6.818,203653,184,171212
6.823,203660,183,171209
6.828,203661,182,171205
6.833,203655,186,171211
6.838,203650,184,171200
6.843,203668,183,171216
6.848,203658,181,171218
6.853,203653,180,171205
6.858,203675,178,171213
6.863,203667,177,171210
6.868,203665,187,171212
6.873,203672,185,171212
6.878,203679,183,171192
6.883,203672,186,171206
6.888,203684,185,171218
6.893,203694,183,171228
6.898,203681,181,171193
6.903,203703,180,171231
6.908,203703,178,171226
6.913,203686,176,171232
6.918,203700,185,171236
6.923,203691,183,171206
6.928,203730,181,171232
6.933,203720,183,171220
6.938,203731,182,171236
6.943,203721,180,171237
6.948,203768,178,171238
6.953,203747,178,171235
6.958,203757,186,171240
6.963,203771,184,171252
6.968,203771,183,171243
6.973,203794,183,171250
6.978,203792,181,171261
6.983,203798,185,171248
6.988,203820,184,171253
6.993,203823,182,171264
6.998,203828,180,171265
7.003,203822,179,171269
7.008,203845,178,171275
7.013,203870,176,171291
7.018,203864,186,171301
7.023,203865,184,171302
7.028,203874,186,171260
7.033,203882,180,171305
7.038,203893,179,171300
7.043,203908,178,171316
7.048,203917,178,171321
7.053,203935,177,171321
7.058,203924,177,171324
7.063,203949,176,171327
7.068,203949,187,171337
7.073,203961,187,171331
7.078,203989,179,171336
7.083,203960,178,171341
7.088,203972,178,171336
7.093,203982,176,171344
7.098,204000,185,171348
7.103,204025,184,171349
7.108,204007,183,171348
7.113,204024,182,171362
7.118,204037,181,171372
7.123,204037,180,171358
7.128,204053,183,171372
7.133,204062,182,171378
7.138,204076,181,171383
7.143,204084,180,171402
7.148,204101,178,171383
7.153,204097,177,171387
