df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,perfusion_ir
40.705,0.370
41.585,0.360
42.411,0.360
43.048,0.360
43.780,0.360
44.754,0.360
45.290,0.350
46.364,0.340
47.094,0.350
47.886,0.350
48.803,0.350
49.675,0.350
50.261,0.340
51.089,0.340
51.872,0.340
52.701,0.340
53.624,0.330
54.553,0.330
55.235,0.320
55.926,0.320
56.701,0.320
57.670,0.310
58.404,0.310
59.042,0.310
59.777,0.310
60.604,0.320
61.478,0.330
62.259,0.330
63.165,0.330
63.587,0.330
64.447,0.320
65.229,0.310
65.964,0.310
66.939,0.320
68.007,0.330
68.788,0.330
69.617,0.330
70.351,0.330
71.182,0.330
72.103,0.330
73.075,0.330
74.016,0.340
75.025,0.350
76.100,0.360
76.834,0.370
77.658,0.360
78.636,0.350
79.481,0.350
80.680,0.360
81.658,0.380
82.532,0.390
83.410,0.390
84.336,0.390
85.266,0.390
85.996,0.380
86.728,0.360
87.700,0.350
88.629,0.370
89.653,0.390
94.382,0.390
94.919,0.360
94.973,0.340
96.439,0.340
96.968,0.320
97.794,0.320
98.623,0.310
99.646,0.310
100.378,0.310
101.402,0.300
102.282,0.300
102.866,0.300
103.644,0.300
104.331,0.290
105.253,0.290
105.935,0.290
107.060,0.290
107.736,0.290
108.764,0.290
109.735,0.290
110.472,0.300
123.943,0.300
128.920,0.300
129.793,0.300
130.668,0.300
131.402,0.290
132.179,0.290
133.108,0.290
133.740,0.290
134.522,0.290
135.399,0.300
136.325,0.300
137.203,0.310
137.885,0.290
138.617,0.290
139.444,0.290
140.079,0.290
141.249,0.290
142.273,0.310
143.147,0.320
143.976,0.320
144.756,0.320
144.905,0.310
146.365,0.300
147.343,0.300
148.324,0.310
149.293,0.320
150.365,0.330
151.145,0.330
151.829,0.330
152.561,0.330
153.290,0.310
154.165,0.300
155.045,0.310
155.885,0.320
157.047,0.330
159.089,0.330
159.820,0.320
160.802,0.320
161.773,0.320
162.850,0.320
163.817,0.320
164.600,0.330
165.527,0.330
166.115,0.320
166.893,0.320
167.623,0.300
168.644,0.300
169.670,0.300
170.500,0.310
173.180,0.310
173.863,0.310
174.935,0.310
175.907,0.310
176.674,0.310
177.571,0.310
178.299,0.310
178.994,0.310
179.811,0.300
180.688,0.300
181.667,0.300
182.489,0.300
183.422,0.290
184.198,0.280
185.657,0.280
186.636,0.280
187.464,0.290
188.439,0.290
189.122,0.290
189.903,0.280
190.776,0.280
191.608,0.280
192.388,0.280
193.314,0.280
194.386,0.280
197.653,0.280
198.482,0.280
199.700,0.280
200.282,0.300
201.163,0.310
201.943,0.300
202.579,0.280
203.308,0.280
204.332,0.290
205.161,0.300
206.233,0.310
206.964,0.300
207.839,0.290
208.477,0.290
209.209,0.290
209.968,0.290
211.453,0.290
212.034,0.290
212.960,0.290
213.737,0.290
214.566,0.290
215.398,0.290
216.129,0.290
216.967,0.280
217.889,0.280
218.630,0.290
219.636,0.290
220.383,0.290
221.057,0.290
221.887,0.290
222.659,0.280
223.542,0.270
224.462,0.270
225.343,0.290
225.977,0.290
226.272,0.290
227.491,0.290
228.219,0.270
229.051,0.260
230.023,0.260
231.829,0.260
235.270,0.260
236.163,0.270
237.092,0.280
238.164,0.290
238.703,0.290
241.095,0.270
241.769,0.260
242.505,0.270
243.524,0.280
248.855,0.280
249.673,0.290
250.400,0.280
251.570,0.270
254.983,0.270
256.984,0.280
257.518,0.280
258.298,0.280
264.438,0.290
266.681,0.280
267.512,0.260
270.482,0.260
271.135,0.250
272.826,0.250
273.749,0.250
274.439,0.250
283.603,0.260
284.330,0.280
287.597,0.290
288.572,0.300
289.596,0.300
290.141,0.310
291.788,0.310
312.899,0.330
318.119,0.320
328.495,0.310
335.762,0.320
336.642,0.330
337.391,0.330
338.638,0.330
339.369,0.330
340.303,0.340
341.174,0.350
346.003,0.360
346.877,0.380
347.707,0.390
348.583,0.390
350.094,0.390
360.234,0.390
361.791,0.410
362.530,0.410
363.498,0.420
364.384,0.420
365.548,0.420
366.425,0.420
372.858,0.420
376.577,0.420
388.802,0.410
390.066,0.400
392.412,0.370
405.276,0.280
405.769,0.280
411.080,0.280
416.538,0.280
418.055,0.280
418.683,0.280
447.303,0.400
448.229,0.410
449.005,0.430
449.940,0.440
453.444,0.450
454.138,0.450
454.904,0.450
455.636,0.450
456.464,0.450
457.539,0.450
458.368,0.450
459.148,0.440
459.977,0.440
460.642,0.440
461.391,0.430
462.414,0.430
462.902,0.420
463.832,0.400
464.752,0.390
465.535,0.390
466.607,0.380
467.158,0.380
468.023,0.370
468.759,0.360
469.497,0.360
470.522,0.350
471.338,0.350
472.311,0.350
473.042,0.350
474.068,0.350
474.661,0.350
475.233,0.340
476.357,0.320
477.039,0.320
477.917,0.340
478.946,0.350
479.669,0.350
481.086,0.340
481.814,0.320
482.597,0.320
483.622,0.320
484.352,0.330
485.080,0.330
485.922,0.330
486.697,0.330
487.326,0.330
488.252,0.330
488.983,0.310
489.863,0.310
490.642,0.330
491.519,0.330
493.960,0.330
494.688,0.330
495.640,0.330
497.128,0.330
497.902,0.310
498.738,0.300
502.779,0.300
503.514,0.300
513.505,0.300
514.823,0.300
519.747,0.300
525.400,0.300
