df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,rr_int
8.823,4150
8.826,10
9.507,15
10.529,645
10.532,995
11.309,10
12.967,835
14.669,1670
14.917,1675
15.453,245
16.184,540
16.916,735
17.550,685
18.134,675
18.963,665
19.694,715
20.367,695
21.303,820
22.348,915
23.262,945
24.086,960
24.969,905
25.790,840
26.714,835
27.591,885
28.567,925
29.591,980
30.544,1025
31.492,1020
32.489,980
33.393,955
34.222,900
35.101,885
36.079,900
37.049,920
37.979,930
37.985,930
38.853,10
39.790,925
40.656,915
41.485,890
42.363,865
42.996,815
43.682,735
44.605,710
45.239,720
46.067,760
46.896,855
47.872,915
48.706,910
49.652,875
50.212,830
51.040,740
51.820,735
52.654,745
53.429,790
54.258,870
55.086,835
55.917,885
56.649,815
57.622,740
58.157,740
58.846,715
59.721,775
60.595,840
61.424,840
62.208,860
63.156,800
63.581,715
64.398,710
65.129,750
65.958,780
66.891,855
67.859,910
68.736,950
69.570,890
70.251,800
71.091,790
71.954,815
73.026,875
74.003,1015
74.976,1010
75.951,1010
76.783,990
77.609,870
78.595,860
79.412,880
80.534,935
81.562,1000
82.484,1025
83.361,955
84.288,930
84.970,880
85.848,805
86.627,785
87.651,825
88.577,1000
89.553,985
90.386,920
91.221,905
92.236,840
92.920,845
93.599,780
94.281,710
94.866,680
94.965,645
95.744,10
96.432,655
96.918,680
97.742,710
98.572,790
99.546,840
100.277,865
101.135,845
101.935,855
102.831,865
103.544,830
104.324,765
105.006,740
105.884,765
106.816,835
107.642,905
108.711,940
109.686,960
110.418,935
123.891,750
124.186,680
124.477,330
126.134,270
126.137,1740
126.285,15
126.573,70
127.304,265
128.084,725
128.913,805
129.741,865
130.570,890
131.301,825
132.130,750
132.812,720
133.592,735
134.470,785
135.299,865
136.176,890
137.005,885
137.834,860
138.516,785
139.345,735
140.028,740
141.149,815
142.124,1010
143.099,1050
143.927,955
144.659,825
144.762,770
145.488,10
146.316,795
147.291,870
148.315,960
149.193,985
150.070,930
150.899,905
151.780,835
152.410,755
153.239,750
154.116,785
154.945,855
155.873,900
156.752,910
157.480,845
158.309,790
158.991,750
159.772,755
160.795,835
161.721,930
162.707,995
163.720,1015
164.500,940
165.426,865
166.060,780
166.743,745
167.571,745
168.595,810
169.473,930
170.448,1015
171.618,1025
172.498,890
172.982,785
173.811,805
174.835,865
175.761,950
176.666,970
177.423,930
178.247,830
178.979,760
179.762,765
180.639,805
181.660,885
182.440,925
183.415,920
184.097,875
184.931,755
185.609,770
186.584,790
187.412,880
188.241,890
189.072,895
189.805,820
190.728,740
191.507,765
192.336,825
193.262,915
194.238,985
195.069,915
195.749,800
196.626,780
197.459,805
198.430,860
199.308,915
200.234,925
201.111,880
201.745,840
202.567,750
203.256,760
204.231,815
205.109,895
205.986,900
206.913,885
207.790,890
208.424,835
209.106,755
209.960,770
210.977,815
211.885,930
212.863,955
213.689,940
214.545,920
215.346,840
216.078,765
216.958,775
217.738,805
218.614,880
219.588,885
220.369,895
221.050,805
221.787,740
222.610,755
223.493,770
224.268,845
225.291,885
225.925,900
226.072,830
226.754,10
227.485,735
228.168,715
229.013,745
229.971,820
230.947,935
231.777,980
232.799,935
233.579,875
234.262,830
235.264,825
236.080,870
236.894,905
237.869,885
238.608,850
239.283,785
240.112,740
240.815,740
241.623,770
242.452,835
243.426,870
244.158,860
244.986,800
245.723,770
246.546,765
247.402,765
248.301,785
248.839,775
249.593,800
250.251,715
250.937,720
251.519,685
252.205,635
252.594,685
252.884,350
253.566,285
254.200,700
254.834,660
255.561,675
256.199,655
256.930,690
257.466,670
258.149,640
258.734,645
259.426,645
259.953,620
260.684,635
261.368,600
261.909,695
262.634,595
263.170,755
264.001,575
264.429,760
264.535,390
264.538,10
265.266,250
265.949,665
266.631,705
267.460,705
268.584,785
269.024,825
269.702,770
270.415,705
271.118,675
271.901,710
272.777,780
273.700,885
274.288,920
274.578,635
275.603,295
276.241,855
276.918,760
277.601,700
278.335,695
279.989,770
280.833,1615
281.793,875
282.622,925
283.450,880
284.133,850
284.864,725
285.693,740
286.521,755
287.545,845
288.520,940
289.300,975
290.130,940
290.958,845
291.640,745
292.373,715
293.591,725
295.589,1215
295.861,2080
297.734,260
299.012,1920
301.202,1290
302.463,2130
303.048,1275
303.056,670
303.735,10
304.657,655
305.241,790
306.119,785
306.948,815
307.777,820
308.606,895
309.142,735
310.263,545
311.091,1215
312.752,790
314.309,1665
315.820,1630
316.503,1515
317.186,660
317.776,660
318.087,650
319.136,235
319.428,1075
321.037,385
321.524,1540
322.353,545
322.361,750
322.499,10
322.645,235
322.650,50
323.069,10
323.864,415
324.157,875
324.693,285
325.571,525
326.546,925
327.374,900
328.446,845
330.007,1145
330.252,1500
330.299,290
330.302,10
330.543,50
331.372,275
332.085,740
332.640,695
334.008,660
334.833,1405
335.710,770
336.568,835
337.368,885
338.343,890
339.318,920
340.293,940
341.121,960
341.950,940
342.784,815
343.462,765
344.193,705
344.196,755
345.071,10
345.904,835
346.825,870
347.657,885
348.483,900
349.166,790
