df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,temperature
5.704,33.438
6.678,33.469
7.703,33.469
8.726,33.531
9.752,33.562
10.676,33.594
11.699,33.594
12.679,33.625
13.697,33.656
14.700,33.656
15.745,33.625
16.758,33.594
17.744,33.656
18.719,33.625
19.743,33.688
20.867,33.719
21.693,33.812
22.865,33.844
23.692,33.875
24.959,33.969
25.739,33.969
26.721,34.062
27.689,34.094
28.664,34.156
29.688,34.156
30.760,34.188
31.718,34.219
32.808,34.188
33.787,34.281
34.856,34.281
35.807,34.281
36.767,34.281
37.683,34.281
38.757,34.312
39.779,34.344
40.716,34.375
41.681,34.375
42.704,34.406
43.679,34.406
44.825,34.375
45.686,34.375
46.702,34.406
47.737,34.406
48.700,34.406
49.793,34.406
50.964,34.375
51.682,34.375
52.896,34.438
53.677,34.438
54.996,34.531
55.720,34.562
56.991,34.594
57.728,34.625
58.694,34.625
59.717,34.656
60.742,34.719
61.822,34.750
62.741,34.750
63.766,34.750
64.759,34.781
65.666,34.812
66.689,34.781
67.678,34.781
68.690,34.812
69.663,34.812
70.687,34.812
71.663,34.812
72.734,34.812
73.660,34.812
74.687,34.812
75.728,34.812
76.683,34.812
77.663,34.844
79.025,34.844
79.664,34.875
80.686,34.812
82.071,34.812
82.679,34.812
83.659,34.812
84.849,34.812
85.702,34.812
87.069,34.844
87.706,34.875
88.675,34.906
89.702,34.906
90.722,34.969
91.649,35.000
92.917,34.969
93.745,35.031
94.680,35.062
95.893,35.031
96.914,35.031
97.694,35.031
98.669,35.000
99.828,35.031
100.676,35.062
101.740,35.094
102.828,35.125
103.691,35.125
104.723,35.125
105.722,35.125
106.664,35.094
108.080,35.125
108.813,35.094
109.740,35.125
123.672,35.219
124.672,35.219
125.670,35.219
126.670,35.250
127.698,35.250
128.867,35.219
129.644,35.188
130.673,35.156
131.692,35.219
132.666,35.250
133.746,35.250
134.666,35.250
135.690,35.250
136.664,35.250
137.688,35.219
138.663,35.219
139.884,35.375
140.662,35.375
141.734,35.312
142.675,35.312
143.735,35.312
144.910,35.312
145.832,35.281
146.681,35.281
147.681,35.344
148.658,35.312
149.680,35.250
150.713,35.250
151.776,35.312
152.657,35.312
153.973,35.344
154.702,35.344
155.775,35.375
156.749,35.406
157.675,35.406
158.848,35.406
159.674,35.375
160.749,35.406
161.673,35.406
162.648,35.406
163.826,35.406
164.718,35.438
165.670,35.469
166.694,35.438
167.692,35.406
168.649,35.438
169.817,35.438
170.643,35.469
171.667,35.469
172.705,35.469
173.763,35.469
174.641,35.406
175.664,35.406
176.689,35.438
177.663,35.438
178.638,35.406
179.759,35.438
180.737,35.375
181.709,35.344
182.684,35.344
183.666,35.344
184.783,35.312
185.771,35.312
186.683,35.344
187.657,35.375
188.683,35.438
189.801,35.438
190.780,35.469
191.703,35.500
192.775,35.500
193.653,35.531
194.676,35.594
195.652,35.594
196.677,35.562
197.704,35.531
198.674,35.469
199.767,35.500
200.734,35.500
201.648,35.500
202.676,35.531
203.651,35.531
204.670,35.562
205.645,35.562
206.674,35.594
207.647,35.594
208.668,35.594
209.643,35.562
210.667,35.562
211.805,35.562
212.860,35.562
213.641,35.594
214.671,35.562
215.934,35.594
216.663,35.594
217.638,35.594
218.662,35.656
219.688,35.656
220.661,35.656
221.781,35.656
222.664,35.656
223.704,35.656
224.658,35.688
225.706,35.656
226.657,35.656
227.632,35.656
228.996,35.625
229.679,35.625
230.654,35.656
231.699,35.625
232.684,35.594
233.676,35.594
234.726,35.625
235.675,35.625
236.679,35.656
237.674,35.688
238.712,35.688
239.968,35.688
240.679,35.719
241.774,35.781
242.893,35.781
243.722,35.750
244.646,35.750
245.717,35.781
246.696,35.750
248.015,35.750
248.743,35.781
249.815,35.781
250.642,35.750
251.668,35.719
252.640,35.719
253.664,35.750
254.639,35.719
255.663,35.719
256.638,35.719
257.662,35.719
258.637,35.719
259.683,35.719
260.636,35.719
261.903,35.750
262.637,35.750
263.658,35.750
264.706,35.781
265.681,35.781
266.685,35.750
267.656,35.750
268.631,35.750
269.654,35.781
270.650,35.781
271.653,35.750
272.774,35.781
273.652,35.781
274.627,35.812
275.651,35.781
276.674,35.875
277.649,35.875
278.674,35.844
279.648,35.844
280.671,35.844
281.648,35.844
282.677,35.844
283.666,35.844
284.672,35.875
285.644,35.875
286.668,35.812
288.035,35.812
288.667,35.781
289.641,35.812
290.665,35.781
292.030,35.812
292.664,35.750
293.639,35.750
294.663,35.688
295.759,35.719
296.711,35.719
297.637,35.750
298.904,35.781
299.636,35.781
300.659,35.781
301.697,35.812
302.665,35.812
303.633,35.844
304.670,35.875
305.632,35.844
306.706,35.844
307.631,35.812
308.654,35.812
309.922,35.844
310.653,35.844
311.628,35.844
312.652,35.875
313.629,35.812
314.651,35.844
315.675,35.844
316.650,35.844
317.771,35.844
318.648,35.812
319.720,35.812
320.647,35.844
321.622,35.875
322.743,35.875
323.669,35.875
324.644,35.875
325.668,35.906
326.645,35.906
327.764,35.906
328.642,35.875
329.666,35.875
330.643,35.875
331.959,35.812
