df_hash,22ZHK4.RZ8R6V
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9180
person_label,v103
date_time_start,2026-03-02_12-31-30.462000_+03
date_time_start_unix,1772440290.462
date_time_end,2026-03-02_12-44-24.912000_+03
length_difference_noticed,no

time,heart_rate
20.876,88
21.765,88
22.960,88
23.875,88
24.962,68
25.934,73
26.811,69
27.738,69
28.908,69
29.810,68
30.765,66
31.881,64
32.907,62
33.685,61
34.863,62
35.811,63
36.661,65
37.878,66
38.804,66
39.681,66
40.851,65
41.729,66
42.629,67
43.862,68
44.831,71
45.600,74
46.799,77
47.725,77
48.641,75
49.802,73
50.945,71
51.674,71
52.899,73
53.628,75
54.699,76
55.769,76
56.598,75
57.722,74
58.698,74
59.571,76
60.497,78
61.693,78
62.545,77
63.520,76
64.739,76
65.519,77
66.448,78
67.664,78
68.541,76
69.540,74
70.589,71
71.515,70
72.474,71
73.562,71
74.489,70
75.387,67
76.536,65
77.463,63
78.584,63
79.559,64
80.477,66
81.314,67
82.543,66
83.415,64
84.342,63
85.624,63
86.407,65
87.261,67
88.480,69
89.357,69
90.286,68
91.502,66
92.380,65
93.297,66
94.672,68
95.306,67
96.332,66
97.532,76
98.328,82
99.229,83
100.668,79
101.407,79
102.474,76
103.349,75
104.275,74
105.497,74
106.371,75
107.544,75
108.126,75
109.345,73
110.223,70
124.379,74
125.305,74
126.204,74
127.401,74
128.327,74
129.157,74
130.375,74
131.253,74
132.193,73
133.351,74
134.265,75
135.104,76
136.336,76
137.398,75
138.126,73
139.296,72
140.174,73
141.100,74
142.615,74
143.152,73
144.074,69
145.245,66
146.170,68
147.085,69
148.218,70
149.144,70
150.021,68
151.191,66
152.117,65
153.044,67
154.175,70
155.140,73
155.969,74
157.188,73
158.065,72
159.094,71
160.112,72
161.063,73
161.916,74
163.209,73
164.013,69
164.890,66
166.129,65
166.986,66
167.864,66
169.083,71
169.960,73
170.838,71
172.056,68
172.934,66
174.107,66
175.031,67
175.913,68
176.811,68
178.004,67
178.930,67
180.104,68
180.978,71
181.926,73
182.879,72
183.951,71
184.834,70
185.906,70
186.925,72
187.803,73
188.729,73
189.908,72
190.961,71
191.707,72
192.874,73
193.799,73
194.690,72
195.848,70
196.772,69
197.659,69
198.966,70
199.771,71
200.722,70
202.186,69
202.720,69
203.601,70
204.816,72
205.694,73
206.620,72
207.844,71
208.672,70
209.595,70
210.861,72
211.808,73
212.568,72
213.747,70
214.636,68
215.541,67
216.711,68
217.621,70
218.515,72
220.079,73
220.612,72
221.489,71
222.667,71
223.683,73
224.467,74
225.709,75
226.608,73
227.436,72
228.655,73
229.581,75
230.410,76
231.629,75
232.506,74
233.433,70
234.603,68
235.480,68
236.406,69
237.576,70
238.600,70
239.380,70
240.550,71
241.428,73
242.354,75
243.529,76
244.512,75
245.328,74
246.586,74
247.670,75
248.325,76
249.472,77
250.546,78
251.276,79
252.445,79
253.323,78
254.249,78
255.419,78
256.394,78
257.228,78
258.393,78
259.324,82
260.196,84
261.378,86
262.296,88
263.219,89
264.340,90
265.662,90
266.144,90
267.362,90
268.289,89
269.118,89
270.336,86
271.214,85
272.091,84
273.363,83
274.265,83
275.065,83
276.418,79
277.161,77
278.039,78
279.258,78
280.135,78
281.013,77
282.231,76
283.206,75
284.058,73
285.205,72
286.131,73
287.009,75
288.179,75
289.058,74
289.983,71
291.153,69
292.058,68
292.956,69
294.126,69
295.125,68
295.930,68
297.100,68
297.981,68
298.909,68
300.074,62
301.098,64
301.880,59
303.096,57
303.997,56
304.877,55
306.025,55
306.951,55
307.825,55
309.044,55
309.925,55
310.799,54
311.969,55
312.904,54
313.773,54
314.991,54
315.870,54
316.746,54
317.965,54
318.843,54
319.724,52
320.939,52
321.818,52
322.746,52
323.913,52
324.790,52
325.765,52
326.887,52
327.770,61
328.690,64
329.890,64
330.738,64
331.664,63
332.886,63
333.761,63
334.638,75
335.818,80
336.685,81
337.611,77
338.787,77
339.708,74
340.585,73
341.755,70
342.694,67
343.559,66
344.729,63
345.658,69
346.543,72
347.752,74
348.630,72
349.506,71
350.749,71
351.603,73
352.481,75
353.710,73
354.585,73
355.502,73
356.675,64
357.550,60
358.476,63
359.651,64
360.524,63
361.548,62
362.749,62
363.744,71
364.432,74
365.597,75
366.471,76
367.693,78
368.568,76
369.544,76
370.372,76
371.679,76
372.475,76
373.345,76
374.565,76
375.443,79
376.319,80
377.489,80
378.415,81
379.295,81
380.463,80
381.389,80
382.266,73
383.436,77
384.363,75
385.240,75
386.411,79
387.336,82
388.240,79
389.436,81
390.310,80
391.188,80
392.458,80
393.284,81
394.162,81
395.380,82
396.258,81
397.479,84
398.365,86
399.231,88
400.158,89
401.328,90
402.205,91
403.180,91
404.302,91
405.377,92
406.154,93
407.324,92
408.201,92
409.085,92
410.298,92
411.175,92
412.055,91
413.272,91
414.149,91
415.026,91
416.225,91
417.171,91
418.295,91
419.170,90
420.097,90
420.975,90
422.242,90
423.070,90
423.948,90
425.218,90
426.119,90
426.921,90
428.140,90
429.018,90
429.993,90
431.114,90
431.992,93
432.974,94
434.334,96
434.965,96
435.989,96
437.087,95
437.941,95
438.840,95
440.133,95
440.962,95
441.841,94
443.009,92
443.887,93
444.813,88
445.983,86
447.250,83
447.835,83
