df_hash,22ZHK4.UV7K0H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.28U2
person_label,V14
date_time_start,2025-05-22_11-35-10.119000_+03
date_time_start_unix,1747902910.119
date_time_end,2025-05-22_11-42-52.559000_+03
length_difference_noticed,no

time,perfusion_ir
214.988,0.360
215.817,0.370
216.551,0.370
217.279,0.370
218.010,0.370
218.790,0.370
219.473,0.380
220.158,0.380
220.987,0.380
221.720,0.390
222.398,0.420
223.083,0.430
223.864,0.430
224.595,0.430
225.323,0.430
226.103,0.440
226.835,0.440
228.248,0.440
229.031,0.440
229.710,0.440
230.198,0.440
230.734,0.440
231.430,0.440
236.734,0.440
237.415,0.440
239.217,0.440
239.997,0.430
240.338,0.430
241.118,0.420
241.752,0.420
242.487,0.420
243.260,0.420
247.111,0.420
247.699,0.420
248.382,0.420
249.161,0.410
250.624,0.410
253.111,0.410
253.948,0.420
254.668,0.420
255.204,0.430
255.987,0.430
256.426,0.440
256.988,0.440
257.791,0.450
258.229,0.450
258.961,0.450
261.160,0.450
261.837,0.460
262.620,0.480
263.251,0.500
263.787,0.520
264.469,0.500
265.207,0.520
265.834,0.520
266.475,0.520
267.006,0.520
267.638,0.520
268.129,0.520
268.761,0.500
269.198,0.480
269.881,0.480
270.271,0.480
270.950,0.480
271.299,0.480
271.877,0.480
272.416,0.480
272.858,0.480
273.488,0.470
273.927,0.460
274.515,0.460
275.241,0.450
275.735,0.450
275.984,0.450
276.657,0.450
277.144,0.440
277.778,0.440
278.224,0.440
278.639,0.440
279.243,0.440
279.872,0.430
280.214,0.430
280.752,0.430
281.873,0.430
282.261,0.440
282.845,0.440
283.433,0.440
283.923,0.440
284.942,0.440
286.310,0.430
286.846,0.430
287.240,0.430
288.842,0.430
289.333,0.430
289.727,0.430
290.308,0.430
290.746,0.430
291.242,0.420
291.721,0.420
292.257,0.420
292.943,0.430
293.230,0.430
293.867,0.420
294.999,0.420
295.377,0.420
296.108,0.420
296.550,0.430
297.571,0.440
298.205,0.440
298.643,0.450
299.200,0.450
299.811,0.460
300.350,0.470
300.983,0.480
301.975,0.490
302.400,0.500
303.229,0.500
303.521,0.520
304.150,0.520
304.648,0.520
305.176,0.540
306.011,0.540
306.449,0.540
307.077,0.540
307.527,0.540
308.150,0.550
308.881,0.550
309.613,0.550
310.246,0.550
310.591,0.550
311.172,0.550
312.098,0.550
312.396,0.550
313.078,0.550
313.756,0.550
314.243,0.550
314.881,0.550
315.318,0.550
316.050,0.550
316.681,0.550
317.139,0.560
317.669,0.550
318.485,0.550
319.170,0.550
320.337,0.560
321.020,0.560
321.602,0.560
322.285,0.580
323.018,0.580
323.555,0.560
324.137,0.550
324.876,0.550
325.212,0.550
325.992,0.540
326.574,0.540
327.261,0.550
328.137,0.560
328.771,0.560
329.454,0.570
330.231,0.590
330.968,0.600
331.307,0.600
332.035,0.610
332.571,0.610
333.077,0.600
333.752,0.600
334.375,0.590
335.255,0.580
335.987,0.580
336.333,0.580
337.010,0.590
337.790,0.590
338.091,0.590
338.914,0.590
339.204,0.590
339.935,0.580
340.472,0.580
341.007,0.560
341.739,0.550
342.237,0.550
342.957,0.540
343.542,0.530
344.222,0.530
345.005,0.530
345.493,0.530
346.175,0.530
346.809,0.520
347.446,0.520
348.226,0.520
348.905,0.520
349.344,0.520
350.170,0.520
350.863,0.530
351.548,0.530
352.168,0.530
352.806,0.530
353.783,0.530
354.216,0.540
354.901,0.540
355.633,0.540
356.315,0.540
356.999,0.540
357.680,0.540
358.460,0.540
359.191,0.540
359.874,0.540
360.315,0.540
361.044,0.540
361.682,0.540
362.174,0.530
362.803,0.520
363.530,0.520
364.216,0.510
365.041,0.510
365.724,0.500
366.260,0.500
366.846,0.500
367.542,0.500
368.222,0.500
369.039,0.500
369.721,0.500
370.212,0.500
370.745,0.490
371.289,0.480
372.013,0.480
372.646,0.480
373.230,0.470
373.816,0.460
374.457,0.450
374.935,0.450
375.621,0.450
376.988,0.450
377.814,0.450
378.496,0.450
379.182,0.460
380.016,0.460
380.313,0.460
381.077,0.460
381.665,0.460
382.303,0.450
382.803,0.450
383.615,0.450
384.252,0.450
384.929,0.450
385.468,0.460
386.199,0.460
386.979,0.460
387.613,0.460
388.247,0.460
388.783,0.460
389.470,0.460
389.904,0.460
390.586,0.450
391.218,0.450
391.757,0.450
392.439,0.450
392.972,0.450
393.631,0.440
394.242,0.440
395.023,0.440
395.710,0.440
396.340,0.440
396.836,0.440
397.514,0.440
398.250,0.440
398.920,0.430
399.410,0.430
400.093,0.430
400.873,0.430
401.555,0.440
402.238,0.440
402.725,0.440
403.457,0.440
403.990,0.450
404.529,0.440
405.212,0.440
405.797,0.450
406.350,0.450
406.964,0.450
407.796,0.450
408.173,0.450
408.876,0.440
409.600,0.430
410.230,0.420
411.162,0.430
411.451,0.440
412.134,0.440
412.911,0.430
413.650,0.430
414.084,0.430
414.815,0.430
415.498,0.430
416.141,0.430
416.718,0.430
417.449,0.430
417.991,0.430
418.765,0.430
419.499,0.430
420.228,0.430
421.010,0.430
421.689,0.440
422.372,0.450
422.962,0.450
423.685,0.450
424.226,0.450
425.055,0.450
425.785,0.450
426.467,0.460
427.106,0.460
427.878,0.460
428.660,0.460
430.172,0.460
430.803,0.450
