df_hash,22ZHK4.UV7K0H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.28U2
person_label,V14
date_time_start,2025-05-22_11-35-10.119000_+03
date_time_start_unix,1747902910.119
date_time_end,2025-05-22_11-42-52.559000_+03
length_difference_noticed,no

time,omega
214.992,0.532
215.821,0.533
216.556,0.535
217.283,0.537
218.013,0.535
218.796,0.537
219.478,0.539
220.250,0.542
221.225,0.546
221.726,0.547
222.402,0.549
223.086,0.550
223.868,0.550
224.604,0.551
225.327,0.551
226.106,0.552
226.842,0.553
228.251,0.555
229.038,0.558
229.718,0.562
230.211,0.563
230.740,0.563
231.434,0.563
236.738,0.567
237.418,0.572
239.220,0.578
240.000,0.584
240.342,0.584
241.122,0.584
241.755,0.584
242.491,0.584
243.265,0.585
247.115,0.585
247.703,0.586
248.403,0.587
249.165,0.586
250.630,0.586
253.116,0.586
253.957,0.586
254.674,0.587
255.210,0.587
255.991,0.587
256.429,0.587
256.997,0.586
257.795,0.583
258.234,0.580
258.964,0.579
261.166,0.579
261.843,0.580
262.623,0.580
263.255,0.583
263.791,0.580
264.473,0.583
265.213,0.580
265.841,0.580
266.483,0.580
267.010,0.579
267.642,0.577
268.132,0.576
268.776,0.574
269.202,0.572
269.884,0.568
270.275,0.561
270.954,0.557
271.302,0.553
271.880,0.553
272.421,0.553
272.874,0.551
273.503,0.551
273.932,0.551
274.528,0.551
275.244,0.551
275.739,0.551
276.023,0.551
276.661,0.550
277.149,0.550
277.782,0.550
278.231,0.551
278.900,0.551
279.250,0.551
279.878,0.551
280.225,0.551
280.756,0.551
281.877,0.552
282.264,0.551
282.850,0.551
283.437,0.550
283.926,0.550
284.946,0.547
286.407,0.547
286.849,0.543
287.284,0.543
288.853,0.543
289.338,0.540
289.730,0.540
290.311,0.547
290.749,0.538
291.280,0.536
291.726,0.534
292.260,0.531
292.955,0.531
293.233,0.531
293.871,0.531
295.003,0.531
295.381,0.534
296.112,0.534
296.557,0.534
297.574,0.536
298.208,0.537
298.647,0.538
299.228,0.545
299.814,0.541
300.353,0.541
300.987,0.541
301.984,0.538
302.410,0.538
303.233,0.541
303.525,0.544
304.154,0.544
304.883,0.548
305.180,0.548
306.022,0.548
306.452,0.548
307.088,0.548
307.562,0.546
308.153,0.548
308.884,0.548
309.618,0.548
310.249,0.549
310.977,0.549
311.177,0.549
312.102,0.549
312.400,0.549
313.122,0.554
313.759,0.554
314.247,0.552
314.892,0.552
315.323,0.550
316.053,0.550
316.684,0.549
317.155,0.548
317.702,0.546
318.491,0.543
319.174,0.540
320.341,0.540
321.024,0.540
321.606,0.544
322.289,0.544
323.022,0.544
323.559,0.549
324.141,0.549
324.882,0.550
325.218,0.550
326.003,0.550
326.579,0.550
327.271,0.550
328.141,0.552
328.774,0.555
329.457,0.556
330.236,0.557
330.972,0.557
331.310,0.557
332.039,0.557
332.575,0.559
333.087,0.559
333.760,0.561
334.378,0.561
335.259,0.561
335.990,0.563
336.338,0.564
337.016,0.566
337.794,0.566
338.094,0.564
338.918,0.564
339.208,0.564
339.939,0.563
340.715,0.561
341.011,0.560
341.742,0.561
342.241,0.563
342.961,0.564
343.546,0.563
344.226,0.563
345.009,0.563
345.497,0.564
346.178,0.564
346.821,0.564
347.452,0.565
348.232,0.564
348.911,0.564
349.349,0.563
350.179,0.564
350.904,0.564
351.554,0.565
352.180,0.566
352.821,0.567
353.789,0.568
354.220,0.569
354.905,0.570
355.639,0.569
356.318,0.568
357.009,0.569
357.683,0.571
358.463,0.572
359.195,0.572
359.877,0.571
360.319,0.570
361.047,0.570
361.710,0.570
362.188,0.571
362.809,0.571
363.535,0.570
364.219,0.569
365.046,0.569
365.727,0.567
366.268,0.567
366.850,0.567
367.625,0.565
368.232,0.564
369.042,0.563
369.725,0.564
370.220,0.563
370.752,0.563
371.293,0.563
372.016,0.563
372.651,0.563
373.237,0.563
373.820,0.563
374.461,0.563
374.939,0.563
375.624,0.562
376.995,0.562
377.817,0.562
378.500,0.559
379.186,0.559
380.020,0.562
380.319,0.561
381.082,0.561
381.669,0.562
382.306,0.561
382.813,0.561
383.621,0.562
384.262,0.565
384.935,0.564
385.479,0.563
386.203,0.558
386.983,0.558
387.616,0.558
388.250,0.558
388.788,0.562
389.477,0.566
389.908,0.567
390.591,0.567
391.221,0.567
391.760,0.566
392.442,0.565
392.976,0.566
393.850,0.567
394.246,0.567
395.026,0.567
395.750,0.567
396.343,0.566
396.875,0.566
397.518,0.569
398.267,0.572
398.925,0.574
399.416,0.572
400.099,0.572
400.876,0.573
401.559,0.573
402.248,0.573
402.732,0.572
403.460,0.572
403.995,0.573
404.532,0.574
405.215,0.574
405.805,0.573
406.354,0.574
406.967,0.574
407.803,0.574
408.191,0.575
408.917,0.575
409.619,0.576
410.234,0.577
411.166,0.577
411.455,0.574
412.138,0.574
412.916,0.574
413.653,0.571
414.088,0.573
414.819,0.573
415.501,0.572
416.151,0.573
416.811,0.571
417.460,0.570
417.996,0.570
418.771,0.570
419.502,0.570
420.234,0.569
421.013,0.569
421.693,0.569
422.376,0.569
423.103,0.569
423.689,0.569
424.237,0.569
425.058,0.569
425.789,0.569
426.471,0.569
427.112,0.570
427.882,0.570
428.672,0.570
430.176,0.570
430.807,0.569
431.543,0.569
