df_hash,22ZHK4.UV7K0H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.28U2
person_label,V14
date_time_start,2025-05-22_11-35-10.119000_+03
date_time_start_unix,1747902910.119
date_time_end,2025-05-22_11-42-52.559000_+03
length_difference_noticed,no

time,rr_int
11.014,6035
11.160,10
11.163,175
11.170,10
11.209,20
11.308,15
11.599,15
12.287,385
12.331,660
12.964,10
12.967,670
13.112,10
13.647,185
14.379,550
14.475,740
14.621,10
14.624,160
14.670,20
14.673,25
14.676,20
14.770,10
14.777,10
15.206,40
15.889,485
16.571,695
16.574,685
16.623,10
16.627,65
16.864,235
16.875,10
16.915,10
17.010,135
17.013,20
17.157,10
17.159,10
17.162,10
17.257,190
18.668,725
19.109,675
20.033,430
20.471,1015
20.478,395
20.525,10
20.536,35
20.619,130
21.198,395
21.300,170
21.349,25
21.352,15
21.449,10
21.452,10
21.739,15
22.812,370
24.518,1215
24.616,1715
24.712,10
24.908,15
24.911,295
25.200,250
25.346,210
25.350,20
25.395,10
25.398,10
25.401,25
26.565,885
27.296,295
27.858,675
27.982,635
28.522,10
29.100,630
29.820,595
30.319,645
30.322,620
30.611,15
30.614,275
30.760,25
30.763,20
30.770,15
30.773,15
31.001,15
31.005,260
31.150,15
31.153,100
31.156,15
31.162,10
31.196,15
31.200,10
31.294,10
31.684,15
31.688,415
32.275,10
32.318,700
32.325,10
32.331,10
32.443,25
32.464,20
32.470,20
32.475,65
32.481,30
32.601,10
32.610,10
32.613,10
32.617,65
32.756,25
32.761,10
32.951,15
32.955,325
33.682,10
33.686,765
34.511,15
34.514,740
35.194,10
35.197,750
35.487,10
36.025,235
36.034,530
36.705,10
37.437,730
38.119,720
38.801,695
39.094,715
39.097,265
39.484,15
39.630,370
39.640,125
39.679,10
39.682,50
39.686,15
39.877,10
40.215,20
40.218,465
40.898,10
40.901,695
41.044,15
41.048,170
41.141,20
41.145,15
41.148,15
41.195,10
41.581,20
42.266,495
42.270,675
42.555,245
42.560,15
42.607,10
42.612,20
43.091,500
43.095,20
43.149,10
43.154,10
43.531,10
43.676,510
44.653,795
44.662,195
44.674,20
45.188,40
45.193,475
45.773,10
46.019,680
46.163,10
46.601,340
46.607,435
46.782,10
47.138,150
47.142,435
47.821,10
48.503,635
48.509,650
48.657,10
48.798,150
48.802,15
48.805,15
49.088,15
49.091,430
49.380,10
49.770,195
49.774,430
49.917,10
49.921,105
49.965,15
49.968,40
49.972,30
49.975,10
50.361,10
50.504,430
50.599,10
51.038,165
51.721,495
53.086,670
53.817,1370
53.823,685
53.963,10
53.969,145
54.011,15
54.018,15
54.023,10
54.063,10
54.068,15
54.073,15
54.353,15
55.059,405
55.767,655
56.011,720
56.306,255
56.449,305
56.456,150
56.603,10
56.744,110
56.750,15
56.754,10
56.894,15
57.570,305
57.574,650
57.716,10
57.720,135
57.768,15
58.106,25
58.118,405
58.277,15
58.353,115
58.356,20
58.400,10
58.692,15
59.374,410
59.618,675
60.056,205
61.568,500
61.572,1425
61.616,70
61.620,20
61.623,20
61.722,95
63.420,1440
63.523,270
63.811,370
65.621,1235
66.443,635
66.881,830
67.564,385
67.568,765
67.730,10
68.006,20
68.009,45
68.011,60
68.544,330
69.796,495
69.909,1170
70.052,10
70.344,560
73.414,1340
73.417,1840
73.512,15
73.515,10
73.576,10
73.715,140
73.999,15
74.003,20
74.006,250
74.117,200
74.148,10
75.608,715
75.754,945
75.758,10
75.762,10
76.193,465
76.291,10
76.437,220
77.563,435
77.609,690
77.612,10
77.713,15
77.756,55
77.761,30
77.764,20
78.240,25
78.826,470
79.253,655
79.260,350
80.044,10
80.051,835
80.776,10
80.873,680
80.922,135
80.925,10
80.970,10
80.973,10
80.977,15
81.019,10
81.023,10
81.168,15
81.312,40
81.458,405
82.147,10
82.192,785
82.579,10
83.265,335
83.700,790
85.065,400
85.602,1430
86.333,555
87.015,615
87.023,740
87.162,30
87.167,30
87.210,45
87.223,40
87.235,20
87.240,10
87.261,15
87.276,15
87.313,10
87.555,20
87.698,30
87.844,410
87.848,205
87.993,15
88.381,20
89.112,525
89.941,725
90.623,730
90.770,730
91.305,205
91.452,510
92.015,175
92.019,510
92.285,10
92.330,290
92.865,20
93.402,495
93.548,555
93.552,130
93.695,130
93.702,10
93.987,380
94.124,10
94.230,140
94.234,25
94.679,20
94.964,455
95.363,10
95.550,705
96.034,10
96.039,735
96.717,10
96.720,660
98.131,10
98.711,1330
98.816,655
99.401,10
99.497,700
100.227,10
100.911,765
101.086,765
101.738,10
102.447,725
102.713,735
103.835,220
104.956,1145
105.638,1230
105.784,660
106.467,170
106.759,580
106.765,305
106.908,105
107.735,955
107.979,10
107.982,280
109.401,1390
109.782,10
109.786,370
109.928,10
110.074,245
111.342,660
111.346,600
111.489,10
111.878,115
111.882,495
112.561,15
112.565,630
112.707,10
112.711,155
112.757,10
112.761,20
112.764,15
113.100,10
113.103,10
113.148,20
113.389,395
113.401,150
113.438,15
113.442,10
113.445,10
113.541,10
113.545,20
113.828,45
113.832,345
114.365,10
114.413,635
114.511,10
115.193,15
115.197,715
115.242,15
115.247,15
115.343,15
115.389,90
115.394,20
115.398,10
115.401,10
115.635,15
115.778,330
116.314,145
116.461,500
116.464,165
116.607,15
116.610,10
116.614,10
