df_hash,22ZHK4.UV7K0H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.28U2
person_label,V14
date_time_start,2025-05-22_11-35-10.119000_+03
date_time_start_unix,1747902910.119
date_time_end,2025-05-22_11-42-52.559000_+03
length_difference_noticed,no

time,spo2
214.842,98
215.681,98
216.548,98
217.231,98
217.914,98
218.750,98
219.427,98
220.152,98
220.983,98
221.715,98
222.350,98
223.080,98
223.861,98
224.592,98
225.274,98
225.957,98
226.787,98
228.200,98
228.737,97
229.418,97
230.152,97
230.689,97
231.427,97
236.730,97
237.365,97
239.169,97
239.717,97
240.291,97
240.973,97
241.656,97
242.483,97
243.069,97
247.066,97
247.652,97
248.334,97
248.870,97
250.576,97
253.067,97
253.942,97
254.615,97
255.161,97
255.844,97
256.377,97
256.973,97
257.645,97
258.182,97
258.920,97
261.154,97
261.791,97
262.617,97
263.248,97
263.739,97
264.421,97
265.201,97
265.691,97
266.472,97
266.956,97
267.493,97
268.126,97
268.615,97
269.153,97
269.735,97
270.268,97
270.711,98
271.292,98
271.783,98
272.368,98
272.854,98
273.343,98
273.879,98
274.464,98
275.001,98
275.731,98
275.976,98
276.512,98
277.097,98
277.635,98
278.218,98
278.621,98
279.238,98
279.732,98
280.168,98
280.704,98
281.825,98
282.215,98
282.800,98
283.337,98
283.776,98
284.848,98
286.307,98
286.816,98
287.237,98
288.796,98
289.329,98
289.724,98
290.304,98
290.697,98
291.239,98
291.718,98
292.209,98
292.794,98
293.184,98
293.863,98
294.989,98
295.282,98
295.816,98
296.450,98
297.523,98
298.060,98
298.595,98
299.190,98
299.720,98
300.302,98
300.839,98
301.960,98
302.349,98
303.226,98
303.518,98
304.055,98
304.643,98
305.129,98
306.004,98
306.395,98
306.931,98
307.524,98
308.053,98
308.822,98
309.324,98
310.014,98
310.588,98
311.126,98
311.806,98
312.393,98
313.075,98
313.610,98
314.195,98
314.783,98
315.270,98
316.047,98
316.535,98
317.129,98
317.663,98
318.341,98
319.021,98
320.289,98
320.971,98
321.557,98
322.239,98
322.776,98
323.361,98
324.043,98
324.871,98
325.171,98
325.850,98
326.530,98
327.212,98
327.944,98
328.627,98
329.308,98
329.990,98
330.965,98
331.303,98
331.986,98
332.526,97
333.067,97
333.749,97
334.330,97
335.013,97
335.621,97
336.327,97
336.818,97
337.498,97
338.088,97
338.911,97
339.156,97
339.887,97
340.468,97
340.960,97
341.695,97
342.234,97
342.917,97
343.494,97
344.177,97
344.860,97
345.444,97
346.127,97
346.663,97
347.440,97
348.222,97
348.762,97
349.297,97
350.127,97
350.859,97
351.539,97
352.076,97
352.802,97
353.780,97
354.171,97
354.853,97
355.586,97
356.269,97
356.950,97
357.633,97
358.315,97
358.900,97
359.632,97
360.312,97
360.996,97
361.534,97
362.117,97
362.801,97
363.482,97
364.213,97
364.750,97
365.432,97
366.214,97
366.842,97
367.529,97
368.219,97
368.894,97
369.479,97
370.207,97
370.722,97
371.283,97
371.964,97
372.501,97
373.086,97
373.779,97
374.450,97
374.893,97
375.572,97
376.937,97
377.668,97
378.351,97
379.179,97
380.010,97
380.305,97
380.986,97
381.568,97
382.299,97
382.794,97
383.475,97
384.247,97
384.885,97
385.420,97
386.151,97
386.834,97
387.371,97
388.053,97
388.644,97
389.465,97
389.857,97
390.442,97
391.124,97
391.709,97
392.392,97
392.927,97
393.624,97
394.194,97
394.877,97
395.560,97
396.337,97
396.833,97
397.510,97
398.095,97
398.777,97
399.366,97
400.047,97
400.728,97
401.410,97
402.111,97
402.680,97
403.368,97
403.896,97
404.484,97
405.165,97
405.700,97
406.335,97
406.821,97
407.504,97
408.138,97
408.873,97
409.453,97
410.185,97
411.159,97
411.404,97
412.086,97
412.671,97
413.645,97
414.036,97
414.771,97
415.450,97
416.133,97
416.714,97
417.400,97
417.939,97
418.618,97
419.496,97
420.179,97
421.007,97
421.544,97
422.275,97
422.958,97
423.640,97
424.176,97
424.908,97
425.737,97
426.419,97
427.103,97
427.833,97
428.612,97
429.881,97
430.563,97
431.537,97
431.835,97
432.417,97
432.951,97
433.488,97
436.269,97
437.000,97
439.777,97
440.996,97
441.678,97
442.410,97
443.774,97
444.362,97
446.309,97
447.000,97
447.674,97
448.357,97
449.187,97
449.918,97
450.501,96
451.136,96
456.107,96
