df_hash,22ZHK4.UV7K0H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.28U2
person_label,V14
date_time_start,2025-05-22_11-35-10.119000_+03
date_time_start_unix,1747902910.119
date_time_end,2025-05-22_11-42-52.559000_+03
length_difference_noticed,no

time,battery
14.183,34
24.177,33
34.171,33
44.164,33
54.158,33
64.152,33
74.246,33
84.140,33
94.144,33
104.176,33
114.170,33
124.266,33
134.167,33
144.249,33
154.242,33
164.139,33
174.187,33
184.222,33
194.176,33
204.163,33
214.159,33
224.151,33
234.145,33
244.138,33
254.132,33
264.131,33
274.150,33
284.114,32
294.156,32
304.155,32
314.144,32
324.142,32
334.131,32
344.125,32
354.119,32
364.161,32
374.107,32
384.197,32
394.143,32
404.137,32
414.132,32
424.124,32
434.119,32
444.112,32
454.106,32
