df_hash,22ZHK4.UV7K0H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.28U2
person_label,V14
date_time_start,2025-05-22_11-35-10.119000_+03
date_time_start_unix,1747902910.119
date_time_end,2025-05-22_11-42-52.559000_+03
length_difference_noticed,no

time,temperature
5.265,35.094
6.358,35.094
7.260,35.125
8.284,35.094
9.282,35.094
10.283,35.094
11.259,35.094
12.281,35.094
13.257,35.125
14.280,35.094
15.255,35.094
16.279,35.094
17.254,35.062
18.278,35.094
19.253,35.125
20.277,35.125
21.252,35.125
22.324,35.062
23.250,35.031
24.274,35.031
25.252,35.062
26.273,35.062
27.248,35.094
28.515,35.094
29.493,35.031
30.293,35.062
31.297,35.031
32.269,35.062
33.247,35.062
34.268,35.062
35.245,35.062
36.267,35.062
37.290,35.031
38.414,35.031
39.289,35.062
40.265,35.062
41.288,35.031
42.263,35.031
43.287,35.094
44.262,35.094
45.286,35.094
46.262,35.062
47.303,35.062
48.280,35.031
49.283,35.062
50.258,35.062
51.282,35.062
52.257,35.094
53.280,35.062
54.256,35.062
55.279,35.062
56.254,35.125
57.278,35.125
58.359,35.156
59.326,35.156
60.252,35.156
61.276,35.156
62.251,35.156
63.274,35.125
64.301,35.094
65.277,35.094
66.248,35.094
67.271,35.062
68.492,35.031
69.271,35.031
70.245,35.031
71.269,35.062
72.245,35.062
73.268,35.062
74.438,35.062
75.267,35.062
76.242,35.062
77.266,35.062
78.289,35.094
79.265,35.094
80.262,35.094
81.263,35.094
82.238,35.094
83.262,35.156
84.286,35.156
85.261,35.125
86.285,35.125
87.308,35.125
88.288,35.125
89.258,35.125
90.528,35.000
91.257,34.969
92.280,34.938
93.256,34.906
94.280,35.000
95.298,34.969
96.283,35.000
97.253,35.031
98.277,35.031
99.398,35.062
100.276,35.188
101.259,35.219
102.275,35.219
103.250,35.250
104.279,35.219
105.248,35.250
106.272,35.250
107.247,35.219
108.271,35.250
109.267,35.219
110.271,35.188
111.250,35.156
112.466,35.188
113.257,35.156
114.267,35.125
115.339,35.188
116.266,35.156
117.248,35.125
118.265,35.094
119.391,35.094
120.263,35.125
121.487,35.125
122.268,35.094
123.237,35.094
124.269,35.094
125.531,35.031
126.261,35.062
127.235,35.094
128.258,35.125
129.383,35.031
130.257,35.000
131.232,35.000
132.256,35.000
133.231,34.938
134.254,34.906
135.284,34.906
136.254,34.906
137.277,34.906
138.253,34.906
139.276,35.000
140.495,35.062
141.275,35.031
142.250,35.062
143.273,35.156
144.253,35.250
145.275,35.375
146.248,35.469
147.271,35.531
148.318,35.625
149.270,35.750
150.245,35.844
151.271,35.969
152.246,35.969
153.316,36.000
154.246,36.031
155.288,35.969
156.341,35.969
157.265,35.969
158.240,35.969
159.263,35.969
160.239,35.875
161.293,35.906
162.238,35.906
163.261,35.938
164.236,35.969
165.282,35.938
166.478,35.969
167.259,36.000
168.431,35.969
169.260,35.969
170.295,35.938
171.257,35.906
172.231,35.938
173.255,35.938
174.230,35.938
175.254,36.000
176.229,35.969
177.253,35.969
178.228,36.000
179.304,35.969
180.227,36.094
181.496,36.094
182.469,36.062
183.249,36.094
184.273,36.125
185.247,36.125
186.272,36.094
187.247,36.125
188.270,36.094
189.246,36.062
190.292,36.094
191.275,36.094
192.268,36.156
193.245,36.156
194.267,36.156
195.244,36.125
196.274,36.188
197.240,36.188
198.266,36.219
199.239,36.219
200.262,36.219
201.238,36.219
202.262,36.188
203.237,36.188
204.260,36.219
205.259,36.281
206.356,36.219
207.234,36.250
208.258,36.281
209.241,36.281
210.256,36.312
211.235,36.312
212.255,36.344
213.231,36.312
214.254,36.344
215.250,36.312
216.253,36.344
217.374,36.312
218.303,36.281
219.227,36.312
220.276,36.312
221.691,36.281
222.249,36.312
223.224,36.344
224.253,36.344
225.223,36.344
226.278,36.344
227.225,36.375
228.343,36.406
229.221,36.406
230.256,36.406
231.268,36.531
232.636,36.531
233.267,36.531
234.242,36.562
235.288,36.500
236.679,36.500
237.264,36.500
238.485,36.500
239.263,36.500
240.240,36.531
241.262,36.375
242.338,36.375
243.266,36.375
244.236,36.375
245.260,36.406
246.306,36.438
247.280,36.438
248.272,36.406
249.277,36.406
250.232,36.406
251.255,36.500
252.379,36.438
253.307,36.406
254.230,36.406
255.286,36.406
256.228,36.438
257.253,36.469
258.667,36.469
259.277,36.469
260.226,36.469
261.249,36.469
262.517,36.531
263.256,36.594
264.238,36.594
265.248,36.625
266.222,36.594
267.246,36.594
268.221,36.625
269.245,36.656
270.276,36.625
271.243,36.594
272.218,36.562
273.242,36.562
274.217,36.562
275.245,36.562
276.216,36.562
277.240,36.562
278.366,36.562
279.253,36.531
280.230,36.562
281.237,36.562
282.265,36.531
283.242,36.531
284.260,36.500
285.235,36.500
286.258,36.531
287.307,36.531
288.257,36.438
289.280,36.469
290.256,36.469
291.233,36.469
292.355,36.594
293.234,36.562
294.253,36.594
295.228,36.562
296.252,36.562
297.227,36.562
298.251,36.625
299.326,36.656
300.250,36.625
301.225,36.656
302.290,36.594
303.467,36.594
304.247,36.594
305.222,36.625
306.246,36.625
307.222,36.625
308.245,36.625
309.220,36.594
310.295,36.625
311.219,36.625
312.242,36.625
313.240,36.625
314.439,36.625
315.216,36.625
316.239,36.594
317.215,36.594
318.239,36.531
