df_hash,22ZHK4.UV7K0H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.28U2
person_label,V14
date_time_start,2025-05-22_11-35-10.119000_+03
date_time_start_unix,1747902910.119
date_time_end,2025-05-22_11-42-52.559000_+03
length_difference_noticed,no

time,quality
16.964,61
18.136,58
18.768,54
19.939,35
20.868,32
21.888,16
22.961,30
23.838,0
24.764,0
25.936,0
26.812,0
27.838,0
28.908,0
30.109,22
30.663,33
31.882,42
32.858,43
33.637,60
34.857,42
35.733,42
36.611,62
37.830,75
38.707,71
39.585,71
40.806,61
41.681,67
42.854,61
43.777,59
44.701,56
45.585,59
46.851,44
47.630,40
48.652,36
49.725,28
50.748,42
51.529,56
52.996,66
53.578,61
54.506,67
55.676,59
56.595,56
57.476,48
58.653,47
59.574,46
60.450,47
61.717,29
62.546,24
63.518,22
64.603,30
65.614,27
66.399,26
67.710,0
68.539,23
69.667,33
70.542,13
71.468,26
72.345,0
73.710,100
74.636,20
75.319,0
76.539,0
77.558,0
78.585,49
79.518,51
80.389,31
81.270,35
82.491,37
83.362,25
84.240,18
85.461,0
86.581,15
87.289,0
88.473,35
89.310,32
90.297,53
91.407,62
92.337,76
93.210,75
94.673,69
95.357,58
96.278,59
97.354,61
98.231,52
99.160,55
100.328,57
101.254,57
102.131,53
103.346,52
104.273,49
105.105,37
106.324,0
107.203,0
108.079,32
109.395,0
110.175,0
111.245,0
112.272,0
113.249,0
114.026,21
115.324,41
116.122,58
117.001,63
118.221,62
119.100,59
119.975,48
121.193,51
122.262,59
122.949,67
124.261,67
125.044,78
125.925,86
127.140,82
128.167,55
128.944,61
130.138,68
130.991,76
131.918,70
133.088,73
134.161,66
134.892,60
136.090,24
136.939,29
137.866,34
139.036,34
139.965,7
140.839,9
142.009,14
142.936,19
143.813,18
144.999,18
145.911,18
147.035,24
148.007,0
148.884,0
149.761,0
150.983,0
151.860,0
152.736,19
153.953,0
154.854,0
155.711,28
156.927,37
157.804,42
158.684,40
159.902,43
160.781,48
161.705,48
162.879,57
163.752,60
164.681,65
165.865,71
166.922,79
167.652,85
168.824,84
169.701,85
170.628,83
171.799,86
172.723,78
173.648,74
174.770,68
175.701,68
176.577,54
177.889,47
178.673,19
179.547,0
180.723,0
181.643,21
182.520,0
183.691,21
184.620,37
185.497,31
186.713,29
187.636,33
188.861,54
189.688,51
190.659,35
191.442,44
192.661,46
193.539,60
194.465,58
195.636,78
196.548,59
197.441,61
198.709,12
199.489,18
200.415,20
201.774,19
202.462,19
203.629,17
204.565,0
205.436,0
206.506,38
207.530,50
208.407,53
209.333,55
210.504,68
211.673,79
212.307,79
213.478,79
214.355,82
215.281,79
216.453,72
217.620,81
218.255,78
219.525,80
220.357,83
221.664,83
222.453,87
223.326,86
224.248,84
225.713,80
226.300,77
227.180,80
228.589,80
229.273,71
230.250,52
231.369,54
232.246,74
233.124,70
234.343,66
235.223,67
236.243,65
237.316,57
238.240,54
239.071,70
240.682,68
241.168,69
242.045,56
243.316,39
244.189,26
245.020,30
246.238,51
247.211,68
248.233,53
249.216,47
250.089,38
251.017,43
252.187,39
253.258,47
253.990,68
255.253,79
256.037,53
257.011,38
258.135,30
259.251,44
260.008,48
261.208,31
261.985,49
262.910,71
264.080,77
265.011,72
265.886,81
267.054,77
267.985,70
268.858,53
270.028,37
270.960,47
271.928,65
273.003,74
274.123,75
274.816,75
276.049,77
276.947,78
278.121,75
279.189,78
280.021,80
281.150,81
281.971,81
282.946,80
283.746,81
284.993,92
285.826,87
286.700,89
287.919,99
288.894,95
289.674,96
290.901,98
291.773,100
292.648,95
294.012,89
294.766,81
295.621,89
296.841,89
297.718,75
298.892,73
300.009,70
300.737,76
301.618,74
302.826,72
303.665,75
304.593,74
305.763,72
306.639,69
307.808,66
308.736,70
309.665,75
310.539,73
311.710,77
312.732,78
313.513,78
314.683,75
315.610,71
316.487,71
317.710,73
318.590,73
319.481,67
320.630,58
321.702,67
322.435,75
323.605,73
324.544,66
325.554,69
326.674,73
327.505,61
328.382,56
329.552,72
330.479,83
331.697,85
332.769,80
333.452,66
334.475,59
335.549,70
336.429,74
337.352,73
338.523,72
339.401,70
340.311,67
341.498,73
342.374,77
343.300,79
344.469,70
345.347,67
346.419,71
347.491,71
348.613,70
349.200,67
350.416,59
351.295,67
352.220,78
353.392,79
354.268,80
355.170,80
356.368,77
357.245,77
358.168,83
359.338,80
360.224,79
361.238,77
362.313,73
363.240,70
364.116,76
365.323,80
366.323,79
367.089,75
368.293,76
369.187,76
370.065,76
371.236,62
372.159,60
373.037,71
374.207,76
375.181,78
376.035,73
377.181,54
378.107,47
379.030,57
380.157,75
381.129,79
381.958,77
383.177,79
384.084,79
385.044,77
386.249,75
387.030,74
387.906,75
389.126,71
390.004,69
390.977,75
392.108,77
393.073,82
393.904,81
395.072,79
395.950,76
397.122,71
398.046,75
399.072,75
399.895,72
401.020,73
401.897,73
402.874,74
404.042,78
404.904,68
405.992,67
407.114,66
407.859,71
408.865,75
409.941,70
410.868,54
411.842,64
412.963,77
413.842,76
414.718,78
415.890,77
416.816,77
417.738,77
418.862,79
419.788,77
420.858,66
421.836,67
422.762,80
423.932,81
424.855,76
426.143,82
426.614,78
427.929,76
428.710,76
429.588,82
430.854,79
431.729,71
