df_hash,22ZHK4.9B8R50
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GK30
person_label,V50
date_time_start,2025-10-30_18-06-46.898000_+03
date_time_start_unix,1761833206.898
date_time_end,2025-10-30_18-15-02.207000_+03
length_difference_noticed,no

time,ppg_quality
58.881,37
60.901,64
62.921,76
64.941,77
66.961,80
68.971,89
72.001,95
74.021,73
76.041,65
78.061,66
80.081,64
81.091,64
83.111,81
85.131,99
87.151,94
89.171,79
91.191,76
92.201,75
93.211,76
94.221,80
96.241,80
98.261,89
99.271,98
100.281,101
102.291,94
103.301,91
104.311,91
105.321,94
107.341,95
109.361,90
111.381,87
113.401,93
115.421,87
116.431,85
117.441,88
118.451,85
120.471,84
122.491,84
124.511,81
125.521,78
126.531,71
127.541,64
129.561,52
131.581,48
133.591,54
135.611,59
137.631,72
138.641,82
139.651,88
140.661,92
142.681,92
144.701,82
145.711,73
146.721,64
148.741,52
149.751,51
151.771,37
153.791,25
155.811,21
157.831,23
159.851,25
160.861,30
162.881,32
164.901,24
165.911,34
166.921,42
167.931,44
168.941,45
170.961,45
171.971,46
173.991,72
176.011,83
178.031,86
179.041,88
180.051,89
181.061,88
183.081,87
184.091,88
185.101,87
187.121,88
189.141,90
191.161,89
193.181,88
194.191,89
195.201,92
196.211,92
198.231,89
200.251,89
202.271,97
204.291,96
205.301,90
207.321,84
209.341,91
211.361,88
213.381,68
215.401,55
216.411,60
218.431,51
220.451,23
221.461,18
222.471,21
224.491,13
225.501,10
227.521,1
231.561,10
233.581,26
234.591,40
235.601,50
236.611,47
238.631,58
240.651,84
242.671,89
244.691,74
246.711,73
248.731,80
249.741,75
250.751,62
251.761,48
253.781,57
255.801,57
257.821,68
258.831,78
259.841,76
261.861,82
262.871,76
264.891,67
266.911,67
268.931,49
270.951,40
272.971,34
273.981,30
276.001,25
277.011,32
278.021,14
280.041,5
281.051,2
284.081,7
285.091,15
287.111,17
288.121,38
289.131,49
291.151,40
293.171,59
295.191,56
298.221,67
300.241,83
301.251,95
302.261,88
303.271,81
305.291,69
306.301,62
309.331,66
310.341,72
311.351,69
313.371,75
315.391,81
317.411,56
318.421,37
320.441,23
322.461,44
324.481,80
325.491,79
327.511,85
328.521,90
329.531,94
330.541,90
331.551,77
333.571,51
335.591,37
337.611,49
339.631,68
341.651,82
342.661,88
343.671,92
344.681,92
346.701,98
348.721,94
350.741,79
352.761,64
355.791,55
357.811,61
359.831,70
360.841,69
361.851,78
363.871,95
364.881,90
366.901,88
367.911,76
369.931,49
370.941,37
372.961,15
373.971,10
374.981,7
380.031,11
381.041,23
382.051,28
384.071,39
386.091,48
388.111,40
389.121,27
390.131,16
391.141,14
393.161,6
396.191,5
398.211,31
400.231,47
402.251,56
403.261,59
404.271,69
406.291,64
408.311,64
409.321,68
411.341,54
413.361,44
415.381,66
416.391,80
418.411,61
419.421,55
420.431,50
421.441,60
422.451,60
424.471,63
426.491,42
428.511,59
429.521,61
431.541,85
433.561,93
435.581,79
436.591,78
437.601,78
439.621,77
441.641,50
442.651,35
443.661,32
444.671,32
446.691,37
447.701,38
448.711,50
450.731,57
452.751,52
454.771,32
455.781,28
457.801,38
459.821,16
461.841,26
463.861,30
465.881,51
466.891,53
468.911,50
470.931,58
471.941,58
472.951,68
473.961,77
474.971,85
476.991,83
478.001,83
480.021,70
482.041,66
484.061,61
486.081,44
488.101,17
489.111,18
491.131,30
