df_hash,22ZHK4.9B8R50
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GK30
person_label,V50
date_time_start,2025-10-30_18-06-46.898000_+03
date_time_start_unix,1761833206.898
date_time_end,2025-10-30_18-15-02.207000_+03
length_difference_noticed,no

time,temperature
5.654,32.531
6.629,32.594
7.653,32.625
8.628,32.656
9.652,32.688
10.726,32.656
11.747,32.719
12.625,32.750
13.649,32.750
14.650,32.812
15.650,32.844
16.623,32.875
17.647,32.875
18.671,32.938
19.645,32.938
20.620,32.969
21.645,32.969
22.619,32.938
23.643,32.969
24.666,32.969
25.788,32.969
26.665,32.938
27.640,32.969
28.664,32.875
29.639,32.938
30.663,32.969
31.884,33.000
32.662,33.031
33.645,33.062
34.660,33.094
35.635,33.156
36.659,33.188
37.634,33.219
38.658,33.312
39.632,33.312
40.657,33.344
41.634,33.375
42.902,33.344
43.631,33.344
44.654,33.344
45.924,33.344
46.799,33.344
47.628,33.312
48.652,33.344
49.627,33.375
50.699,33.375
51.626,33.438
52.649,33.438
53.624,33.469
54.648,33.469
55.623,33.469
56.942,33.500
57.819,33.531
58.646,33.531
59.868,33.531
60.648,33.500
61.619,33.531
62.790,33.562
63.716,33.562
64.642,33.625
65.617,33.625
66.641,33.656
67.641,33.688
68.639,33.688
69.614,33.719
70.982,33.719
71.626,33.719
72.641,33.719
73.770,33.750
74.636,33.750
75.659,33.781
76.639,33.781
77.658,33.750
78.633,33.812
79.657,33.844
80.639,33.906
81.655,33.906
82.777,33.875
83.654,33.938
84.678,33.969
85.656,33.969
86.631,33.938
87.654,33.969
88.627,33.938
89.681,33.906
90.626,33.938
91.649,33.969
92.625,34.000
93.652,34.000
94.623,33.969
95.646,33.969
96.648,34.031
97.645,34.000
98.818,34.031
99.644,34.031
100.631,34.031
101.643,34.062
102.618,34.062
103.888,34.031
104.617,34.031
105.686,34.062
106.617,34.062
107.641,34.062
108.668,34.000
109.638,34.031
110.613,34.031
111.637,34.000
112.612,34.000
113.636,34.062
115.007,34.094
115.634,34.031
116.609,34.031
117.633,34.062
118.611,34.094
119.632,34.094
120.607,34.094
121.631,34.094
122.654,34.094
123.629,34.094
124.654,34.062
126.025,34.094
126.652,34.125
127.638,34.156
128.651,34.188
129.874,34.219
130.650,34.219
131.624,34.250
132.648,34.250
133.623,34.250
134.647,34.281
135.622,34.312
136.646,34.250
137.621,34.250
138.644,34.250
139.720,34.219
140.643,34.219
141.618,34.219
142.642,34.250
143.617,34.250
144.641,34.219
145.667,34.219
146.640,34.250
147.616,34.250
148.638,34.250
149.615,34.281
150.680,34.312
151.612,34.312
152.636,34.281
153.611,34.281
154.634,34.312
155.613,34.344
156.633,34.344
157.901,34.312
158.632,34.312
159.607,34.281
160.631,34.281
161.754,34.312
162.629,34.344
163.606,34.344
164.630,34.344
165.648,34.281
166.627,34.250
167.603,34.312
169.015,34.344
169.602,34.406
170.625,34.406
171.943,34.406
172.623,34.375
173.647,34.375
174.624,34.406
175.743,34.469
176.626,34.469
177.648,34.469
178.620,34.469
179.694,34.438
180.618,34.438
181.642,34.406
182.869,34.438
183.641,34.469
184.640,34.438
185.641,34.406
186.760,34.438
187.638,34.438
188.613,34.438
189.637,34.469
190.620,34.469
191.685,34.531
192.611,34.531
193.634,34.531
194.610,34.531
195.634,34.562
196.908,34.531
197.632,34.531
198.607,34.531
199.631,34.562
200.606,34.531
201.629,34.500
202.607,34.500
203.634,34.469
204.604,34.500
205.636,34.500
206.603,34.531
207.703,34.531
208.633,34.562
209.638,34.531
210.795,34.594
211.628,34.594
212.648,34.562
213.623,34.594
214.598,34.562
215.624,34.594
216.602,34.531
217.623,34.562
218.646,34.562
219.619,34.594
220.643,34.594
221.766,34.594
222.641,34.562
223.617,34.594
224.640,34.469
225.615,34.469
226.644,34.531
227.614,34.500
228.646,34.500
229.613,34.500
230.638,34.469
231.663,34.469
232.635,34.500
233.610,34.500
234.639,34.625
235.807,34.594
236.633,34.562
237.652,34.594
238.732,34.625
239.607,34.594
240.650,34.625
241.606,34.625
242.629,34.625
243.607,34.656
244.628,34.625
245.603,34.688
246.626,34.656
247.624,34.656
248.626,34.656
249.636,34.656
250.624,34.688
251.616,34.688
252.639,34.688
253.747,34.688
254.624,34.656
255.597,34.656
256.621,34.688
257.596,34.719
258.620,34.719
259.692,34.719
260.618,34.688
261.642,34.719
262.617,34.719
263.615,34.719
264.616,34.750
265.591,34.750
266.615,34.719
267.590,34.719
268.637,34.656
269.612,34.656
270.627,34.656
271.636,34.594
272.611,34.594
273.634,34.594
274.610,34.594
275.656,34.625
276.611,34.625
277.632,34.625
278.607,34.625
279.631,34.625
280.638,34.625
281.630,34.688
282.605,34.750
283.665,34.750
284.752,34.719
285.630,34.719
286.603,34.719
287.632,34.750
288.601,34.781
289.625,34.781
290.649,34.781
291.623,34.750
292.599,34.750
293.623,34.750
294.890,34.750
295.621,34.750
296.597,34.750
297.621,34.781
298.595,34.750
299.619,34.781
300.594,34.812
301.618,34.812
302.647,34.844
303.617,34.844
304.594,34.875
305.615,34.875
306.834,34.906
307.614,34.875
308.784,34.906
309.613,34.906
310.685,34.875
311.633,34.875
312.588,34.875
313.610,34.875
314.637,34.844
315.609,34.844
316.584,34.812
317.639,34.844
318.680,34.844
