df_hash,22ZHK4.9B8R50
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GK30
person_label,V50
date_time_start,2025-10-30_18-06-46.898000_+03
date_time_start_unix,1761833206.898
date_time_end,2025-10-30_18-15-02.207000_+03
length_difference_noticed,no

time,omega
96.579,0.559
105.888,0.559
106.813,0.553
108.667,0.557
114.617,0.552
120.857,0.544
130.119,0.545
130.899,0.543
133.727,0.543
136.001,0.543
138.997,0.530
152.836,0.543
161.709,0.545
164.539,0.545
170.094,0.543
172.340,0.541
176.625,0.541
177.407,0.541
178.236,0.541
183.744,0.540
186.669,0.543
187.350,0.543
188.077,0.545
188.859,0.557
189.594,0.571
190.276,0.576
195.155,0.576
195.835,0.578
196.526,0.575
198.030,0.575
199.443,0.575
207.549,0.575
217.237,0.575
240.978,0.575
260.870,0.588
265.107,0.600
290.019,0.600
298.699,0.602
308.400,0.608
332.244,0.615
333.072,0.615
343.355,0.663
346.472,0.702
346.962,0.702
348.424,0.703
348.920,0.712
354.029,0.717
354.225,0.712
360.176,0.722
377.145,0.712
380.857,0.717
381.568,0.712
388.556,0.717
399.954,0.717
404.394,0.717
414.921,0.717
418.872,0.713
423.892,0.718
435.837,0.718
448.074,0.726
