df_hash,22ZHK4.9B8R50
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GK30
person_label,V50
date_time_start,2025-10-30_18-06-46.898000_+03
date_time_start_unix,1761833206.898
date_time_end,2025-10-30_18-15-02.207000_+03
length_difference_noticed,no

time,spo2
96.527,97
105.839,97
106.671,98
108.618,98
114.469,98
120.715,98
130.068,98
130.850,98
133.675,98
135.924,98
138.986,98
152.688,98
161.621,98
164.389,98
170.042,98
172.333,98
176.576,98
177.306,98
178.136,98
183.693,98
186.618,98
187.300,98
188.013,98
188.813,98
189.543,97
190.234,97
195.148,97
195.785,97
196.468,97
197.882,97
199.392,97
207.528,97
217.185,97
240.926,97
260.817,97
265.009,97
289.933,97
298.693,96
308.251,96
332.233,96
333.017,96
343.303,95
346.382,94
346.911,94
348.276,94
348.913,94
353.981,94
354.125,94
360.170,94
377.087,94
380.845,94
381.526,94
388.546,94
399.902,94
404.339,94
414.771,94
418.818,94
423.841,94
435.783,94
448.028,94
