df_hash,22ZHK4.9B8R50
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GK30
person_label,V50
date_time_start,2025-10-30_18-06-46.898000_+03
date_time_start_unix,1761833206.898
date_time_end,2025-10-30_18-15-02.207000_+03
length_difference_noticed,no

time,rr_int
10.774,4055
11.751,1875
11.992,1015
12.284,500
12.577,235
13.697,695
14.916,495
14.919,1300
15.355,10
16.038,365
16.184,760
16.331,250
16.574,195
16.720,230
17.987,1045
17.991,150
18.039,10
18.526,15
19.353,590
20.084,770
20.913,750
20.917,880
21.742,10
22.424,770
23.107,665
23.995,720
24.959,855
25.794,985
26.762,915
27.884,915
28.567,1150
29.542,715
30.518,985
31.199,905
32.036,770
32.857,810
33.831,855
34.807,915
35.931,980
36.610,975
36.622,845
37.439,10
38.268,810
39.243,900
40.120,925
40.949,930
41.778,800
42.317,800
42.363,610
42.366,10
42.370,10
42.373,10
42.606,240
44.265,980
45.093,740
45.242,785
45.292,170
45.300,15
45.315,10
45.951,10
46.802,595
47.872,965
48.897,1000
49.577,1020
50.261,720
50.965,715
51.528,610
52.357,690
53.186,755
54.307,915
55.284,1110
55.672,1005
56.208,300
56.356,675
57.206,10
58.304,960
59.133,1005
59.137,950
60.108,10
60.936,860
61.766,925
62.800,885
63.728,945
64.698,945
65.666,960
66.494,945
67.469,925
68.445,940
69.273,945
70.152,910
71.079,885
71.661,960
72.052,565
72.880,425
73.775,770
74.733,920
75.663,915
76.537,945
77.366,825
78.341,895
79.170,935
79.413,930
79.998,215
80.973,630
80.976,900
81.948,10
82.780,925
83.609,895
84.434,865
85.117,790
85.994,790
86.969,815
87.896,960
88.773,925
89.607,855
90.576,885
90.580,915
91.405,10
92.380,925
93.209,930
94.038,870
94.867,825
95.549,780
96.524,805
97.353,865
98.419,900
99.159,910
99.888,850
100.716,810
101.551,790
102.374,860
103.349,885
104.324,975
105.156,890
105.835,835
106.665,775
107.652,805
108.614,1000
109.443,950
110.277,795
111.247,840
111.978,850
112.953,880
113.782,960
114.464,845
115.343,780
116.122,810
116.951,820
117.682,845
118.511,745
119.390,740
120.022,750
120.704,850
121.046,610
121.825,330
122.508,795
123.240,750
123.633,725
124.068,465
124.751,325
125.189,800
125.195,405
125.286,10
125.292,10
125.338,15
125.345,15
125.350,10
125.580,15
126.271,255
126.993,810
127.676,690
128.504,695
129.347,800
130.064,795
130.844,790
131.577,755
132.258,730
132.940,730
133.672,730
133.916,700
134.354,210
135.037,460
135.914,715
136.841,835
137.816,915
138.651,975
138.939,885
139.473,235
139.766,570
140.210,235
140.887,500
141.716,735
142.398,750
143.227,795
144.057,780
144.228,780
144.233,160
144.250,10
144.254,10
144.787,10
145.618,585
146.456,860
147.273,845
147.955,785
148.784,780
149.857,770
149.913,835
150.345,230
151.027,480
151.856,770
152.684,785
153.391,760
153.660,835
154.346,245
155.073,605
155.609,770
156.292,495
157.276,820
157.559,575
158.096,665
158.827,580
159.510,675
160.208,660
160.882,635
161.605,705
161.854,800
162.434,235
163.119,530
164.384,640
165.067,1360
165.770,705
166.433,745
167.163,680
167.845,700
168.532,680
169.211,725
170.039,725
170.770,715
171.454,740
172.290,775
172.964,805
173.700,700
174.383,685
175.061,685
175.935,705
176.572,760
177.303,760
178.132,765
179.107,825
180.036,905
180.764,915
181.057,765
181.447,265
182.276,480
183.007,780
183.689,765
184.372,735
185.201,720
185.932,725
186.614,730
187.297,725
188.008,705
188.809,730
189.539,745
190.222,735
190.905,700
191.591,695
192.562,775
193.538,1010
194.268,895
195.100,755
195.779,750
196.462,730
197.194,725
197.876,715
198.559,695
199.387,720
200.216,805
201.337,890
202.312,1045
203.141,960
203.970,925
204.165,840
204.262,210
204.409,230
204.944,355
205.533,205
206.213,530
206.800,615
207.480,645
207.485,670
208.308,10
209.137,835
209.966,825
210.802,900
210.941,835
210.945,15
210.970,10
211.087,180
211.093,10
212.453,565
213.313,850
213.964,845
214.695,720
214.938,710
214.942,280
215.235,20
216.206,435
216.889,775
217.181,735
217.239,230
217.718,10
218.449,600
219.131,605
219.134,795
219.814,10
220.496,635
221.228,710
221.910,645
222.300,830
222.592,320
223.568,350
224.251,895
225.079,805
225.225,780
225.956,190
225.960,615
225.963,90
226.102,105
226.106,10
226.200,145
227.321,320
228.004,740
228.736,705
229.418,795
229.959,570
230.100,325
230.783,370
231.222,795
232.220,345
232.489,1000
232.493,330
232.879,10
234.295,410
234.299,1380
234.390,10
234.439,165
234.687,15
235.001,475
236.202,290
236.779,980
237.464,625
238.144,630
239.314,715
239.850,1190
240.536,565
240.923,640
241.092,515
242.873,1230
243.604,610
244.433,770
245.261,845
245.267,825
245.944,10
246.631,630
247.358,695
248.336,710
248.577,1060
249.259,160
249.698,700
251.356,420
252.184,1685
252.189,825
253.159,15
253.171,990
253.599,20
255.012,470
255.694,1385
256.230,665
256.913,615
257.498,615
258.332,675
259.010,725
259.695,750
260.423,720
260.813,685
260.871,420
261.105,240
262.620,785
263.446,795
264.177,775
265.005,790
265.688,795
266.379,735
267.348,750
267.931,705
268.467,735
269.149,635
270.275,665
271.101,1140
271.688,760
271.929,600
272.369,350
273.050,320
273.881,775
274.561,660
275.146,785
275.438,600
275.452,335
275.682,230
275.976,230
276.657,470
276.660,325
276.950,195
