df_hash,22ZHK4.9B8R50
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GK30
person_label,V50
date_time_start,2025-10-30_18-06-46.898000_+03
date_time_start_unix,1761833206.898
date_time_end,2025-10-30_18-15-02.207000_+03
length_difference_noticed,no

time,perfusion_ir
96.575,0.290
105.884,0.290
106.675,0.270
108.663,0.270
114.613,0.260
120.853,0.250
130.115,0.240
130.893,0.240
133.723,0.240
135.975,0.240
138.991,0.240
152.831,0.240
161.706,0.240
164.533,0.240
170.090,0.240
172.336,0.240
176.621,0.230
177.400,0.220
178.232,0.220
183.741,0.220
186.666,0.220
187.346,0.220
188.028,0.220
188.816,0.220
189.591,0.220
190.273,0.220
195.152,0.220
195.828,0.220
196.515,0.220
198.025,0.220
199.438,0.220
207.532,0.220
217.231,0.210
240.974,0.210
260.862,0.210
265.103,0.210
289.937,0.210
298.696,0.210
308.397,0.220
332.237,0.220
333.065,0.220
343.351,0.220
346.468,0.220
346.958,0.220
348.421,0.220
348.916,0.210
353.984,0.220
354.222,0.210
360.173,0.220
377.137,0.230
380.854,0.230
381.530,0.230
388.551,0.230
399.950,0.230
404.390,0.250
414.917,0.240
418.865,0.230
423.887,0.240
435.831,0.240
448.067,0.240
