df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,ppg_quality
57.902,46
59.922,49
62.952,40
64.972,38
66.992,42
69.012,41
70.022,38
71.032,40
72.042,47
74.062,55
76.082,57
78.102,71
80.122,82
82.142,78
83.152,78
85.172,74
87.192,72
89.212,70
90.222,70
91.232,70
93.252,70
94.262,71
96.282,76
98.302,74
100.322,74
102.342,75
104.362,77
105.372,78
107.392,79
109.412,81
110.422,81
111.432,81
113.452,79
115.472,82
116.482,73
118.502,57
120.522,53
121.532,52
122.542,53
124.562,50
125.572,49
127.592,65
128.602,73
129.612,78
131.632,80
133.652,80
135.672,78
137.692,51
139.712,42
140.722,42
142.742,35
144.762,35
146.782,57
147.792,67
148.802,72
150.822,71
151.832,74
153.852,76
155.872,75
157.892,69
158.902,61
159.912,57
161.932,48
163.952,39
164.962,26
165.972,14
166.982,4
169.002,13
171.022,12
173.042,1
174.052,9
176.072,31
178.092,28
180.112,31
181.122,41
183.142,46
184.152,37
185.162,27
187.182,33
189.202,45
190.212,42
191.222,35
193.242,40
194.252,49
196.272,74
197.282,67
198.292,58
200.312,31
202.332,26
203.342,32
205.362,31
206.372,15
207.382,12
209.402,43
210.412,47
211.422,56
213.442,51
215.462,62
216.472,71
217.482,83
220.512,90
222.532,70
224.552,61
226.572,47
227.582,42
229.602,38
231.622,39
232.632,45
233.642,50
234.652,42
235.662,44
237.682,45
239.702,51
241.722,64
242.732,64
244.752,65
246.772,48
248.792,43
249.802,31
250.812,12
251.822,6
257.882,10
259.902,37
261.922,49
263.942,73
264.952,68
265.962,60
266.972,54
268.992,49
271.012,34
274.042,28
275.052,32
276.062,39
278.082,32
280.102,38
282.122,32
284.142,28
286.162,13
288.182,6
295.252,7
297.272,25
298.282,32
300.302,51
301.312,69
302.322,81
304.342,95
306.362,95
307.372,95
308.382,89
311.412,74
313.432,50
315.452,39
317.472,18
318.482,8
326.562,2
328.582,22
330.602,45
333.632,40
335.652,44
337.672,53
339.692,10
343.732,4
346.762,16
348.782,24
349.792,38
350.802,44
352.822,34
353.832,26
354.842,15
356.862,13
357.872,17
359.892,27
360.902,37
361.912,46
362.922,50
363.932,54
365.952,44
366.962,39
368.982,47
371.002,51
373.022,30
375.042,34
376.052,43
377.062,43
380.092,24
382.112,23
384.132,33
386.152,48
388.172,46
390.192,56
391.202,43
393.222,28
395.242,16
397.262,16
399.282,14
400.292,20
402.312,65
403.322,75
404.332,78
406.352,89
408.372,83
410.392,91
411.402,83
413.422,64
415.442,42
417.462,17
419.482,11
420.492,8
424.532,9
426.552,42
428.572,41
430.592,18
432.612,30
433.622,30
434.632,30
435.642,21
436.652,30
437.662,33
439.682,42
441.702,53
442.712,54
444.732,58
445.742,55
447.762,36
448.772,35
450.792,37
451.802,29
452.812,25
454.832,15
456.852,11
459.882,22
461.902,47
462.912,57
463.922,57
465.942,61
466.952,79
467.962,89
468.972,92
470.992,71
473.012,49
474.022,46
476.042,41
477.052,30
479.072,3
480.082,9
482.102,33
484.122,18
490.182,13
