df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,battery
13.351,19
23.332,19
33.326,19
43.341,19
53.313,19
63.307,18
73.301,18
83.295,18
93.435,18
103.331,18
113.374,18
123.319,18
133.411,18
143.341,18
153.320,18
163.352,18
173.288,18
183.281,18
193.275,18
203.318,18
213.311,18
223.308,18
233.298,18
243.294,18
253.383,18
263.285,18
273.310,18
283.268,18
293.262,18
303.304,18
313.319,18
323.292,18
333.285,18
343.279,18
353.293,18
363.266,18
373.261,17
383.354,17
393.321,17
403.291,17
413.285,17
423.376,17
433.370,17
443.270,17
453.299,17
463.254,17
473.267,17
483.241,17
