df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,omega
86.515,0.810
86.616,0.824
87.400,0.830
89.603,0.824
90.370,0.825
91.150,0.824
97.639,0.820
99.291,0.824
101.488,0.825
103.095,0.824
106.800,0.825
111.381,0.825
112.079,0.825
118.352,0.820
119.870,0.815
125.864,0.815
126.699,0.815
127.517,0.815
129.176,0.812
131.272,0.806
131.954,0.798
133.468,0.798
139.319,0.789
141.704,0.780
145.500,0.771
146.140,0.771
148.435,0.759
149.117,0.759
150.190,0.759
150.756,0.756
153.648,0.746
154.573,0.744
165.292,0.744
180.753,0.744
183.821,0.744
187.578,0.744
188.448,0.744
200.262,0.755
207.125,0.758
208.932,0.780
210.399,0.804
217.657,0.804
225.326,0.825
226.342,0.825
227.125,0.825
227.947,0.825
228.768,0.838
233.115,0.838
254.220,0.846
287.326,0.854
334.407,0.879
334.860,0.887
