df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,perfusion_ir
86.512,0.180
86.613,0.180
87.393,0.180
89.597,0.170
90.366,0.170
91.147,0.170
97.633,0.170
99.288,0.170
101.485,0.160
103.091,0.160
106.795,0.160
111.377,0.160
112.062,0.160
118.349,0.160
119.866,0.160
125.860,0.160
126.693,0.160
127.514,0.160
129.172,0.150
131.268,0.150
131.950,0.150
133.464,0.150
139.312,0.150
141.700,0.150
145.455,0.150
146.137,0.150
148.427,0.150
149.113,0.150
150.183,0.150
150.748,0.150
153.645,0.150
154.570,0.150
165.205,0.150
180.749,0.150
183.817,0.150
187.575,0.150
188.414,0.150
200.255,0.150
207.119,0.150
208.927,0.150
210.393,0.160
217.653,0.160
225.312,0.160
226.330,0.160
227.112,0.160
227.942,0.160
228.765,0.160
233.112,0.160
254.216,0.170
287.315,0.170
334.177,0.170
334.853,0.170
